adm0_name,adm1_id,adm1_name,date,cum_confirmed_cases,cum_confirmed_cases_imputed,population,cum_hospitalized,event_cancel,event_cancel_popwt,home_isolation,home_isolation_popwt,no_gathering_popwt,no_gathering_inside,no_gathering_inside_popwt,social_distance,social_distance_popwt,social_distance_opt,business_closure,no_gathering,testing_regime,no_gathering_size,school_closure,school_closure_popwt,t,dow,month,year,day,longest_series,l_cum_confirmed_cases,D_l_cum_confirmed_cases,l_cum_hospitalized,D_l_cum_hospitalized,sample_avg,day_avg,testing_regime_15mar2020,national_lockdown,no_gathering_5000,no_gathering_1000,no_gathering_100,pck_social_distance,_reghdfe_resid,__hdfe1__,__hdfe2__,e,y_actual,lb_y_actual,ub_y_actual,treatment,y_counter,lb_counter,ub_counter,_est_base,_est_nlcom,m_y_actual,m_y_counter,t_random,t_random2,testing_regime_06apr2020,mask_opt
"FRA",11,"IledeFrance","2020-03-03",37,37,12278210,12,0,0,0,0,0,0,0,0,0,0,0,1,0,5000,0,0,21977,2,3,2020,3,1,3.610918,.0845573,2.484907,.6931472,,.1785852,0,0,1,0,0,0,-.21683719,.01307551,-.04618515,-.21683719,.3013945,.2588892,.3438998,0,.3013945,.2588892,.3438998,1,1,.2404022,.2794578,21977,21977.07,0,0
"FRA",11,"IledeFrance","2020-03-04",55,55,12278210,23,0,0,0,0,0,0,0,0,0,0,0,1,0,5000,0,0,21978,3,3,2020,4,1,4.007333,.3964155,3.135494,.6505876,,.3471288,0,0,1,0,0,0,.05720579,.01307551,-.00836996,.05720579,.3392097,.2967044,.381715,0,.3392097,.2967044,.381715,1,1,.2959277,.3245403,21978.05,21978.13,0,0
"FRA",11,"IledeFrance","2020-03-05",76,76,12278210,37,0,0,0,0,0,0,0,0,0,0,0,1,0,5000,0,0,21979,4,3,2020,5,1,4.330733,.3234,3.610918,.4754236,,.410651,0,0,1,0,0,0,-.06269321,.01307551,.03851358,-.06269321,.3860932,.3435879,.4285985,0,.3860932,.3435879,.4285985,1,1,.3428112,.3714238,21978.99,21979.04,0,0
"FRA",11,"IledeFrance","2020-03-06",89,89,12278210,59,0,0,0,0,0,0,0,0,0,0,0,1,0,5000,1,.1360254,21980,5,3,2020,6,1,4.488636,.1579032,4.077538,.4666197,,.350974,0,0,1,0,0,0,-.23010962,.01307551,.04169315,-.23010962,.3880128,.3418623,.4341634,-.00126,.3892728,.3467675,.4317781,1,1,.3490559,.3768544,21980.13,21980.18,0,0
"FRA",11,"IledeFrance","2020-03-07",104,104,12278210,76,0,0,0,0,0,0,0,0,0,0,0,1,0,5000,1,.2376978,21981,6,3,2020,7,1,4.644391,.1557546,4.330733,.2531958,,.3647754,0,0,1,0,0,0,-.2120454,.01307551,.02242208,-.2120454,.3678,.3174714,.4181286,-.0022018,.3700017,.3274964,.412507,1,1,.3406387,.3594555,21980.94,21980.82,0,0
"FRA",11,"IledeFrance","2020-03-08",243,243,12278210,95,0,0,0,0,0,0,0,0,0,0,0,1,0,1000,1,.3451565,21982,0,3,2020,8,1,5.493062,.8486705,4.553877,.2231436,,.3150322,0,0,1,1,0,.2,.52626991,.01307551,.02659879,.52626991,.3224006,.2927282,.352073,-.0517779,.3741784,.3316731,.4166837,1,1,.301836,.3623806,21982,21981.94,0,0
"FRA",11,"IledeFrance","2020-03-09",300,300,12278210,143,0,0,0,0,0,0,0,0,0,0,0,1,0,1000,1,.638106,21983,1,3,2020,9,1,5.703783,.210721,4.962845,.408968,,.1914497,0,0,1,1,0,.2,-.02690551,.01307551,-.0554617,-.02690551,.2376265,.1879105,.2873425,-.0544914,.292118,.2496127,.3346232,1,1,.2198051,.2815717,21982.78,21983.03,0,0
"FRA",11,"IledeFrance","2020-03-10",334,334,12278210,195,0,0,0,0,0,0,0,0,0,0,0,1,0,1000,1,.638106,21984,2,3,2020,10,1,5.811141,.1073585,5.273,.3101549,,.1988416,0,0,1,1,0,.2,-.13954462,.01307551,-.04618515,-.13954462,.2469031,.1971871,.2966191,-.0544914,.3013945,.2588892,.3438998,1,1,.2234853,.2882546,21983.91,21984.13,0,0
"FRA",11,"IledeFrance","2020-03-11",492,492,12278210,250,0,0,0,0,0,0,0,.5,.5,0,0,1,0,1000,1,.638106,21985,3,3,2020,11,1,6.198479,.3873377,5.521461,.2484612,,.2272544,0,0,1,1,0,.3,.12690978,.01307551,-.00836996,.12690978,.2604279,.2207855,.3000703,-.0787818,.3392097,.2967044,.381715,1,1,.2366379,.3260698,21984.98,21984.99,0,0
"FRA",11,"IledeFrance","2020-03-12",577,577,12278210,338,0,0,0,0,0,0,0,.5,.5,0,0,1,0,1000,1,.638106,21986,4,3,2020,12,1,6.357842,.1593637,5.823046,.3015847,,.265296,0,0,1,1,0,.3,-.14794771,.01307551,.03851358,-.14794771,.3073114,.2676691,.3469539,-.0787818,.3860932,.3435879,.4285985,1,1,.2833507,.3729533,21986.05,21985.88,0,0
