adm0_name,adm1_id,adm1_name,date,cum_confirmed_cases,cum_confirmed_cases_imputed,population,cum_hospitalized,event_cancel,event_cancel_popwt,home_isolation,home_isolation_popwt,no_gathering_inside,no_gathering_inside_popwt,social_distance,social_distance_popwt,social_distance_opt,business_closure,no_gathering,no_gathering_size,school_closure,school_closure_popwt,t,dow,month,year,day,longest_series,l_cum_confirmed_cases,D_l_cum_confirmed_cases,l_cum_hospitalized,D_l_cum_hospitalized,sample_avg,day_avg,testing_regime_15mar2020,national_lockdown,no_gathering_5000,no_gathering_1000,no_gathering_100,pck_social_distance
"France",11,"IledeFrance","2020-02-29",,14,12278210,1,1,.1749661,0,0,0,0,0,0,0,0,1,5000,0,0,21974,6,2,2020,29,1,,,0,,,,0,0,1,0,0,.2
"France",11,"IledeFrance","2020-03-01",,20,12278210,1,1,.1749661,0,0,0,0,0,0,0,0,1,5000,0,0,21975,0,3,2020,1,1,,,0,0,,,0,0,1,0,0,.2
"France",11,"IledeFrance","2020-03-02",34,34,12278210,6,1,.1749661,0,0,0,0,0,0,0,0,1,5000,0,0,21976,1,3,2020,2,1,3.526361,,1.791759,1.791759,,,0,0,1,0,0,.2
"France",11,"IledeFrance","2020-03-03",37,37,12278210,12,1,.1749661,0,0,0,0,0,0,0,0,1,5000,0,0,21977,2,3,2020,3,1,3.610918,.0845573,2.484907,.6931472,,.1785852,0,0,1,0,0,.2
"France",11,"IledeFrance","2020-03-04",55,55,12278210,23,1,.1749661,0,0,0,0,0,0,0,0,1,5000,0,0,21978,3,3,2020,4,1,4.007333,.3964155,3.135494,.6505876,,.3471288,0,0,1,0,0,.2
"France",11,"IledeFrance","2020-03-05",76,76,12278210,37,1,.1749661,0,0,0,0,0,0,0,0,1,5000,0,0,21979,4,3,2020,5,1,4.330733,.3234,3.610918,.4754236,,.410651,0,0,1,0,0,.2
"France",11,"IledeFrance","2020-03-06",89,89,12278210,59,1,.1749661,0,0,0,0,0,0,0,0,1,5000,1,.2720509,21980,5,3,2020,6,1,4.488636,.1579032,4.077538,.4666197,,.350974,0,0,1,0,0,.2
"France",11,"IledeFrance","2020-03-07",104,104,12278210,76,1,.1749661,0,0,0,0,0,0,0,0,1,5000,1,.3737232,21981,6,3,2020,7,1,4.644391,.1557546,4.330733,.2531958,,.3647754,0,0,1,0,0,.2
"France",11,"IledeFrance","2020-03-08",243,243,12278210,95,1,.1749661,0,0,0,0,0,0,0,0,1,1000,1,.5828543,21982,0,3,2020,8,1,5.493062,.8486705,4.553877,.2231436,,.3150322,0,0,1,1,0,.4
"France",11,"IledeFrance","2020-03-09",300,300,12278210,143,1,.1749661,0,0,0,0,0,0,0,0,1,1000,1,.8758038,21983,1,3,2020,9,1,5.703783,.210721,4.962845,.408968,,.1914497,0,0,1,1,0,.4
"France",11,"IledeFrance","2020-03-10",334,334,12278210,195,1,.1749661,0,0,0,0,0,0,0,0,1,1000,1,.9832625,21984,2,3,2020,10,1,5.811141,.1073585,5.273,.3101549,,.1988416,0,0,1,1,0,.4
"France",11,"IledeFrance","2020-03-11",492,492,12278210,250,1,.1749661,0,0,0,0,.5,.5,0,0,1,1000,1,1,21985,3,3,2020,11,1,6.198479,.3873377,5.521461,.2484612,,.2272544,0,0,1,1,0,.5
"France",11,"IledeFrance","2020-03-12",577,577,12278210,338,1,.1749661,0,0,0,0,.5,.5,0,0,1,1000,1,1,21986,4,3,2020,12,1,6.357842,.1593637,5.823046,.3015847,,.265296,0,0,1,1,0,.5
"France",11,"IledeFrance","2020-03-13",721,721,12278210,439,1,.1749661,0,0,0,0,1,.6464748,0,0,1,100,1,1,21987,5,3,2020,13,1,6.580639,.2227969,6.084499,.2614536,,.2563666,0,0,1,1,1,.8
"France",11,"IledeFrance","2020-03-14",949,949,12278210,526,1,.1749661,0,0,0,0,1,.6464748,1,0,1,100,1,1,21988,6,3,2020,14,1,6.855409,.2747693,6.265301,.1808019,,.2330573,0,0,1,1,1,.8
"France",11,"IledeFrance","2020-03-15",1209,1209,12278210,628,1,.1749661,0,0,0,0,1,.6464748,1,1,1,100,1,1,21989,0,3,2020,15,1,7.097549,.2421403,6.44254,.1772389,,.1594566,1,.5,1,1,1,.8
"France",11,"IledeFrance","2020-03-16",1762,1762,12278210,762,1,.1749661,0,0,0,0,1,.6464748,1,1,1,100,1,1,21990,1,3,2020,16,1,7.474205,.3766561,6.635947,.1934066,,.1638668,0,.5,1,1,1,.8
"France",11,"IledeFrance","2020-03-17",2177,2177,12278210,942,1,.1749661,.8,.8,0,0,1,.6464748,1,1,1,100,1,1,21991,2,3,2020,17,1,7.685703,.2114983,6.848005,.2120585,,.1300666,0,.9,1,1,1,.8
"France",11,"IledeFrance","2020-03-18",2693,2693,12278210,1124,1,.1749661,.8,.8,0,0,1,.6464748,1,1,1,100,1,1,21992,3,3,2020,18,1,7.898411,.212708,7.024649,.1766438,,.1402146,0,.9,1,1,1,.8
"France",11,"IledeFrance","2020-03-19",3384,3384,12278210,1395,1,.1749661,.8,.8,0,0,1,.6464748,1,1,1,100,1,1,21993,4,3,2020,19,1,8.126814,.2284026,7.24065,.2160006,,.1588209,0,.9,1,1,1,.8
