date,adm0_name,adm1_name,school_closure,travel_ban_local_opt,no_gathering,work_from_home,testing_regime,home_isolation,cum_confirmed_cases,cum_confirmed_cases_imputed,population,t,dow,month,year,day,adm1_id,l_cum_confirmed_cases,D_l_cum_confirmed_cases,testing_regime_mar13,sample_avg,day_avg,p_1,p_2,p_1_x_Tehran,p_2_x_Tehran
"2020-02-27","IRN","Alborz",0,0,1,0,0,0,,5,2712400,27feb2020,4,2,2020,27,"Alborz",,,0,.1929733,,,0,,0
"2020-02-28","IRN","Alborz",0,0,1,0,0,0,,8,2712400,28feb2020,5,2,2020,28,"Alborz",,,0,.1929733,,,0,,0
"2020-02-29","IRN","Alborz",0,0,1,0,0,0,16,16,2712400,29feb2020,6,2,2020,29,"Alborz",2.772589,,0,.1929733,,,0,,0
"2020-03-01","IRN","Alborz",0,1,1,0,0,0,47,47,2712400,01mar2020,0,3,2020,1,"Alborz",3.850147,1.077559,0,,,0,0,0,0
"2020-03-02","IRN","Alborz",0,1,1,0,0,0,,89,2712400,02mar2020,1,3,2020,2,"Alborz",,,0,.1929733,,0,0,0,0
"2020-03-03","IRN","Alborz",0,1,1,1,0,0,,156,2712400,03mar2020,2,3,2020,3,"Alborz",,,0,.1929733,,0,0,0,0
"2020-03-04","IRN","Alborz",0,1,1,1,0,0,66,175,2712400,04mar2020,3,3,2020,4,"Alborz",4.189655,,0,.1929733,,.3333333,0,0,0
"2020-03-05","IRN","Alborz",1,1,1,1,0,0,127,236,2712400,05mar2020,4,3,2020,5,"Alborz",4.844187,.6545324,0,,,.3333333,0,0,0
"2020-03-06","IRN","Alborz",1,1,1,1,0,0,256,365,2712400,06mar2020,5,3,2020,6,"Alborz",5.545177,.7009902,0,,,.6666667,0,0,0
"2020-03-07","IRN","Alborz",1,1,1,1,0,0,259,368,2712400,07mar2020,6,3,2020,7,"Alborz",5.556828,.0116506,0,,,.6666667,0,0,0
"2020-03-08","IRN","Alborz",1,1,1,1,0,0,261,370,2712400,08mar2020,0,3,2020,8,"Alborz",5.56452,.0076923,0,,,1,0,0,0
"2020-03-09","IRN","Alborz",1,1,1,1,0,0,261,370,2712400,09mar2020,1,3,2020,9,"Alborz",5.56452,0,0,,,1,0,0,0
"2020-03-10","IRN","Alborz",1,1,1,1,0,0,293,402,2712400,10mar2020,2,3,2020,10,"Alborz",5.680172,.1156521,0,,,1,0,0,0
"2020-03-11","IRN","Alborz",1,1,1,1,0,0,338,447,2712400,11mar2020,3,3,2020,11,"Alborz",5.823046,.1428733,0,,,1,0,0,0
"2020-03-12","IRN","Alborz",1,1,1,1,0,0,412,521,2712400,12mar2020,4,3,2020,12,"Alborz",6.021023,.1979775,0,,,1,0,0,0
"2020-03-13","IRN","Alborz",1,1,1,1,1,1,418,527,2712400,13mar2020,5,3,2020,13,"Alborz",6.035481,.0144582,1,,,1,1,0,0
"2020-03-14","IRN","Alborz",1,1,1,1,1,1,552,661,2712400,14mar2020,6,3,2020,14,"Alborz",6.313548,.2780666,0,,,1,1,0,0
"2020-03-15","IRN","Alborz",1,1,1,1,1,1,619,728,2712400,15mar2020,0,3,2020,15,"Alborz",6.428105,.1145573,0,,,1,1,0,0
"2020-03-16","IRN","Alborz",1,1,1,1,1,1,668,777,2712400,16mar2020,1,3,2020,16,"Alborz",6.504288,.0761828,0,,,1,1,0,0
"2020-03-17","IRN","Alborz",1,1,1,1,1,1,784,893,2712400,17mar2020,2,3,2020,17,"Alborz",6.664409,.160121,0,,,1,1,0,0
"2020-03-18","IRN","Alborz",1,1,1,1,1,1,860,969,2712400,18mar2020,3,3,2020,18,"Alborz",6.756932,.0925231,0,,,1,1,0,0
"2020-02-27","IRN","Ardebil",0,0,1,0,0,0,,5,1270420,27feb2020,4,2,2020,27,"Ardebil",,,0,.1929733,,,0,,0
"2020-02-28","IRN","Ardebil",0,0,1,0,0,0,,6,1270420,28feb2020,5,2,2020,28,"Ardebil",,,0,.1929733,,,0,,0
"2020-02-29","IRN","Ardebil",0,0,1,0,0,0,,9,1270420,29feb2020,6,2,2020,29,"Ardebil",,,0,.1929733,,,0,,0
"2020-03-01","IRN","Ardebil",0,1,1,0,0,0,,9,1270420,01mar2020,0,3,2020,1,"Ardebil",,,0,.1929733,,0,0,0,0
"2020-03-02","IRN","Ardebil",0,1,1,0,0,0,,9,1270420,02mar2020,1,3,2020,2,"Ardebil",,,0,.1929733,,0,0,0,0
"2020-03-03","IRN","Ardebil",0,1,1,1,0,0,,9,1270420,03mar2020,2,3,2020,3,"Ardebil",,,0,.1929733,,0,0,0,0
"2020-03-04","IRN","Ardebil",0,1,1,1,0,0,,9,1270420,04mar2020,3,3,2020,4,"Ardebil",,,0,.1929733,,.3333333,0,0,0
"2020-03-05","IRN","Ardebil",1,1,1,1,0,0,26,26,1270420,05mar2020,4,3,2020,5,"Ardebil",3.258096,,0,.1929733,,.3333333,0,0,0
"2020-03-06","IRN","Ardebil",1,1,1,1,0,0,37,37,1270420,06mar2020,5,3,2020,6,"Ardebil",3.610918,.3528214,0,,,.6666667,0,0,0
"2020-03-07","IRN","Ardebil",1,1,1,1,0,0,38,38,1270420,07mar2020,6,3,2020,7,"Ardebil",3.637586,.0266683,0,,,.6666667,0,0,0
"2020-03-08","IRN","Ardebil",1,1,1,1,0,0,47,47,1270420,08mar2020,0,3,2020,8,"Ardebil",3.850147,.2125614,0,,,1,0,0,0
"2020-03-09","IRN","Ardebil",1,1,1,1,0,0,69,69,1270420,09mar2020,1,3,2020,9,"Ardebil",4.234107,.3839591,0,,,1,0,0,0
"2020-03-10","IRN","Ardebil",1,1,1,1,0,0,88,88,1270420,10mar2020,2,3,2020,10,"Ardebil",4.477337,.2432303,0,,,1,0,0,0
"2020-03-11","IRN","Ardebil",1,1,1,1,0,0,89,89,1270420,11mar2020,3,3,2020,11,"Ardebil",4.488636,.0112996,0,,,1,0,0,0
"2020-03-12","IRN","Ardebil",1,1,1,1,0,0,103,103,1270420,12mar2020,4,3,2020,12,"Ardebil",4.634729,.1460924,0,,,1,0,0,0
"2020-03-13","IRN","Ardebil",1,1,1,1,1,1,118,118,1270420,13mar2020,5,3,2020,13,"Ardebil",4.770685,.1359558,1,,,1,1,0,0
"2020-03-14","IRN","Ardebil",1,1,1,1,1,1,151,151,1270420,14mar2020,6,3,2020,14,"Ardebil",5.01728,.2465949,0,,,1,1,0,0
"2020-03-15","IRN","Ardebil",1,1,1,1,1,1,151,151,1270420,15mar2020,0,3,2020,15,"Ardebil",5.01728,0,0,,,1,1,0,0
"2020-03-16","IRN","Ardebil",1,1,1,1,1,1,181,181,1270420,16mar2020,1,3,2020,16,"Ardebil",5.198497,.1812172,0,,,1,1,0,0
"2020-03-17","IRN","Ardebil",1,1,1,1,1,1,200,200,1270420,17mar2020,2,3,2020,17,"Ardebil",5.298317,.0998206,0,,,1,1,0,0
"2020-03-18","IRN","Ardebil",1,1,1,1,1,1,210,210,1270420,18mar2020,3,3,2020,18,"Ardebil",5.347107,.04879,0,,,1,1,0,0
"2020-02-27","IRN","Bushehr",0,0,1,0,0,0,,0,1163400,27feb2020,4,2,2020,27,"Bushehr",,,0,.1929733,,,0,,0
"2020-02-28","IRN","Bushehr",0,0,1,0,0,0,,0,1163400,28feb2020,5,2,2020,28,"Bushehr",,,0,.1929733,,,0,,0
"2020-02-29","IRN","Bushehr",0,0,1,0,0,0,,0,1163400,29feb2020,6,2,2020,29,"Bushehr",,,0,.1929733,,,0,,0
"2020-03-01","IRN","Bushehr",0,1,1,0,0,0,,0,1163400,01mar2020,0,3,2020,1,"Bushehr",,,0,.1929733,,0,0,0,0
"2020-03-02","IRN","Bushehr",0,1,1,0,0,0,,0,1163400,02mar2020,1,3,2020,2,"Bushehr",,,0,.1929733,,0,0,0,0
"2020-03-03","IRN","Bushehr",0,1,1,1,0,0,,0,1163400,03mar2020,2,3,2020,3,"Bushehr",,,0,.1929733,,0,0,0,0
"2020-03-04","IRN","Bushehr",0,1,1,1,0,0,,0,1163400,04mar2020,3,3,2020,4,"Bushehr",,,0,.1929733,,.3333333,0,0,0
"2020-03-05","IRN","Bushehr",1,1,1,1,0,0,,3,1163400,05mar2020,4,3,2020,5,"Bushehr",,,0,.1929733,,.3333333,0,0,0
"2020-03-06","IRN","Bushehr",1,1,1,1,0,0,,5,1163400,06mar2020,5,3,2020,6,"Bushehr",,,0,.1929733,,.6666667,0,0,0
"2020-03-07","IRN","Bushehr",1,1,1,1,0,0,,8,1163400,07mar2020,6,3,2020,7,"Bushehr",,,0,.1929733,,.6666667,0,0,0
"2020-03-08","IRN","Bushehr",1,1,1,1,0,0,10,10,1163400,08mar2020,0,3,2020,8,"Bushehr",2.302585,,0,.1929733,,1,0,0,0
