date,adm0_name,adm1_name,adm2_name,lat,lon,cum_confirmed_cases,cum_confirmed_cases_imputed,population,travel_ban_intl_out,business_closure,business_closure_popwt,no_gathering,no_gathering_popwt,school_closure,school_closure_popwt,social_distance,social_distance_popwt,work_from_home,work_from_home_popwt,transit_suspension,transit_suspension_popwt,travel_ban_local,travel_ban_local_popwt,testing_regime,social_distance_opt,social_distance_opt_popwt,work_from_home_opt,work_from_home_opt_popwt,home_isolation,home_isolation_popwt,pos_cases_quarantine,pos_cases_quarantine_popwt,travel_ban_intl_in,policies_enacted,no_gathering_size,t,dow,month,year,day,adm1_id,adm2_id,l_cum_confirmed_cases,D_l_cum_confirmed_cases,testing_regime_change_feb26,sample_avg,day_avg,p_1,p_2,p_3,p_4
"2020-02-25","ITA","Sicilia","Agrigento",37.30971,13.58457,,0,434870,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,25feb2020,2,2,2020,25,"Sicilia","Agrigento",,,0,,,0,0,0,0
"2020-02-26","ITA","Sicilia","Agrigento",37.30971,13.58457,,0,434870,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,26feb2020,3,2,2020,26,"Sicilia","Agrigento",,,1,,,0,0,0,0
"2020-02-27","ITA","Sicilia","Agrigento",37.30971,13.58457,,0,434870,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,27feb2020,4,2,2020,27,"Sicilia","Agrigento",,,0,,,0,0,0,0
"2020-02-28","ITA","Sicilia","Agrigento",37.30971,13.58457,,0,434870,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,28feb2020,5,2,2020,28,"Sicilia","Agrigento",,,0,,,0,0,0,0
"2020-02-29","ITA","Sicilia","Agrigento",37.30971,13.58457,,0,434870,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,29feb2020,6,2,2020,29,"Sicilia","Agrigento",,,0,,,0,0,0,0
"2020-03-01","ITA","Sicilia","Agrigento",37.30971,13.58457,,0,434870,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,01mar2020,0,3,2020,1,"Sicilia","Agrigento",,,0,,,0,0,0,0
"2020-03-02","ITA","Sicilia","Agrigento",37.30971,13.58457,,0,434870,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,02mar2020,1,3,2020,2,"Sicilia","Agrigento",,,0,,,0,0,0,0
"2020-03-03","ITA","Sicilia","Agrigento",37.30971,13.58457,,0,434870,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,03mar2020,2,3,2020,3,"Sicilia","Agrigento",,,0,,,0,0,0,0
"2020-03-04","ITA","Sicilia","Agrigento",37.30971,13.58457,,0,434870,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,04mar2020,3,3,2020,4,"Sicilia","Agrigento",,,0,,,0,0,0,0
"2020-03-05","ITA","Sicilia","Agrigento",37.30971,13.58457,,0,434870,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,05mar2020,4,3,2020,5,"Sicilia","Agrigento",,,0,,,0,0,0,1
"2020-03-06","ITA","Sicilia","Agrigento",37.30971,13.58457,,0,434870,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,06mar2020,5,3,2020,6,"Sicilia","Agrigento",,,0,,,0,0,0,1
"2020-03-07","ITA","Sicilia","Agrigento",37.30971,13.58457,,1,434870,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,07mar2020,6,3,2020,7,"Sicilia","Agrigento",,,0,,,0,0,0,1
"2020-03-08","ITA","Sicilia","Agrigento",37.30971,13.58457,,1,434870,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,.5,.5,1,1,0,8.5,0,08mar2020,0,3,2020,8,"Sicilia","Agrigento",,,0,,,.7,0,1,1
"2020-03-09","ITA","Sicilia","Agrigento",37.30971,13.58457,,1,434870,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,.5,.5,1,1,0,8.5,0,09mar2020,1,3,2020,9,"Sicilia","Agrigento",,,0,,,.7,0,1,1
"2020-03-10","ITA","Sicilia","Agrigento",37.30971,13.58457,11,11,434870,1,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,.5,.5,1,1,1,10.5,0,10mar2020,2,3,2020,10,"Sicilia","Agrigento",2.397895,,0,,,.7,1,1,1
"2020-03-11","ITA","Sicilia","Agrigento",37.30971,13.58457,16,16,434870,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,12,0,11mar2020,3,3,2020,11,"Sicilia","Agrigento",2.772589,.3746934,0,,,1,1,1,1
