adm1_name,date,adm0_name,cum_confirmed_cases,cum_deaths,cum_recoveries,active_cases,lat,lon,population,business_closure_opt,emergency_declaration,no_demonstration,no_gathering_opt,pos_cases_quarantine,religious_closure,school_closure,social_distance_opt,testing_regime,travel_ban_intl_in,travel_ban_intl_out_opt,welfare_services_closure,work_from_home_opt,travel_ban_intl_in_opt_country_l,travel_ban_intl_out_opt_country_,t,dow,month,year,day,adm1_id,longest_series,l_active_cases,l_cum_confirmed_cases,D_l_active_cases,D_l_cum_confirmed_cases,transmissionrate,D_l_active_cases_raw,testing_regime_change_20feb2020,testing_regime_change_29feb2020,testing_regime_change_22mar2020,testing_regime_change_27mar2020,sample_avg,day_avg,p_1,p_2,p_3,p_4,p_5
"Busan","2020-02-19","KOR",,0,0,,35.20247,129.0815,3410925,0,0,0,0,0,0,0,0,3,1,1,0,0,"","",19feb2020,3,2,2020,19,"Busan",0,,,,,,,0,0,0,0,.0746332,,0,0,0,0,0
"Busan","2020-02-20","KOR",,0,0,,35.20247,129.0815,3410925,0,0,0,0,0,0,0,0,4,1,1,0,0,"","",20feb2020,4,2,2020,20,"Busan",0,,,,,,,1,0,0,0,.0746332,,0,0,0,0,0
"Busan","2020-02-21","KOR",,0,0,,35.20247,129.0815,3410925,0,0,0,0,0,0,0,0,4,1,1,0,0,"","",21feb2020,5,2,2020,21,"Busan",0,,,,,,,0,0,0,0,.0746332,,0,0,0,0,0
"Busan","2020-02-22","KOR",15,0,0,15,35.20247,129.0815,3410925,0,0,0,0,0,0,0,0,4,1,1,0,0,"","",22feb2020,6,2,2020,22,"Busan",0,2.70805,2.70805,,,,,0,0,0,0,.0746332,,0,0,0,0,0
"Busan","2020-02-23","KOR",37,0,0,37,35.20247,129.0815,3410925,0,0,0,0,0,0,0,0,4,1,1,0,0,"","",23feb2020,0,2,2020,23,"Busan",0,3.610918,3.610918,.9028676,.9028676,1.466667,.9028676,0,0,0,0,,,0,0,0,0,0
"Busan","2020-02-24","KOR",43,0,0,43,35.20247,129.0815,3410925,0,0,0,0,0,0,0,0,4,1,1,0,0,"","",24feb2020,1,2,2020,24,"Busan",0,3.7612,3.7612,.1502824,.1502824,.1621622,.1502824,0,0,0,0,,,0,0,0,0,0
"Busan","2020-02-25","KOR",54,0,0,54,35.20247,129.0815,3410925,0,0,0,0,0,0,0,0,4,1,1,0,0,"","",25feb2020,2,2,2020,25,"Busan",0,3.988984,3.988984,.2277839,.2277839,.255814,.2277839,0,0,0,0,,,0,0,0,0,0
"Busan","2020-02-26","KOR",59,0,0,59,35.20247,129.0815,3410925,0,0,0,0,0,1,0,0,4,1,1,0,0,"","",26feb2020,3,2,2020,26,"Busan",0,4.077538,4.077538,.0885534,.0885534,.0925926,.0885534,0,0,0,0,,,0,.5,0,0,0
"Busan","2020-02-27","KOR",65,0,0,65,35.20247,129.0815,3410925,0,0,0,0,0,1,0,0,4,1,1,0,0,"","",27feb2020,4,2,2020,27,"Busan",0,4.174387,4.174387,.0968499,.0968499,.1016949,.0968499,0,0,0,0,,,0,.5,0,0,0
"Busan","2020-02-28","KOR",70,0,0,70,35.20247,129.0815,3410925,0,0,0,0,0,1,0,0,4,1,1,1,0,"","",28feb2020,5,2,2020,28,"Busan",0,4.248495,4.248495,.0741076,.0741076,.0769231,.0741076,0,0,0,0,,,0,.5,.3333333,0,0
