date,adm0_name,adm1_name,cum_confirmed_cases,cum_confirmed_cases_imputed,cum_deaths,cum_deaths_imputed,population,lat,lon,social_distance,emergency_declaration,work_from_home,pos_cases_quarantine,school_closure,business_closure,no_gathering,travel_ban_local,event_cancel,home_isolation,travel_ban_intl_in,travel_ban_intl_out,paid_sick_leave,transit_suspension,religious_closure,social_distance_popwt,emergency_declaration_popwt,work_from_home_popwt,pos_cases_quarantine_popwt,school_closure_popwt,business_closure_popwt,no_gathering_popwt,travel_ban_local_popwt,event_cancel_popwt,home_isolation_popwt,paid_sick_leave_popwt,transit_suspension_popwt,religious_closure_popwt,social_distance_opt,social_distance_opt_popwt,work_from_home_opt,work_from_home_opt_popwt,pos_cases_quarantine_opt,pos_cases_quarantine_opt_popwt,school_closure_opt,school_closure_opt_popwt,business_closure_opt,business_closure_opt_popwt,no_gathering_opt,no_gathering_opt_popwt,travel_ban_local_opt,travel_ban_local_opt_popwt,home_isolation_opt,home_isolation_opt_popwt,paid_sick_leave_opt,paid_sick_leave_opt_popwt,transit_suspension_opt,transit_suspension_opt_popwt,religious_closure_opt,religious_closure_opt_popwt,policies_enacted,testing_regime,t,dow,month,year,day,adm1_id,adm1_abb,longest_series,l_cum_confirmed_cases,D_l_cum_confirmed_cases,testing_regime_13mar2020_NY,testing_regime_16mar2020_CA,testing_regime_18mar2020_NC,testing_regime_19mar2020_CT,testing_regime_19mar2020_NV,testing_regime_19mar2020_UT,testing_regime_20mar2020_IA,testing_regime_21mar2020_TN,testing_regime_22mar2020_AL,testing_regime_23mar2020_HI,testing_regime_24mar2020_KS,testing_regime_24mar2020_NJ,testing_regime_25mar2020_OH,testing_regime_27mar2020_AZ,testing_regime_28mar2020_MD,testing_regime_28mar2020_MO,testing_regime_30mar2020_DE,sample_avg,day_avg,school_closure_comb_popwt,travel_ban_local_comb_popwt,business_closure_comb_popwt,social_distance_comb_popwt,home_isolation_comb_popwt,work_from_home_comb_popwt,pos_cases_quarantine_comb_popwt,no_gathering_comb_popwt,paid_sick_leave_comb_popwt,transit_suspension_comb_popwt,religious_closure_comb_popwt,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9
"2020-03-14","USA","Alabama",11,11,0,0,4908621,32.793,-86.828,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,14mar2020,6,3,2020,14,"Alabama","AL",0,2.397895,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.2070827,,0,0,0,.5,0,0,0,0,1,0,0,.5,.25,0,1,0,0,0,0,0
"2020-03-15","USA","Alabama",22,22,0,0,4908621,32.793,-86.828,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,5,0,15mar2020,0,3,2020,15,"Alabama","AL",0,3.091043,.6931472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,.5,0,0,0,.5,1,0,0,.75,.25,0,1,0,0,0,0,0
"2020-03-16","USA","Alabama",29,29,0,0,4908621,32.793,-86.828,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,5,0,16mar2020,1,3,2020,16,"Alabama","AL",0,3.367296,.2762532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,.5,0,.5,.5,.5,1,0,0,.75,.25,.5,1,.5,0,0,0,0
"2020-03-17","USA","Alabama",39,39,0,0,4908621,32.793,-86.828,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,5,0,17mar2020,2,3,2020,17,"Alabama","AL",0,3.663562,.2962658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,.5,0,.5,.5,.5,1,0,0,.75,.25,.5,1,.5,0,0,0,0
"2020-03-18","USA","Alabama",51,51,0,0,4908621,32.793,-86.828,0,1,0,0,.33,0,0,0,1,0,1,1,1,0,0,0,1,0,0,.33,0,0,0,1,0,1,0,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,5.33,0,18mar2020,3,3,2020,18,"Alabama","AL",0,3.931826,.2682641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,.33,0,0,.5,0,.5,.5,.5,1,0,0,.75,.25,.5,1,.5,.33,0,0,0
"2020-03-19","USA","Alabama",78,78,0,0,4908621,32.793,-86.828,.2,1,0,0,.67,.5,.5,0,1,0,1,1,1,0,0,.2,1,0,0,.67,.5,.5,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.87,0,19mar2020,4,3,2020,19,"Alabama","AL",0,4.356709,.4248834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,.67,0,.5,.2,0,.5,.5,.5,1,0,0,.75,.1,.5,1,.5,.67,0,.5,0
"2020-03-20","USA","Alabama",106,106,0,0,4908621,32.793,-86.828,.2,1,0,0,.67,.5,.5,0,1,0,1,1,1,0,0,.2,1,0,0,.67,.5,.5,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.87,0,20mar2020,5,3,2020,20,"Alabama","AL",0,4.663439,.3067303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,.67,0,.5,.2,0,.5,.5,.5,1,0,0,.75,.1,.5,1,.5,.67,0,.5,0
"2020-03-21","USA","Alabama",131,131,0,0,4908621,32.793,-86.828,.2,1,0,0,.67,.5,.5,0,1,0,1,1,1,0,0,.2,1,0,0,.67,.5,.5,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.87,0,21mar2020,6,3,2020,21,"Alabama","AL",0,4.875197,.2117581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,.67,0,.5,.2,0,.5,.5,.5,1,0,0,.75,.1,.5,1,.5,.67,0,.5,0
"2020-03-22","USA","Alabama",167,167,0,0,4908621,32.793,-86.828,.2,1,0,0,.67,.5,.5,0,1,0,1,1,1,0,0,.2,1,0,0,.67,.5,.5,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.87,1,22mar2020,0,3,2020,22,"Alabama","AL",0,5.117994,.2427964,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,.67,0,.5,.2,0,.5,.5,.5,1,0,0,.75,.1,.5,1,.5,.67,0,.5,0
"2020-03-23","USA","Alabama",196,196,0,0,4908621,32.793,-86.828,.2,1,0,0,.67,.5,.5,0,1,0,1,1,1,0,0,.2,1,0,0,.67,.5,.5,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.87,1,23mar2020,1,3,2020,23,"Alabama","AL",0,5.278115,.160121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,.67,0,.5,.2,0,.5,.5,.5,1,0,0,.75,.1,.5,1,.5,.67,0,.5,0
"2020-03-24","USA","Alabama",242,242,0,0,4908621,32.793,-86.828,.2,1,0,0,.67,.5,.5,0,1,0,1,1,1,0,0,.2,1,0,0,.67,.5,.5,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.87,1,24mar2020,2,3,2020,24,"Alabama","AL",0,5.488938,.2108231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,.67,0,.5,.2,0,.5,.5,.5,1,0,0,.75,.1,.5,1,.5,.67,0,.5,0
"2020-03-25","USA","Alabama",386,386,1,1,4908621,32.793,-86.828,.2,1,0,0,.67,.5,.5,0,1,0,1,1,1,0,0,.2,1,0,0,.67,.5,.5,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.87,1,25mar2020,3,3,2020,25,"Alabama","AL",0,5.955837,.4668994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,.67,0,.5,.2,0,.5,.5,.5,1,0,0,.75,.1,.5,1,.5,.67,0,.5,0
"2020-03-26","USA","Alabama",531,531,1,1,4908621,32.793,-86.828,.4,1,0,0,.67,.5,.5,0,1,0,1,1,1,0,0,.4,1,0,0,.67,.5,.5,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.07,1,26mar2020,4,3,2020,26,"Alabama","AL",0,6.274762,.3189249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,.67,0,.5,.4,0,.5,.5,.5,1,0,0,.75,.2,.5,1,.5,.67,0,.5,0
"2020-03-27","USA","Alabama",639,639,2,2,4908621,32.793,-86.828,.6,1,0,0,1,.5,.5,0,1,0,1,1,1,0,0,.6,1,0,0,1,.5,.5,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.6,1,27mar2020,5,3,2020,27,"Alabama","AL",0,6.459905,.1851425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,0,.5,.6,0,.5,.5,.5,1,0,0,.75,.3,.5,1,.5,1,0,.5,0
"2020-03-28","USA","Alabama",717,717,3,3,4908621,32.793,-86.828,.8,1,0,1,1,1,1,1,1,0,1,1,1,0,0,.8,1,0,1,1,1,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.8,1,28mar2020,6,3,2020,28,"Alabama","AL",0,6.575076,.115171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,1,1,.8,0,.5,1,1,1,0,0,1,.4,1,1,.5,1,.5,1,0
"2020-03-29","USA","Alabama",825,825,4,4,4908621,32.793,-86.828,.8,1,0,1,1,1,1,1,1,0,1,1,1,0,0,.8,1,0,1,1,1,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.8,1,29mar2020,0,3,2020,29,"Alabama","AL",0,6.715384,.1403079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,1,1,.8,0,.5,1,1,1,0,0,1,.4,1,1,.5,1,.5,1,0
"2020-03-30","USA","Alabama",941,941,6,6,4908621,32.793,-86.828,.8,1,0,1,1,1,1,1,1,0,1,1,1,0,0,.8,1,0,1,1,1,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.8,1,30mar2020,1,3,2020,30,"Alabama","AL",0,6.846943,.1315594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,1,1,.8,0,.5,1,1,1,0,0,1,.4,1,1,.5,1,.5,1,0
"2020-03-31","USA","Alabama",997,997,13,13,4908621,32.793,-86.828,.8,1,0,1,1,1,1,1,1,0,1,1,1,0,0,.8,1,0,1,1,1,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.8,1,31mar2020,2,3,2020,31,"Alabama","AL",0,6.904751,.0578079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,1,1,.8,0,.5,1,1,1,0,0,1,.4,1,1,.5,1,.5,1,0
"2020-04-01","USA","Alabama",1106,1106,16,16,4908621,32.793,-86.828,.8,1,0,1,1,1,1,1,1,0,1,1,1,0,0,.8,1,0,1,1,1,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.8,1,01apr2020,3,4,2020,1,"Alabama","AL",0,7.008505,.1037545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,1,1,.8,0,.5,1,1,1,0,0,1,.4,1,1,.5,1,.5,1,0
