Countries (comma separated),Variables (comma separated),Source,Notes,URL,Date/time data most recently downloaded
China,"cum_confirmed_cases, cum_deaths, cum_recoveries",Hubei Health Commission,,http://wjw.hubei.gov.cn/bmdt/ztzl/fkxxgzbdgrfyyq/xxfb/index_26.shtml,3/16/20
China,"cum_confirmed_cases, cum_deaths, cum_recoveries",National Health Commission of PRC,,http://www.nhc.gov.cn/xcs/yqtb/list_gzbd.shtml,3/16/20
China,"cum_confirmed_cases, cum_deaths, cum_recoveries",Guangdong Health Commission,,http://wsjkw.gd.gov.cn/zwyw_yqxx/index_5.html,3/16/20
China,"cum_confirmed_cases, cum_deaths, cum_recoveries",Zhejiang Health Commision,,http://www.zj.gov.cn/col/col1228996608/index.html,3/16/20
China,"cum_confirmed_cases, cum_deaths, cum_recoveries",DXY Crawler,,https://github.com/BlankerL/DXY-COVID-19-Data,3/18/20
Italy,"cum_hospitalized_symptom, cum_intensive_care, cum_hospitalized, cum_home_confinement, active_cases, active_cases_new, cum_recoveries, cum_deaths, cum_confirmed_cases, cum_tests",Dipartimento della Protezione Civile,,https://github.com/pcm-dpc/COVID-19,3/18/20
USA,"cum_confirmed_cases, active_cases, cum_deaths, cum_recoveries",Johns Hopkins University interactive dashboard,,https://github.com/CSSEGISandData/COVID-19 ,3/18/20
Korea,cum_confirmed_cases,Daegu,,http://www.daegu.go.kr/dgcontent/index.do?menu_link=/icms/bbs/selectBoardArticle.do&menu_id=00936642&bbsId=BBS_02112&nttId=446002,3/14/20
Korea,cum_confirmed_cases,Gyeongsangbuk-do,,https://www.gb.go.kr/Main/open_contents/section/wel/page.do?mnu_uid=5857&LARGE_CODE=360&MEDIUM_CODE=90&SMALL_CODE=10mnu_order=2,3/14/20
Korea,cum_confirmed_cases,Jeollabuk-do,,http://www.jeonbuk.go.kr/board/list.jeonbuk?boardId=BBS_0000105&menuCd=DOM_000000105010004000&contentsSid=1189&cpath=,3/14/20
Korea,cum_confirmed_cases,Gyeongsangbuk-do,,https://www.gb.go.kr/,3/14/20
