adm0_name,e
"CHN",-.0797017
"CHN",.374236
"CHN",.1578337
"CHN",-.0804321
"CHN",-.0440589
"CHN",-.1259243
"CHN",-.0334224
"CHN",-.0647741
"CHN",.0248722
"CHN",.0063678
"CHN",-.0075516
"CHN",-.0014127
"CHN",-.0331587
"CHN",-.0312051
"CHN",-.0135509
"CHN",-.0042172
"CHN",-.0246253
"CHN",-.003792
"CHN",-.0082172
"CHN",-.0082172
"CHN",-.0032133
"CHN",-.0082172
"CHN",-.0180322
"CHN",-.0180322
"CHN",-.0180322
"CHN",.0136165
"CHN",.0136165
"CHN",.0136165
"CHN",.0136165
"CHN",.0030032
"CHN",.0030032
"CHN",.0030032
"CHN",.0030032
"CHN",-.1322552
"CHN",.3178017
"CHN",.1851153
"CHN",.0068007
"CHN",-.0334809
"CHN",.1831736
"CHN",.1635432
"CHN",.0364746
"CHN",.0598353
"CHN",-.0220048
"CHN",-.004374
"CHN",-.015553
"CHN",-.0296773
"CHN",-.0468128
"CHN",-.0236708
"CHN",-.0236708
"CHN",-.0522198
"CHN",-.0428046
"CHN",-.0346746
"CHN",-.0297363
"CHN",-.0428046
"CHN",-.0454465
"CHN",-.0454465
"CHN",-.0560599
"CHN",-.0244111
"CHN",-.0244111
"CHN",-.0244111
"CHN",-.0244111
"CHN",-.0244111
"CHN",-.0244111
"CHN",-.0627925
"CHN",-.0627925
"CHN",-.033976
"CHN",.0133344
"CHN",.0189895
"CHN",.1009924
"CHN",.0642271
"CHN",.0432136
"CHN",-.0290011
"CHN",-.0305898
"CHN",.0625283
"CHN",.0124737
"CHN",-.0025366
"CHN",-.0415002
"CHN",.0173233
"CHN",-.0042525
"CHN",.0299284
"CHN",-.0214726
"CHN",-.0207717
"CHN",-.0329668
"CHN",-.0165586
"CHN",-.0165586
"CHN",-.0115548
"CHN",-.0165586
"CHN",-.0263737
"CHN",-.0263737
"CHN",-.0263737
"CHN",.005275
"CHN",.005275
"CHN",.005275
"CHN",.005275
"CHN",-.0053383
"CHN",-.0053383
"CHN",-.0053383
"CHN",-.0053383
"CHN",-.0053383
"CHN",-.0292668
"CHN",-.095654
"CHN",-.1055397
"CHN",-.0446429
"CHN",.0506673
"CHN",.0423684
"CHN",-.022631
"CHN",.0574116
"CHN",-.0206774
"CHN",.0542921
"CHN",-.0140975
"CHN",-.0140975
"CHN",-.0140975
"CHN",.0023106
"CHN",.0023106
"CHN",.0073145
"CHN",.0023106
"CHN",-.0075045
"CHN",-.0075045
"CHN",-.0075045
"CHN",.0241443
"CHN",.0241443
"CHN",.0241443
"CHN",.0241443
"CHN",.0135309
"CHN",.0135309
"CHN",.0135309
"CHN",.0135309
"CHN",.0135309
"CHN",-.1264385
"CHN",-.0874653
"CHN",-.0973509
"CHN",-.0364542
"CHN",-.0364542
"CHN",.0746569
"CHN",-.0144422
"CHN",-.0144422
"CHN",.1052945
"CHN",-.0144422
"CHN",-.0059088
"CHN",-.0059088
"CHN",-.0059088
"CHN",.0104994
"CHN",.0104994
"CHN",.0155032
"CHN",.0104994
