r2	se	L	adm0	grp	max	min
.3124267	.0575327	0	"FRA"	1	.4251908	.1996626
.3177198	.0591519	1	"FRA"	1	.4336575	.2017821
.32881	.0576438	2	"FRA"	1	.4417919	.2158282
.3129631	.056691	3	"FRA"	1	.4240775	.2018487
.3024119	.0529708	4	"FRA"	1	.4062347	.1985891
.3082081	.0517526	5	"FRA"	1	.4096432	.206773
.2979783	.0500059	6	"FRA"	1	.3959899	.1999667
.2760409	.0483513	7	"FRA"	1	.3708095	.1812724
.2658701	.0493076	8	"FRA"	1	.362513	.1692272
.2528998	.0486852	9	"FRA"	1	.3483228	.1574768
.2334359	.0438304	10	"FRA"	1	.3193435	.1475283
.2177289	.0420513	11	"FRA"	1	.3001494	.1353084
.2052707	.0407373	12	"FRA"	1	.2851158	.1254256
.1940111	.0405977	13	"FRA"	1	.2735826	.1144396
.18468	.0391845	14	"FRA"	1	.2614816	.1078784
.1767286	.0382866	15	"FRA"	1	.2517703	.1016869
.3474652	.0331786	.2	"IRN"	2	.4124953	.2824351
.376863	.0357205	1.2	"IRN"	2	.4468752	.3068508
.3969036	.043094	2.2	"IRN"	2	.4813679	.3124394
.4169676	.0398488	3.2	"IRN"	2	.4950713	.3388639
.4367831	.0410104	4.2	"IRN"	2	.5171635	.3564027
.4229	.0403792	5.2	"IRN"	2	.5020432	.3437568
.423538	.040393	6.2	"IRN"	2	.5027083	.3443677
.3981401	.0383098	7.2	"IRN"	2	.4732273	.3230529
.3620877	.0343043	8.2	"IRN"	2	.4293241	.2948513
.3474882	.0349067	9.2	"IRN"	2	.4159053	.2790711
.3367247	.0324258	10.2	"IRN"	2	.4002793	.2731701
.3229633	.0339937	11.2	"IRN"	2	.3895909	.2563356
.3114666	.0313516	12.2	"IRN"	2	.3729157	.2500175
.3089542	.0332081	13.2	"IRN"	2	.3740421	.2438663
.3093773	.0323325	14.2	"IRN"	2	.372749	.2460056
.2904565	.0320645	15.2	"IRN"	2	.3533029	.2276101
.2805704	.061418	.4	"KOR"	4	.4009497	.1601911
.2976781	.0609819	1.4	"KOR"	4	.4172026	.1781536
.3014501	.0605923	2.4	"KOR"	4	.420211	.1826892
.3136975	.0569429	3.4	"KOR"	4	.4253056	.2020894
.309306	.0581171	4.4	"KOR"	4	.4232155	.1953965
.2897567	.0584397	5.4	"KOR"	4	.4042985	.1752149
.2875497	.0592066	6.4	"KOR"	4	.4035946	.1715048
.2675108	.0593421	7.4	"KOR"	4	.3838213	.1512003
.2417955	.0595087	8.4	"KOR"	4	.3584326	.1251584
.229092	.0595998	9.4	"KOR"	4	.3459076	.1122764
.2154049	.059327	10.4	"KOR"	4	.3316858	.099124
.2121631	.0577664	11.4	"KOR"	4	.3253852	.098941
.2013799	.0585631	12.4	"KOR"	4	.3161636	.0865962
.1879676	.0588496	13.4	"KOR"	4	.3033128	.0726224
.190357	.0572449	14.4	"KOR"	4	.302557	.078157
.1791961	.057499	15.4	"KOR"	4	.2918941	.0664981
.2933832	.0174373	.3	"ITA"	3	.3275603	.2592061
.2950882	.0178918	1.3	"ITA"	3	.3301561	.2600203
.28986	.017761	2.3	"ITA"	3	.3246716	.2550485
.2902479	.0178967	3.3	"ITA"	3	.3253254	.2551703
.2951381	.0181361	4.3	"ITA"	3	.3306848	.2595913
.2997956	.0180054	5.3	"ITA"	3	.3350862	.264505
.2915209	.0183936	6.3	"ITA"	3	.3275723	.2554694
.2974144	.0183951	7.3	"ITA"	3	.3334688	.26136
.2923583	.018755	8.3	"ITA"	3	.3291181	.2555985
.297748	.0184014	9.3	"ITA"	3	.3338147	.2616813
.3070689	.016943	10.3	"ITA"	3	.3402772	.2738606
.301299	.0164715	11.3	"ITA"	3	.3335831	.2690149
.2949163	.0169234	12.3	"ITA"	3	.3280862	.2617464
.2977785	.01664	13.3	"ITA"	3	.3303929	.2651641
.2921422	.0165939	14.3	"ITA"	3	.3246663	.2596182
.2845913	.0168385	15.3	"ITA"	3	.3175947	.2515878
.3209974	.0223478	.5	"USA"	5	.3647991	.2771957
.3179582	.022269	1.5	"USA"	5	.3616054	.274311
.3245877	.0231731	2.5	"USA"	5	.370007	.2791684
.3244376	.022644	3.5	"USA"	5	.3688198	.2800553
.3257976	.0226229	4.5	"USA"	5	.3701385	.2814567
.3263443	.0216706	5.5	"USA"	5	.3688187	.2838699
.3183576	.0214486	6.5	"USA"	5	.3603968	.2763183
.3295912	.0213717	7.5	"USA"	5	.3714797	.2877027
.3265994	.0210723	8.5	"USA"	5	.3679011	.2852977
.331987	.0218047	9.5	"USA"	5	.3747242	.2892498
.3288553	.020213	10.5	"USA"	5	.3684728	.2892378
.3246936	.0199056	11.5	"USA"	5	.3637086	.2856786
.3218575	.0185806	12.5	"USA"	5	.3582755	.2854395
.3150831	.0190555	13.5	"USA"	5	.3524319	.2777343
.3078156	.0189529	14.5	"USA"	5	.3449633	.2706679
.3023643	.0187541	15.5	"USA"	5	.3391223	.2656063
