gamma,sigma,predicted_cum_confirmed_cases_true,predicted_cum_confirmed_cases_no_policy,cases_saved,infections_saved
0.05,0.2,1497514.7254925568,56224293.08572538,54726778.36023282,465806326.55138636
0.05,0.33,1412844.092460525,59805076.18066287,58392232.08820234,500252885.4139583
0.05,0.5,1344341.6853529753,61391973.07494573,60047631.38959276,516310852.6639932
0.05,Inf,1152718.014337503,62893848.699806154,61741130.68546865,532417875.60663456
0.1,0.2,1819263.4448160038,57985719.46490024,56166456.02008424,476178196.5866548
0.1,0.33,1733022.8318671351,61612349.26595262,59879326.43408548,510946056.15565044
0.1,0.5,1658553.9366496755,63152462.65699102,61493908.72034135,526622541.4205864
0.1,Inf,1428432.3212644968,63134081.44462888,61705649.12336438,530126096.7428466
0.15,0.2,2093281.6797842048,59461075.51776215,57367793.837977946,484843171.08892363
0.15,0.33,2006816.7978673365,63102569.82003341,61095753.02216607,519676383.3241001
0.15,0.5,1928255.2852623535,64574170.65278952,62645915.367527165,534781495.5641451
0.15,Inf,1662760.7024732546,62961136.12427228,61298375.42179903,525138383.7079013
0.2,0.2,2333101.024003406,60717330.47365359,58384229.44965018,492170304.1573386
0.2,0.33,2246438.6969264625,64349555.44299895,62103116.74607249,526880641.8982846
0.2,0.5,2164370.1747449455,65735823.633528486,63571453.45878354,541279544.7733887
0.2,Inf,1863584.7134832768,62497905.33094895,60634320.617465675,518322739.3048089
0.25,0.2,2547226.0692996504,61802041.44290246,59254815.37360281,498435683.30759656
0.25,0.33,2460023.1339346264,65406648.7307434,62946625.596808776,532885395.0233966
0.25,0.5,2374557.852846196,66695699.06073423,64321141.20788803,546488622.0103847
0.25,Inf,2037553.3573444546,61842422.24901532,59804868.89167086,510359695.47900474
0.3,0.2,2741284.4106495553,62750016.89951703,60008732.48886748,503848817.05974245
0.3,0.33,2653142.5007602177,66313510.46848861,63660367.96772839,537939564.869517
0.3,0.5,2564231.8495722837,67497811.658252493,64933579.80868021,550693686.075703
0.3,Inf,2189900.4413207388,61065730.027791776,58875829.586471036,501738141.16289467
0.35,0.2,2919174.99166856,63587334.59811111,60668159.60644255,508570556.0748391
0.35,0.33,2829736.969435908,67100125.29342955,64270388.323993646,542234423.1830192
0.35,0.5,2737293.5396488975,68175576.80557866,65438283.265929766,554112915.5308641
0.35,Inf,2324642.3612332107,60217222.73050868,57892580.369275466,492795102.77425575
0.4,0.2,3083708.5501099722,64333891.27436618,61250182.7242562,512725624.96335685
0.4,0.33,2992680.2670342014,67789415.37153089,64796735.10449669,545917648.0262643
0.4,0.5,2896620.974556403,68754430.90317625,65857809.92861985,556913145.223006
0.4,Inf,2444851.5327341175,59330677.55248028,56885826.01974616,483758014.5091495
