gamma,policy,sample,sigma,S_min,coefficient,coefficient_true,LHS,pop
0.05000,Intercept,0,0.20000,0.99999,0.38631,0.40000,I,100000000
0.05000,Intercept,0,0.33000,0.99999,0.30270,0.40000,I,100000000
0.05000,Intercept,0,0.50000,0.99999,0.39713,0.40000,I,100000000
0.05000,Intercept,0,inf,0.99998,0.30437,0.40000,I,100000000
0.05000,Intercept,1,0.20000,0.99998,0.47017,0.40000,I,100000000
0.05000,Intercept,1,0.33000,0.99999,0.40330,0.40000,I,100000000
0.05000,Intercept,1,0.50000,0.99998,0.42278,0.40000,I,100000000
0.05000,Intercept,1,inf,0.99997,0.39253,0.40000,I,100000000
0.05000,Intercept,2,0.20000,0.99999,0.33139,0.40000,I,100000000
0.05000,Intercept,2,0.33000,0.99998,0.35144,0.40000,I,100000000
0.05000,Intercept,2,0.50000,0.99999,0.30802,0.40000,I,100000000
0.05000,Intercept,2,inf,0.99997,0.40265,0.40000,I,100000000
0.05000,Intercept,3,0.20000,0.99997,0.42154,0.40000,I,100000000
0.05000,Intercept,3,0.33000,0.99998,0.37517,0.40000,I,100000000
0.05000,Intercept,3,0.50000,0.99993,0.45093,0.40000,I,100000000
0.05000,Intercept,3,inf,0.99986,0.37815,0.40000,I,100000000
0.05000,Intercept,4,0.20000,0.99989,0.36431,0.40000,I,100000000
0.05000,Intercept,4,0.33000,0.99990,0.36024,0.40000,I,100000000
0.05000,Intercept,4,0.50000,0.99990,0.36216,0.40000,I,100000000
0.05000,Intercept,4,inf,0.99979,0.42148,0.40000,I,100000000
0.05000,Intercept,5,0.20000,0.99998,0.44306,0.40000,I,100000000
0.05000,Intercept,5,0.33000,0.99998,0.40937,0.40000,I,100000000
0.05000,Intercept,5,0.50000,0.99997,0.40762,0.40000,I,100000000
0.05000,Intercept,5,inf,0.99993,0.39762,0.40000,I,100000000
0.05000,Intercept,6,0.20000,0.99995,0.41065,0.40000,I,100000000
0.05000,Intercept,6,0.33000,0.99988,0.43177,0.40000,I,100000000
0.05000,Intercept,6,0.50000,0.99990,0.43378,0.40000,I,100000000
0.05000,Intercept,6,inf,0.99989,0.38031,0.40000,I,100000000
0.05000,Intercept,7,0.20000,0.99998,0.38063,0.40000,I,100000000
0.05000,Intercept,7,0.33000,0.99997,0.47939,0.40000,I,100000000
0.05000,Intercept,7,0.50000,0.99997,0.38995,0.40000,I,100000000
0.05000,Intercept,7,inf,0.99997,0.31267,0.40000,I,100000000
0.05000,Intercept,8,0.20000,0.99993,0.41040,0.40000,I,100000000
0.05000,Intercept,8,0.33000,0.99991,0.40349,0.40000,I,100000000
0.05000,Intercept,8,0.50000,0.99988,0.43871,0.40000,I,100000000
0.05000,Intercept,8,inf,0.99981,0.37544,0.40000,I,100000000
0.05000,Intercept,9,0.20000,1.00000,0.43239,0.40000,I,100000000
0.05000,Intercept,9,0.33000,0.99999,0.38562,0.40000,I,100000000
0.05000,Intercept,9,0.50000,0.99999,0.50926,0.40000,I,100000000
0.05000,Intercept,9,inf,0.99998,0.48634,0.40000,I,100000000
0.05000,Intercept,10,0.20000,0.99991,0.36721,0.40000,I,100000000
0.05000,Intercept,10,0.33000,0.99989,0.30895,0.40000,I,100000000
0.05000,Intercept,10,0.50000,0.99986,0.37232,0.40000,I,100000000
0.05000,Intercept,10,inf,0.99992,0.37303,0.40000,I,100000000
0.05000,Intercept,11,0.20000,0.99999,0.36547,0.40000,I,100000000
0.05000,Intercept,11,0.33000,1.00000,0.39792,0.40000,I,100000000
0.05000,Intercept,11,0.50000,0.99999,0.41794,0.40000,I,100000000
