t,m_y_actual,y_actual,lb_y_actual,ub_y_actual,m_y_counter,y_counter,lb_counter,ub_counter
01mar2020,,.5081917,.457589,.5587944,,.4752629,.3456157,.6049101
05mar2020,,.2858514,.2247584,.3469444,,.515096,.3854488,.6447432
06mar2020,,.3792362,.3181432,.4403291,,.6084808,.4788336,.7381279
07mar2020,,.2637994,.2027064,.3248923,,.493044,.3633968,.6226912
08mar2020,,.2460183,.1849253,.3071112,,.4752629,.3456157,.6049101
09mar2020,,.2629333,.2018403,.3240263,,.492178,.3625308,.6218252
10mar2020,,.2460677,.1849747,.3071606,,.4753123,.3456651,.6049595
11mar2020,,.222492,.1613991,.283585,,.4517367,.3220895,.5813838
12mar2020,,.2858514,.2247584,.3469444,,.515096,.3854488,.6447432
13mar2020,,.1498699,0,.3135709,,.5288662,.244552,.8131804
14mar2020,,.1140476,.0713191,.1567762,,.493044,.3633968,.6226912
15mar2020,,.0962665,.053538,.1389951,,.4752629,.3456157,.6049101
16mar2020,,.1131816,.070453,.1559102,,.492178,.3625308,.6218252
17mar2020,,.0963159,.0535874,.1390445,,.4753123,.3456651,.6049595
18mar2020,,.0727403,.0300117,.1154689,,.4517367,.3220895,.5813838
19mar2020,,.1360997,.0933711,.1788283,,.515096,.3854488,.6447432
20mar2020,,.2294844,.1867559,.272213,,.6084808,.4788336,.7381279
21mar2020,,.1140476,.0713191,.1567762,,.493044,.3633968,.6226912
22mar2020,,.0962665,.053538,.1389951,,.4752629,.3456157,.6049101
06mar2020,,.3364819,.2753889,.3975749,,.5657265,.4360793,.6953737
07mar2020,,.2210451,.1599521,.282138,,.4502897,.3206425,.5799369
08mar2020,,.203264,.142171,.2643569,,.4325086,.3028614,.5621558
09mar2020,,.2201791,.1590861,.281272,,.4494237,.3197765,.5790709
10mar2020,,.2033134,.1422204,.2644064,,.432558,.3029108,.5622052
11mar2020,,.1797377,.1186448,.2408307,,.4089824,.2793352,.5386296
12mar2020,,.2430971,.1820042,.3041901,,.4723417,.3426946,.6019889
13mar2020,,.1071156,0,.2708166,,.4861119,.2017978,.7704261
14mar2020,,.0712934,.0285648,.1140219,,.4502897,.3206425,.5799369
15mar2020,,.0535122,.0107837,.0962408,,.4325086,.3028614,.5621558
16mar2020,,.0704273,.0276988,.1131559,,.4494237,.3197765,.5790709
17mar2020,,.0535616,.0108331,.0962902,,.432558,.3029108,.5622052
