t,m_y_actual,y_actual,lb_y_actual,ub_y_actual,m_y_counter,y_counter,lb_counter,ub_counter
11mar2020,,.1509853,.064689,.2372817,,.2341175,.1502109,.3180242
12mar2020,,.165898,.0796017,.2521943,,.2490302,.1651236,.3329369
13mar2020,,.1596871,.0733908,.2459835,,.2428193,.1589127,.326726
14mar2020,,.1467135,.0604172,.2330098,,.2298457,.145939,.3137524
15mar2020,,.1801727,.0938763,.266469,,.2633049,.1793982,.3472115
16mar2020,,.1380671,.0517707,.2243634,,.2211993,.1372926,.3051059
17mar2020,,.1435623,.057266,.2298586,,.2266945,.1427878,.3106011
18mar2020,,.1509853,.064689,.2372817,,.2341175,.1502109,.3180242
19mar2020,,.165898,.0796017,.2521943,,.2490302,.1651236,.3329369
20mar2020,,.1596871,.0733908,.2459835,,.2428193,.1589127,.326726
21mar2020,,.1467135,.0604172,.2330098,,.2298457,.145939,.3137524
22mar2020,,.0612146,0,.1455001,,.2633049,.1793982,.3472115
23mar2020,,.019109,0,.1033945,,.2211993,.1372926,.3051059
24mar2020,,.0246042,0,.1088897,,.2266945,.1427878,.3106011
25mar2020,,.0320273,0,.1163128,,.2341175,.1502109,.3180242
26mar2020,,.0469399,0,.1312254,,.2490302,.1651236,.3329369
27mar2020,,.0407291,0,.1250145,,.2428193,.1589127,.326726
28mar2020,,.0277554,0,.1120409,,.2298457,.145939,.3137524
29mar2020,,.0612146,0,.1455001,,.2633049,.1793982,.3472115
30mar2020,,.019109,0,.1033945,,.2211993,.1372926,.3051059
31mar2020,,.0246042,0,.1088897,,.2266945,.1427878,.3106011
01apr2020,,.0320273,0,.1163128,,.2341175,.1502109,.3180242
02apr2020,,.0469399,0,.1312254,,.2490302,.1651236,.3329369
03apr2020,,.0407291,0,.1250145,,.2428193,.1589127,.326726
04apr2020,,.0277554,0,.1120409,,.2298457,.145939,.3137524
05apr2020,,.0612146,0,.1455001,,.2633049,.1793982,.3472115
06apr2020,,.019109,0,.1033945,,.2211993,.1372926,.3051059
