t,m_y_actual,y_actual,lb_y_actual,ub_y_actual,m_y_counter,y_counter,lb_counter,ub_counter
23feb2020,,.2939642,.1227186,.4652097,,.2939642,.1227186,.4652097
24feb2020,,.2609198,.0896742,.4321653,,.2609198,.0896742,.4321653
25feb2020,,.2751044,.1038588,.4463499,,.2751044,.1038588,.4463499
26feb2020,,.3206668,.1282447,.5130888,,.277931,.1066855,.4491766
27feb2020,,.3160106,.1235885,.5084326,,.2732748,.1020293,.4445204
28feb2020,,.1845859,.0231599,.3460119,,.3078637,.1366181,.4791092
29feb2020,,.1033022,.044476,.1621284,,.3464931,.1732814,.5197048
01mar2020,,.0507733,0,.1048514,,.2939642,.1227186,.4652097
02mar2020,,.0177289,0,.0718069,,.2609198,.0896742,.4321653
03mar2020,,.0319135,0,.0859915,,.2751044,.1038588,.4463499
04mar2020,,.0347401,0,.0888182,,.277931,.1066855,.4491766
05mar2020,,.0300839,0,.084162,,.2732748,.1020293,.4445204
06mar2020,,.0646728,.0105947,.1187508,,.3078637,.1366181,.4791092
07mar2020,,.0384324,0,.0925105,,.2816233,.1103778,.4528689
08mar2020,,.0507733,0,.1048514,,.2939642,.1227186,.4652097
09mar2020,,.0177289,0,.0718069,,.2609198,.0896742,.4321653
10mar2020,,.0319135,0,.0859915,,.2751044,.1038588,.4463499
11mar2020,,.0096924,0,.0708877,,.277931,.1066855,.4491766
12mar2020,,.0050362,0,.0662315,,.2732748,.1020293,.4445204
13mar2020,,.0396251,0,.1008203,,.3078637,.1366181,.4791092
14mar2020,,.0133847,0,.07458,,.2816233,.1103778,.4528689
15mar2020,,.0257256,0,.0869208,,.2939642,.1227186,.4652097
16mar2020,,0,0,.0579854,,.2609198,.0896742,.4321653
17mar2020,,.0129867,0,.07217,,.2751044,.1038588,.4463499
18mar2020,,.0158133,0,.0749967,,.277931,.1066855,.4491766
19mar2020,,.0111571,0,.0703405,,.2732748,.1020293,.4445204
20mar2020,,.045746,0,.1049293,,.3078637,.1366181,.4791092
21mar2020,,.0195056,0,.078689,,.2816233,.1103778,.4528689
22mar2020,,.0038149,0,.0759037,,.2663236,.103203,.4294442
23mar2020,,0,0,.057362,,.2609198,.0896742,.4321653
24mar2020,,.0125957,0,.0715466,,.2751044,.1038588,.4463499
25mar2020,,.0154223,0,.0743732,,.277931,.1066855,.4491766
26mar2020,,.0107661,0,.069717,,.2732748,.1020293,.4445204
27mar2020,,.0105183,0,.082542,,.273418,.1045825,.4422536
28mar2020,,.0187236,0,.0784006,,.2816233,.1103778,.4528689
29mar2020,,.0310644,0,.0907415,,.2939642,.1227186,.4652097
30mar2020,,0,0,.0576971,,.2609198,.0896742,.4321653
31mar2020,,.0122046,0,.0718817,,.2751044,.1038588,.4463499
01apr2020,,.0146403,0,.075968,,.277931,.1066855,.4491766
02apr2020,,.0099841,0,.0713117,,.2732748,.1020293,.4445204
03apr2020,,.0445729,0,.1059006,,.3078637,.1366181,.4791092
04apr2020,,.0183326,0,.0796603,,.2816233,.1103778,.4528689
05apr2020,,.0302824,0,.0941135,,.2939642,.1227186,.4652097
06apr2020,,0,0,.0610691,,.2609198,.0896742,.4321653
28feb2020,,.2005166,.0390906,.3619426,,.3237944,.1525488,.4950399
29feb2020,,.1192329,.0604067,.1780591,,.3624237,.1892121,.5356354
01mar2020,,.066704,.0126259,.120782,,.3098949,.1386493,.4811404
