t,m_y_actual,y_actual,lb_y_actual,ub_y_actual,m_y_counter,y_counter,lb_counter,ub_counter
15mar2020,,.2906084,.2527972,.3284195,,.3250982,.2496621,.4005342
16mar2020,,.2701644,.2238103,.3165186,,.3512635,.2758274,.4266995
17mar2020,,.2814791,.235125,.3278333,,.3625782,.2871421,.4380142
18mar2020,,.3082273,.2709246,.34553,,.3766606,.3012246,.4520967
19mar2020,,.3304243,.295653,.3651958,,.3965086,.3210725,.4719447
20mar2020,,.3176038,.2828324,.3523752,,.383688,.3082519,.4591241
21mar2020,,.2968318,.2620605,.3316033,,.3629161,.28748,.4383522
22mar2020,,.2427964,.1831684,.3024245,,.3088807,.21667,.4010913
23mar2020,,.2851792,.2504078,.3199506,,.3512635,.2758274,.4266995
24mar2020,,.2964939,.2617226,.3312653,,.3625782,.2871421,.4380142
25mar2020,,.3105764,.275805,.3453478,,.3766606,.3012246,.4520967
26mar2020,,.3186226,.2877593,.3494858,,.3965086,.3210725,.4719447
27mar2020,,.306666,.2807186,.3326133,,.383688,.3082519,.4591241
28mar2020,,.1626558,.1079083,.2174032,,.3629161,.28748,.4383522
29mar2020,,.1248378,.0700904,.1795853,,.3250982,.2496621,.4005342
30mar2020,,.1510032,.0962557,.2057506,,.3512635,.2758274,.4266995
31mar2020,,.1623179,.1075704,.2170653,,.3625782,.2871421,.4380142
01apr2020,,.1764003,.1216529,.2311478,,.3766606,.3012246,.4520967
02apr2020,,.1962483,.1415008,.2509957,,.3965086,.3210725,.4719447
03apr2020,,.1834277,.1286803,.2381752,,.383688,.3082519,.4591241
04apr2020,,.0804706,.0348596,.1260816,,.3629161,.28748,.4383522
05apr2020,,.0426526,0,.0882636,,.3250982,.2496621,.4005342
06apr2020,,.068818,.023207,.114429,,.3512635,.2758274,.4266995
20mar2020,,.281462,.2584193,.3045046,,.2998087,.2243726,.3752448
21mar2020,,.26069,.2376474,.2837326,,.2790367,.2036007,.3544728
22mar2020,,.2228721,.1998294,.2459147,,.2412188,.1657827,.3166549
23mar2020,,.2490374,.2259948,.27208,,.2673841,.191948,.3428202
24mar2020,,.1966914,.1611625,.2322203,,.2786988,.2032627,.3541349
25mar2020,,.2107739,.175245,.2463028,,.2927813,.2173452,.3682174
26mar2020,,.2306218,.1950929,.2661507,,.3126292,.2371932,.3880653
27mar2020,,.2178013,.1822724,.2533302,,.2998087,.2243726,.3752448
28mar2020,,.1110909,.0786416,.1435401,,.2790367,.2036007,.3544728
29mar2020,,.0732729,.0408237,.1057222,,.2412188,.1657827,.3166549
30mar2020,,.0994383,.066989,.1318875,,.2673841,.191948,.3428202
31mar2020,,.1107529,.0783037,.1432022,,.2786988,.2032627,.3541349
01apr2020,,.1248354,.0923862,.1572847,,.2927813,.2173452,.3682174
02apr2020,,.1446834,.1122341,.1771326,,.3126292,.2371932,.3880653
03apr2020,,.1318628,.0994136,.1643121,,.2998087,.2243726,.3752448
04apr2020,,.1110909,.0786416,.1435401,,.2790367,.2036007,.3544728
05apr2020,,.0732729,.0408237,.1057222,,.2412188,.1657827,.3166549
06apr2020,,.0994383,.066989,.1318875,,.2673841,.191948,.3428202
12mar2020,,.2817258,.2150409,.3484106,,.3356217,.2601856,.4110578
13mar2020,,.2689052,.2022204,.3355901,,.3228012,.2473651,.3982373
14mar2020,,.3226352,.2829865,.3622839,,.3020292,.2265931,.3774653
15mar2020,,.259226,.225365,.2930869,,.2642113,.1887752,.3396474
16mar2020,,.2582675,.2297933,.2867416,,.2903766,.2149405,.3658127
17mar2020,,.2695822,.241108,.2980563,,.3016913,.2262552,.3771274
18mar2020,,.2836647,.2551905,.3121388,,.3157738,.2403377,.3912099
19mar2020,,.2678925,.2426756,.2931095,,.3356217,.2601856,.4110578
20mar2020,,.255072,.229855,.2802889,,.3228012,.2473651,.3982373
21mar2020,,.2343,.2090831,.259517,,.3020292,.2265931,.3774653
22mar2020,,.1964821,.1712651,.221699,,.2642113,.1887752,.3396474
23mar2020,,.2038469,.1540487,.2536451,,.2903766,.2149405,.3658127
24mar2020,,.2151616,.1653634,.2649598,,.3016913,.2262552,.3771274
25mar2020,,.2174423,.1716428,.2632419,,.3157738,.2403377,.3912099
26mar2020,,.2372902,.1914907,.2830898,,.3356217,.2601856,.4110578
27mar2020,,.2662935,.1894817,.3431054,,.364625,.2635841,.4656659
28mar2020,,.2036978,.1578982,.2494973,,.3020292,.2265931,.3774653
29mar2020,,.1658798,.1200803,.2116793,,.2642113,.1887752,.3396474
30mar2020,,.1920451,.1462456,.2378447,,.2903766,.2149405,.3658127
31mar2020,,.1329764,.089336,.1766168,,.3016913,.2262552,.3771274
01apr2020,,.1470589,.1034185,.1906993,,.3157738,.2403377,.3912099
02apr2020,,.1669068,.1232664,.2105473,,.3356217,.2601856,.4110578
03apr2020,,.1422845,.101678,.182891,,.3228012,.2473651,.3982373
04apr2020,,.1215126,.0809061,.162119,,.3020292,.2265931,.3774653
05apr2020,,.0836946,.0430881,.1243011,,.2642113,.1887752,.3396474
06apr2020,,.1098599,.0692535,.1504664,,.2903766,.2149405,.3658127
15mar2020,,.1631629,.0966112,.2297146,,.3028969,.2274608,.3783329
16mar2020,,.1893283,.1227766,.2558799,,.3290622,.2536261,.4044983
17mar2020,,.2010874,.141543,.2606318,,.3403769,.2649408,.415813
18mar2020,,.2151699,.1556255,.2747143,,.3544594,.2790233,.4298955
19mar2020,,.2490816,.1828464,.3153167,,.3743073,.2988712,.4497434
20mar2020,,.2244593,.1613748,.2875437,,.3614868,.2860507,.4369228
21mar2020,,.2036873,.1406028,.2667718,,.3407148,.2652787,.4161509
22mar2020,,.1658694,.1027849,.2289538,,.3028969,.2274608,.3783329
23mar2020,,.1920347,.1289502,.2551191,,.3290622,.2536261,.4044983
24mar2020,,.1846033,.1156138,.2535929,,.3403769,.2649408,.415813
25mar2020,,.1986858,.1296963,.2676753,,.3544594,.2790233,.4298955
26mar2020,,.2185338,.1495442,.2875233,,.3743073,.2988712,.4497434
27mar2020,,.2057132,.1367237,.2747028,,.3614868,.2860507,.4369228
28mar2020,,.1849413,.1159517,.2539308,,.3407148,.2652787,.4161509
29mar2020,,.1471233,.0781338,.2161129,,.3028969,.2274608,.3783329
30mar2020,,.1732886,.1042991,.2422782,,.3290622,.2536261,.4044983
31mar2020,,.1846033,.1156138,.2535929,,.3403769,.2649408,.415813
01apr2020,,.1986858,.1296963,.2676753,,.3544594,.2790233,.4298955
02apr2020,,.2185338,.1495442,.2875233,,.3743073,.2988712,.4497434
03apr2020,,.1939114,.1279933,.2598296,,.3614868,.2860507,.4369228
04apr2020,,.1613377,.0976571,.2250183,,.3407148,.2652787,.4161509
05apr2020,,.1235198,.0598392,.1872003,,.3028969,.2274608,.3783329
06apr2020,,.1496851,.0860045,.2133656,,.3290622,.2536261,.4044983
03mar2020,.2772304,,,,.2903315,,,
04mar2020,.2772304,.3076147,.2321786,.3830507,.2903315,.3076147,.2321786,.3830507
05mar2020,.354836,.3647135,.2789522,.4504749,.3614821,.3274626,.2520265,.4028987
06mar2020,.3420154,.351893,.2661317,.4376543,.3486615,.3146421,.239206,.3900781
07mar2020,.3212435,.3311211,.2453597,.4168824,.3278896,.2938701,.218434,.3693062
08mar2020,.2834231,.2932958,.2075458,.3790459,.2900716,.2560522,.1806161,.3314883
09mar2020,.281214,.317331,.2318666,.4027954,.2848933,.2822175,.2067814,.3576536
10mar2020,.3044923,.3286457,.2431813,.4141101,.3106138,.2935322,.2180961,.3689682
11mar2020,.3040709,.3419562,.2568608,.4270516,.311582,.3076147,.2321786,.3830507
12mar2020,.2592476,.2811646,.2220631,.340266,.3246227,.3274626,.2520265,.4028987
13mar2020,.2451208,.2480992,.1870733,.3091249,.3123489,.3146421,.239206,.3900781
14mar2020,.2952444,.2645782,.221413,.3077433,.295945,.2938701,.218434,.3693062
15mar2020,.2381761,.2047978,.1561539,.2534418,.2580707,.2560522,.1806161,.3314883
16mar2020,.2665467,.211309,.1542183,.2683997,.2839072,.2957753,.1955957,.395955
17mar2020,.2707788,.2136585,.1810194,.2462976,.2982482,.2935322,.2180961,.3689682
18mar2020,.2871094,.227741,.1951018,.2603801,.3144626,.3076147,.2321786,.3830507
19mar2020,.3047242,.1468964,.1137851,.1800078,.3387158,.3274626,.2520265,.4028987
20mar2020,.2781701,.1340759,.1009646,.1671872,.3124161,.3146421,.239206,.3900781
21mar2020,.2582759,.113304,.0801926,.1464153,.299928,.2938701,.218434,.3693062
22mar2020,.2105609,.075486,.0423747,.1085973,.2593756,.2560522,.1806161,.3314883
23mar2020,.2186656,.1016513,.06854,.1347626,.2847705,.2822175,.2067814,.3576536
24mar2020,.2072924,.112966,.0798547,.1460773,.2965325,.2935322,.2180961,.3689682
25mar2020,.206628,.1270485,.0939372,.1601598,.3114145,.3076147,.2321786,.3830507
26mar2020,.2185491,.1468964,.1137851,.1800078,.3298665,.3274626,.2520265,.4028987
27mar2020,.2043663,.1340759,.1009646,.1671872,.3178585,.3146421,.239206,.3900781
28mar2020,.1754174,.113304,.0801926,.1464153,.2974035,.2938701,.218434,.3693062
29mar2020,.1374045,.075486,.0423747,.1085973,.2596936,.2560522,.1806161,.3314883
30mar2020,.1506499,.1016513,.06854,.1347626,.2855437,.2822175,.2067814,.3576536
31mar2020,.1579074,.112966,.0798547,.1460773,.2971736,.2935322,.2180961,.3689682
01apr2020,.1665735,.1270485,.0939372,.1601598,.3112561,.3076147,.2321786,.3830507
02apr2020,.1845438,.1468964,.1137851,.1800078,.331104,.3274626,.2520265,.4028987
03apr2020,.1609221,.1340759,.1009646,.1671872,.3182835,.3146421,.239206,.3900781
04apr2020,.1372857,.113304,.0801926,.1464153,.2975115,.2938701,.218434,.3693062
05apr2020,.0980912,.075486,.0423747,.1085973,.2596936,.2560522,.1806161,.3314883
06apr2020,.1179045,.1016513,.06854,.1347626,.2858589,.2822175,.2067814,.3576536
10mar2020,,.2950679,.2159151,.3742207,,.2969375,.2215014,.3723736
11mar2020,,.3283409,.2509348,.4057469,,.3110199,.2355839,.386456
12mar2020,,.2942928,.236068,.3525177,,.3308679,.2554318,.4063039
13mar2020,,.255881,.1861602,.3256018,,.3180473,.2426113,.3934834
14mar2020,,.2790631,.2543269,.3037994,,.2972754,.2218393,.3727114
15mar2020,,.2412452,.2165089,.2659815,,.2594574,.1840214,.3348935
16mar2020,,.2674105,.2426742,.2921468,,.2856227,.2101867,.3610588
17mar2020,,.2787252,.253989,.3034615,,.2969375,.2215014,.3723736
18mar2020,,.2672164,.231764,.3026688,,.3110199,.2355839,.386456
19mar2020,,.2677503,.2301639,.3053366,,.3308679,.2554318,.4063039
20mar2020,,.2431279,.2059471,.2803088,,.3180473,.2426113,.3934834
21mar2020,,.222356,.1851752,.2595368,,.2972754,.2218393,.3727114
22mar2020,,.1987254,.1621756,.2352753,,.2594574,.1840214,.3348935
23mar2020,,.2440812,.2134986,.2746639,,.2856227,.2101867,.3610588
24mar2020,,.2553959,.2248133,.2859786,,.2969375,.2215014,.3723736
25mar2020,,.2694784,.2388958,.300061,,.3110199,.2355839,.386456
26mar2020,,.1883951,.1582957,.2184945,,.3308679,.2554318,.4063039
27mar2020,,.1637728,.1334651,.1940805,,.3180473,.2426113,.3934834
28mar2020,,.1430008,.1126931,.1733086,,.2972754,.2218393,.3727114
29mar2020,,.1051829,.0748752,.1354906,,.2594574,.1840214,.3348935
30mar2020,,.1313482,.1010405,.161656,,.2856227,.2101867,.3610588
31mar2020,,.1426629,.1123552,.1729707,,.2969375,.2215014,.3723736
01apr2020,,.1567454,.1264377,.1870531,,.3110199,.2355839,.386456
02apr2020,,.1765933,.1462856,.2069011,,.3308679,.2554318,.4063039
03apr2020,,.151971,.1194824,.1844596,,.3180473,.2426113,.3934834
04apr2020,,.1311991,.0987105,.1636876,,.2972754,.2218393,.3727114
