t,y_actual_California,lb_y_actual_California,ub_y_actual_California,y_counter_California,lb_counter_California,ub_counter_California
04mar2020,.2899128,.1636067,.416219,.2899128,.1636067,.416219
05mar2020,.26089,.1879661,.3338138,.2899128,.1636067,.416219
06mar2020,.26089,.1879661,.3338138,.2899128,.1636067,.416219
07mar2020,.26089,.1879661,.3338138,.2899128,.1636067,.416219
08mar2020,.2624183,.1894841,.3353524,.2899128,.1636067,.416219
09mar2020,.2548203,.1474824,.3621582,.2899128,.1636067,.416219
10mar2020,.2548203,.1474824,.3621582,.2899128,.1636067,.416219
11mar2020,.4254203,.273624,.5772167,.2899128,.1636067,.416219
12mar2020,.0123205,0,.1641216,.2899128,.1636067,.416219
13mar2020,.1942755,.0679693,.3205816,.2899128,.1636067,.416219
14mar2020,.1652526,.0389464,.2915587,.2899128,.1636067,.416219
15mar2020,.2682638,.1164628,.4200648,.2899128,.1636067,.416219
16mar2020,.211309,.0595079,.36311,.2899128,.1636067,.416219
17mar2020,.2146413,.1073018,.3219809,.2899128,.1636067,.416219
18mar2020,.2146413,.1073018,.3219809,.2899128,.1636067,.416219
19mar2020,.1542854,.1194599,.189111,.2899128,.1636067,.416219
20mar2020,.1542854,.1194599,.189111,.2899128,.1636067,.416219
21mar2020,.1542854,.1194599,.189111,.2899128,.1636067,.416219
22mar2020,.1542854,.1194599,.189111,.2899128,.1636067,.416219
23mar2020,.1542854,.1194599,.189111,.2899128,.1636067,.416219
24mar2020,.1542854,.1194599,.189111,.2899128,.1636067,.416219
25mar2020,.1542854,.1194599,.189111,.2899128,.1636067,.416219
26mar2020,.1542854,.1194599,.189111,.2899128,.1636067,.416219
27mar2020,.1542854,.1194599,.189111,.2899128,.1636067,.416219
28mar2020,.1542854,.1194599,.189111,.2899128,.1636067,.416219
29mar2020,.1542854,.1194599,.189111,.2899128,.1636067,.416219
30mar2020,.1542854,.1194599,.189111,.2899128,.1636067,.416219
31mar2020,.1542854,.1194599,.189111,.2899128,.1636067,.416219
01apr2020,.1542854,.1194599,.189111,.2899128,.1636067,.416219
02apr2020,.1542854,.1194599,.189111,.2899128,.1636067,.416219
03apr2020,.1542854,.1194599,.189111,.2899128,.1636067,.416219
04apr2020,.1542854,.1194599,.189111,.2899128,.1636067,.416219
05apr2020,.1542854,.1194599,.189111,.2899128,.1636067,.416219
06apr2020,.1542854,.1194599,.189111,.2899128,.1636067,.416219
