t,y_actual_Milano,lb_y_actual_Milano,ub_y_actual_Milano,y_counter_Milano,lb_counter_Milano,ub_counter_Milano
28feb2020,.3465736,.2182921,.4748551,.3465736,.2182921,.4748551
29feb2020,.3465736,.2182921,.4748551,.3465736,.2182921,.4748551
01mar2020,.3553829,.2868136,.4239523,.3465736,.2182921,.4748551
02mar2020,.3553829,.2868136,.4239523,.3465736,.2182921,.4748551
03mar2020,.3553829,.2868136,.4239523,.3465736,.2182921,.4748551
04mar2020,.3553829,.2868136,.4239523,.3465736,.2182921,.4748551
05mar2020,.3553829,.2868136,.4239523,.3465736,.2182921,.4748551
06mar2020,.3553829,.2868136,.4239523,.3465736,.2182921,.4748551
07mar2020,.3553829,.2868136,.4239523,.3465736,.2182921,.4748551
08mar2020,.1688294,.040548,.2971109,.3465736,.2182921,.4748551
09mar2020,.1688294,.040548,.2971109,.3465736,.2182921,.4748551
12mar2020,.1619549,.1045857,.2193241,.3465736,.2182921,.4748551
13mar2020,.1619549,.1045857,.2193241,.3465736,.2182921,.4748551
14mar2020,.1619549,.1045857,.2193241,.3465736,.2182921,.4748551
15mar2020,.1619549,.1045857,.2193241,.3465736,.2182921,.4748551
16mar2020,.1619549,.1045857,.2193241,.3465736,.2182921,.4748551
17mar2020,.1619549,.1045857,.2193241,.3465736,.2182921,.4748551
18mar2020,.1619549,.1045857,.2193241,.3465736,.2182921,.4748551
19mar2020,.1619549,.1045857,.2193241,.3465736,.2182921,.4748551
20mar2020,.1619549,.1045857,.2193241,.3465736,.2182921,.4748551
21mar2020,.1619549,.1045857,.2193241,.3465736,.2182921,.4748551
22mar2020,.0565037,.0111493,.101858,.3465736,.2182921,.4748551
23mar2020,.0565037,.0111493,.101858,.3465736,.2182921,.4748551
24mar2020,.0565037,.0111493,.101858,.3465736,.2182921,.4748551
25mar2020,.0565037,.0111493,.101858,.3465736,.2182921,.4748551
26mar2020,.0565037,.0111493,.101858,.3465736,.2182921,.4748551
27mar2020,.0565037,.0111493,.101858,.3465736,.2182921,.4748551
28mar2020,.0565037,.0111493,.101858,.3465736,.2182921,.4748551
29mar2020,.0565037,.0111493,.101858,.3465736,.2182921,.4748551
30mar2020,.0565037,.0111493,.101858,.3465736,.2182921,.4748551
31mar2020,.0565037,.0111493,.101858,.3465736,.2182921,.4748551
01apr2020,.0565037,.0111493,.101858,.3465736,.2182921,.4748551
02apr2020,.0565037,.0111493,.101858,.3465736,.2182921,.4748551
03apr2020,.0565037,.0111493,.101858,.3465736,.2182921,.4748551
04apr2020,.0565037,.0111493,.101858,.3465736,.2182921,.4748551
05apr2020,.0565037,.0111493,.101858,.3465736,.2182921,.4748551
06apr2020,.0565037,.0111493,.101858,.3465736,.2182921,.4748551
