t,y_actual_thr,lb_y_actual_thr,ub_y_actual_thr,y_counter_thr,lb_counter_thr,ub_counter_thr
28feb2020,.5949388,.4749998,.7148778,.5949388,.4749998,.7148778
29feb2020,.5949388,.4749998,.7148778,.5949388,.4749998,.7148778
01mar2020,.4492468,.367393,.5311005,.5949388,.4749998,.7148778
05mar2020,.1578628,.0920197,.2237059,.5949388,.4749998,.7148778
06mar2020,.1578628,.0920197,.2237059,.5949388,.4749998,.7148778
07mar2020,.1578628,.0920197,.2237059,.5949388,.4749998,.7148778
08mar2020,.1578628,.0920197,.2237059,.5949388,.4749998,.7148778
09mar2020,.1578628,.0920197,.2237059,.5949388,.4749998,.7148778
10mar2020,.1578628,.0920197,.2237059,.5949388,.4749998,.7148778
11mar2020,.1578628,.0920197,.2237059,.5949388,.4749998,.7148778
12mar2020,.1578628,.0920197,.2237059,.5949388,.4749998,.7148778
13mar2020,.1424608,0,.3297485,.6643484,.4333518,.895345
14mar2020,.0730512,.010622,.1354804,.5949388,.4749998,.7148778
15mar2020,.0730512,.010622,.1354804,.5949388,.4749998,.7148778
16mar2020,.0730512,.010622,.1354804,.5949388,.4749998,.7148778
17mar2020,.0730512,.010622,.1354804,.5949388,.4749998,.7148778
18mar2020,.0730512,.010622,.1354804,.5949388,.4749998,.7148778
19mar2020,.0730512,.010622,.1354804,.5949388,.4749998,.7148778
20mar2020,.0730512,.010622,.1354804,.5949388,.4749998,.7148778
21mar2020,.0730512,.010622,.1354804,.5949388,.4749998,.7148778
22mar2020,.0730512,.010622,.1354804,.5949388,.4749998,.7148778
