t,y_actual_Washington,lb_y_actual_Washington,ub_y_actual_Washington,y_counter_Washington,lb_counter_Washington,ub_counter_Washington
04mar2020,.3262704,.2618029,.390738,.377976,.1964251,.559527
05mar2020,.3262704,.2618029,.390738,.377976,.1964251,.559527
06mar2020,.3262704,.2618029,.390738,.377976,.1964251,.559527
07mar2020,.3262704,.2618029,.390738,.377976,.1964251,.559527
08mar2020,.3262704,.2618029,.390738,.377976,.1964251,.559527
09mar2020,.3262704,.2618029,.390738,.377976,.1964251,.559527
10mar2020,.3262704,.2618029,.390738,.377976,.1964251,.559527
11mar2020,.3108665,.1441117,.4776213,.377976,.1964251,.559527
12mar2020,.2249867,.1056796,.3442939,.377976,.1964251,.559527
13mar2020,.2265384,.1072402,.3458365,.377976,.1964251,.559527
14mar2020,.1560084,.0447529,.2672639,.377976,.1964251,.559527
15mar2020,.1373852,.0290974,.245673,.377976,.1964251,.559527
16mar2020,.1757075,.0472998,.3041152,.377976,.1964251,.559527
17mar2020,.1354533,.0679527,.2029539,.377976,.1964251,.559527
18mar2020,.1354533,.0679527,.2029539,.377976,.1964251,.559527
19mar2020,.1354533,.0679527,.2029539,.377976,.1964251,.559527
20mar2020,.1354533,.0679527,.2029539,.377976,.1964251,.559527
21mar2020,.1354533,.0679527,.2029539,.377976,.1964251,.559527
22mar2020,.1177372,.0321205,.203354,.377976,.1964251,.559527
23mar2020,.1293102,.066979,.1916415,.377976,.1964251,.559527
24mar2020,.1293102,.066979,.1916415,.377976,.1964251,.559527
25mar2020,.1293102,.066979,.1916415,.377976,.1964251,.559527
26mar2020,.1293102,.066979,.1916415,.377976,.1964251,.559527
27mar2020,.1293102,.066979,.1916415,.377976,.1964251,.559527
28mar2020,.113854,.0656265,.1620815,.377976,.1964251,.559527
29mar2020,.113854,.0656265,.1620815,.377976,.1964251,.559527
30mar2020,.0983977,.0390524,.157743,.377976,.1964251,.559527
31mar2020,.0829414,0,.1693885,.377976,.1964251,.559527
01apr2020,.0829414,0,.1693885,.377976,.1964251,.559527
02apr2020,.0829414,0,.1693885,.377976,.1964251,.559527
03apr2020,.0515634,0,.1331879,.377976,.1964251,.559527
04apr2020,.0515634,0,.1331879,.377976,.1964251,.559527
05apr2020,.0515634,0,.1331879,.377976,.1964251,.559527
06apr2020,.0515634,0,.1331879,.377976,.1964251,.559527
