t,y_actual_wh,lb_y_actual_wh,ub_y_actual_wh,y_counter_wh,lb_counter_wh,ub_counter_wh
17jan2020,.3561744,.299394,.4129548,.3561744,.299394,.4129548
18jan2020,.8297229,.7027581,.9566877,.8297229,.7027581,.9566877
19jan2020,.3561744,.299394,.4129548,.3561744,.299394,.4129548
20jan2020,.3561744,.299394,.4129548,.3561744,.299394,.4129548
21jan2020,.3561744,.299394,.4129548,.3561744,.299394,.4129548
22jan2020,.3561744,.299394,.4129548,.3561744,.299394,.4129548
23jan2020,.1331666,.0813335,.1849998,.3561744,.299394,.4129548
25jan2020,.1331666,.0813335,.1849998,.3561744,.299394,.4129548
26jan2020,.1331666,.0813335,.1849998,.3561744,.299394,.4129548
27jan2020,.1331666,.0813335,.1849998,.3561744,.299394,.4129548
28jan2020,.8996267,.7726619,1.026592,1.122635,.9742069,1.271062
29jan2020,.1331666,.0813335,.1849998,.3561744,.299394,.4129548
30jan2020,.1331666,.0813335,.1849998,.3561744,.299394,.4129548
31jan2020,.2164523,.1646191,.2682855,.3561744,.299394,.4129548
01feb2020,.2164523,.1646191,.2682855,.3561744,.299394,.4129548
02feb2020,.2164523,.1646191,.2682855,.3561744,.299394,.4129548
03feb2020,.2164523,.1646191,.2682855,.3561744,.299394,.4129548
04feb2020,.2164523,.1646191,.2682855,.3561744,.299394,.4129548
05feb2020,.2164523,.1646191,.2682855,.3561744,.299394,.4129548
06feb2020,.1942883,.0673235,.3212531,.3340104,.1855828,.482438
07feb2020,.1259953,.0526922,.1992985,.3561744,.299394,.4129548
08feb2020,.1259953,.0526922,.1992985,.3561744,.299394,.4129548
09feb2020,.1259953,.0526922,.1992985,.3561744,.299394,.4129548
10feb2020,.0838865,.0105833,.1571896,.3561744,.299394,.4129548
11feb2020,.0838865,.0105833,.1571896,.3561744,.299394,.4129548
12feb2020,.0838865,.0105833,.1571896,.3561744,.299394,.4129548
15feb2020,.0504722,0,.1237754,.3561744,.299394,.4129548
16feb2020,.0504722,0,.1237754,.3561744,.299394,.4129548
17feb2020,.0504722,0,.1237754,.3561744,.299394,.4129548
18feb2020,.0443778,0,.1341555,.3561744,.299394,.4129548
19feb2020,.0443778,0,.1341555,.3561744,.299394,.4129548
20feb2020,.0162376,0,.1432024,.3280342,.1624924,.493576
21feb2020,.0107106,0,.074193,.3561744,.299394,.4129548
22feb2020,.0107106,0,.074193,.3561744,.299394,.4129548
23feb2020,.0107106,0,.074193,.3561744,.299394,.4129548
24feb2020,.0107106,0,.074193,.3561744,.299394,.4129548
25feb2020,.0122052,0,.0601933,.3561744,.299394,.4129548
26feb2020,.0122052,0,.0601933,.3561744,.299394,.4129548
27feb2020,.0122052,0,.0601933,.3561744,.299394,.4129548
28feb2020,.0122052,0,.0601933,.3561744,.299394,.4129548
29feb2020,.0122052,0,.0601933,.3561744,.299394,.4129548
01mar2020,.0122052,0,.0601933,.3561744,.299394,.4129548
02mar2020,.0122052,0,.0601933,.3561744,.299394,.4129548
03mar2020,.0045208,0,.0942985,.3561744,.299394,.4129548
04mar2020,.0045208,0,.0942985,.3561744,.299394,.4129548
05mar2020,.0058566,0,.1328214,.3575102,.1919684,.523052
