t,y_actual,lb_y_actual,ub_y_actual,y_counter,lb_counter,ub_counter,m_y_actual,m_y_counter,day_avg
21977,.2786932,0,.6113685,.5631194,.3799064,.7463324,.3028428,.4229212,.1785852
21978,.3098032,0,.6424785,.5942295,.4110164,.7774425,.3257817,.4145557,.3471288
21979,.3473602,.0146849,.6800355,.6317864,.4485734,.8149994,.3633387,.4521127,.410651
21980,.3504511,0,.7157061,.6453905,.4621774,.8286034,.3340973,.4534377,.350974
21981,.3345684,0,.6998233,.6295077,.4462947,.8127207,.3254129,.4058492,.3647754
21982,.2996311,0,.6553339,.6371382,.4539253,.8203512,.2884474,.4187639,.3150322
21983,.2516522,0,.6073549,.5891593,.4059463,.7723723,.2348761,.3655008,.1914497
21984,.2256123,0,.581315,.5631194,.3799064,.7463324,.2048059,.3546191,.1988416
21985,.2609243,0,.622726,.5942295,.4110164,.7774425,.2393093,.3857291,.2272544
21986,.2984813,0,.660283,.6317864,.4485734,.8149994,.2760575,.4232861,.265296
21987,.2737196,0,.6382381,.6453905,.4621774,.8286034,.247417,.4368901,.2563666
21988,.2578368,0,.6223553,.6295077,.4462947,.8127207,.2315343,.4210074,.2330573
21989,.1857592,0,.5495139,.5944585,.4119697,.7769473,.1594566,.3859582,.1594566
21990,.18046,0,.5410801,.5891593,.4059463,.7723723,.15254,.380659,.1638668
21991,.1331963,0,.4952371,.5631194,.3799064,.7463324,.1052763,.3546191,.1300666
21992,.1643063,0,.5263472,.5942295,.4110164,.7774425,.1363863,.3857291,.1402146
21993,.2018633,0,.5639041,.6317864,.4485734,.8149994,.1735352,.4232861,.1588209
21994,.2154673,0,.5775082,.6453905,.4621774,.8286034,.1871392,.4368901,.167804
21995,.1995846,0,.5616254,.6295077,.4462947,.8127207,.1708483,.4210074,.1329907
21996,.2072151,0,.569256,.6371382,.4539253,.8203512,.1784789,.4286379,.1559841
21997,.1539303,0,.5172114,.5891593,.4059463,.7723723,.1260103,.380659,.1547693
21998,.1278904,0,.4911715,.5631194,.3799064,.7463324,.0999704,.3546191,.1289358
21999,.1590004,0,.5222816,.5942295,.4110164,.7774425,.1310804,.3857291,.1278124
21981,.3269553,.1916613,.4622494,.3374684,.1542554,.5206814,,,
21982,.2920181,.1364764,.4475598,.345099,.161886,.528312,,,
21983,.2440392,.0884975,.3995809,.2971201,.1139071,.4803331,,,
21984,.2179993,.0624576,.373541,.2710802,.0878672,.4542932,,,
21985,.2533113,.1038861,.4027366,.3021902,.1189772,.4854032,,,
21986,.2908683,.141443,.4402936,.3397472,.1565342,.5229602,,,
21987,.2619045,.1090701,.414739,.3533512,.1701382,.5365642,,,
21988,.2460218,.0931873,.3988563,.3374684,.1542554,.5206814,,,
21989,.1739441,.0198194,.3280688,.3024193,.1199304,.4849081,,,
21990,.1686449,.0053808,.331909,.2971201,.1139071,.4803331,,,
21991,.1213813,0,.275727,.2710802,.0878672,.4542932,,,
21992,.1524913,0,.3068371,.3021902,.1189772,.4854032,,,
21993,.1900482,.0357025,.344394,.3397472,.1565342,.5229602,,,
21994,.2036523,.0493065,.357998,.3533512,.1701382,.5365642,,,
21995,.1877696,.0334238,.3421153,.3374684,.1542554,.5206814,,,
21996,.1954001,.0410544,.3497459,.345099,.161886,.528312,,,
21997,.1421152,0,.2962497,.2971201,.1139071,.4803331,,,
21998,.1160753,0,.2702098,.2710802,.0878672,.4542932,,,
21999,.1471853,0,.3013198,.3021902,.1189772,.4854032,,,
21978,.3124453,.1292323,.4956583,.3124453,.1292323,.4956583,,,
21979,.3500023,.1667892,.5332153,.3500023,.1667892,.5332153,,,
21980,.3636063,.1803933,.5468193,.3636063,.1803933,.5468193,,,
21981,.3477236,.1645106,.5309366,.3477236,.1645106,.5309366,,,
21983,.2648074,.0681444,.4614704,.3073752,.1241622,.4905882,,,
21984,.2387675,.0421045,.4354305,.2813353,.0981223,.4645483,,,
21985,.2740795,.07443,.4737291,.3124453,.1292323,.4956583,,,
