t,y_actual_idf,lb_y_actual_idf,ub_y_actual_idf,y_counter_idf,lb_counter_idf,ub_counter_idf,day_avg_idf
21977,.2681243,.0779834,.4582651,.2438012,.0273311,.4602714,.0845573
21978,.2681243,.0779834,.4582651,.2438012,.0273311,.4602714,.3964155
21979,.2681243,.0779834,.4582651,.2438012,.0273311,.4602714,.3234
21980,.2559422,.0770583,.4348262,.2438012,.0273311,.4602714,.1579032
21981,.2559422,.0770583,.4348262,.2438012,.0273311,.4602714,.1557546
21982,.2802653,.1651318,.3953988,.2438012,.0273311,.4602714,.8486705
21983,.2802653,.1651318,.3953988,.2438012,.0273311,.4602714,.210721
21984,.2802653,.1651318,.3953988,.2438012,.0273311,.4602714,.1073585
21985,.2924268,.1832791,.4015744,.2438012,.0273311,.4602714,.3873377
21986,.2924268,.1832791,.4015744,.2438012,.0273311,.4602714,.1593637
21987,.3289113,.1289036,.528919,.2438012,.0273311,.4602714,.2227969
21988,.3289113,.1289036,.528919,.2438012,.0273311,.4602714,.2747693
21989,.2421403,0,.5714738,.2420625,0,.6692733,.2421403
21990,.243879,.1366842,.3510738,.2438012,.0273311,.4602714,.3766561
21991,.1758531,.0717437,.2799625,.2438012,.0273311,.4602714,.2114983
21992,.1758531,.0717437,.2799625,.2438012,.0273311,.4602714,.212708
21993,.1758531,.0717437,.2799625,.2438012,.0273311,.4602714,.2284026
21994,.1758531,.0717437,.2799625,.2438012,.0273311,.4602714,.1206684
21995,.1758531,.0717437,.2799625,.2438012,.0273311,.4602714,.2067709
21996,.1758531,.0717437,.2799625,.2438012,.0273311,.4602714,.1179962
21997,.1588466,.0415723,.276121,.2438012,.0273311,.4602714,.161828
21998,.1588466,.0415723,.276121,.2438012,.0273311,.4602714,.0903063
21999,.1588466,.0415723,.276121,.2438012,.0273311,.4602714,.1193838
