t,y_actual_mi,lb_y_actual_mi,ub_y_actual_mi,y_counter_mi,lb_counter_mi,ub_counter_mi,day_avg_mi
28feb2020,.3465736,.2182921,.4748551,.3465736,.2182921,.4748551,.6592455
29feb2020,.3465736,.2182921,.4748551,.3465736,.2182921,.4748551,.0339017
01mar2020,.3553829,.2868136,.4239523,.3465736,.2182921,.4748551,.427444
02mar2020,.3553829,.2868136,.4239523,.3465736,.2182921,.4748551,.2318015
03mar2020,.3553829,.2868136,.4239523,.3465736,.2182921,.4748551,.4721565
04mar2020,.3553829,.2868136,.4239523,.3465736,.2182921,.4748551,.4441342
05mar2020,.3553829,.2868136,.4239523,.3465736,.2182921,.4748551,.3064699
06mar2020,.3553829,.2868136,.4239523,.3465736,.2182921,.4748551,.3040452
07mar2020,.3553829,.2868136,.4239523,.3465736,.2182921,.4748551,.3016291
08mar2020,.1688294,.040548,.2971109,.3465736,.2182921,.4748551,.1174755
09mar2020,.1688294,.040548,.2971109,.3465736,.2182921,.4748551,.2201834
12mar2020,.1619549,.1045857,.2193241,.3465736,.2182921,.4748551,.2142391
13mar2020,.1619549,.1045857,.2193241,.3465736,.2182921,.4748551,.1314569
14mar2020,.1619549,.1045857,.2193241,.3465736,.2182921,.4748551,.1711655
15mar2020,.1619549,.1045857,.2193241,.3465736,.2182921,.4748551,.1207156
16mar2020,.1619549,.1045857,.2193241,.3465736,.2182921,.4748551,.1249952
17mar2020,.1619549,.1045857,.2193241,.3465736,.2182921,.4748551,.1595392
18mar2020,.1619549,.1045857,.2193241,.3465736,.2182921,.4748551,.1281428
19mar2020,.1619549,.1045857,.2193241,.3465736,.2182921,.4748551,.2149405
20mar2020,.1619549,.1045857,.2193241,.3465736,.2182921,.4748551,.1488199
21mar2020,.1619549,.1045857,.2193241,.3465736,.2182921,.4748551,.205534
22mar2020,.0565037,.0111493,.101858,.3465736,.2182921,.4748551,.0868683
23mar2020,.0565037,.0111493,.101858,.3465736,.2182921,.4748551,.0441446
24mar2020,.0565037,.0111493,.101858,.3465736,.2182921,.4748551,.0680408
25mar2020,.0565037,.0111493,.101858,.3465736,.2182921,.4748551,.0633764
26mar2020,.0565037,.0111493,.101858,.3465736,.2182921,.4748551,.1306868
27mar2020,.0565037,.0111493,.101858,.3465736,.2182921,.4748551,.0760565
28mar2020,.0565037,.0111493,.101858,.3465736,.2182921,.4748551,.0411806
29mar2020,.0565037,.0111493,.101858,.3465736,.2182921,.4748551,.0678015
30mar2020,.0565037,.0111493,.101858,.3465736,.2182921,.4748551,.0408173
31mar2020,.0565037,.0111493,.101858,.3465736,.2182921,.4748551,.0267258
01apr2020,.0565037,.0111493,.101858,.3465736,.2182921,.4748551,.0663185
02apr2020,.0565037,.0111493,.101858,.3465736,.2182921,.4748551,.0493803
03apr2020,.0565037,.0111493,.101858,.3465736,.2182921,.4748551,.0379553
04apr2020,.0565037,.0111493,.101858,.3465736,.2182921,.4748551,.0403633
05apr2020,.0565037,.0111493,.101858,.3465736,.2182921,.4748551,.0372858
06apr2020,.0565037,.0111493,.101858,.3465736,.2182921,.4748551,.0270567
