t,y_actual_ny,lb_y_actual_ny,ub_y_actual_ny,y_counter_ny,lb_counter_ny,ub_counter_ny,day_avg_ny
05mar2020,.4505128,.3029034,.5981221,.7707707,.0888984,1.452643,.7375989
06mar2020,.4505128,.3029034,.5981221,.7707707,.0888984,1.452643,.0833817
07mar2020,.4505128,.3029034,.5981221,.7707707,.0888984,1.452643,1.124929
08mar2020,.4505128,.3029034,.5981221,.7707707,.0888984,1.452643,.3290234
09mar2020,.4505128,.3029034,.5981221,.7707707,.0888984,1.452643,.303905
10mar2020,.4505128,.3029034,.5981221,.7707707,.0888984,1.452643,.176558
11mar2020,.2247723,0,.5214353,.7707707,.0888984,1.452643,.1794271
12mar2020,.5119863,.2549467,.7690259,.7707707,.0888984,1.452643,.4511065
13mar2020,.2588077,0,.6321823,.5524476,0,1.273722,.2588077
14mar2020,.2580297,.0488618,.4671976,.7707707,.0888984,1.452643,.2245674
15mar2020,.2580297,.0488618,.4671976,.7707707,.0888984,1.452643,.3244734
16mar2020,.3473363,.1107074,.5839652,.7707707,.0888984,1.452643,.2647882
17mar2020,.3727224,.1531237,.5923212,.7707707,.0888984,1.452643,.4856696
18mar2020,.7199006,.3588831,1.080918,.7707707,.0888984,1.452643,.6814203
19mar2020,.5337422,.2109522,.8565322,.7707707,.0888984,1.452643,.613555
20mar2020,.4117736,.1586421,.664905,.7707707,.0888984,1.452643,.3309069
21mar2020,.4117736,.1586421,.664905,.7707707,.0888984,1.452643,.4418325
22mar2020,.178469,.0608359,.2961021,.7707707,.0888984,1.452643,.2599421
23mar2020,.178469,.0608359,.2961021,.7707707,.0888984,1.452643,.2782421
24mar2020,.178469,.0608359,.2961021,.7707707,.0888984,1.452643,.201457
25mar2020,.178469,.0608359,.2961021,.7707707,.0888984,1.452643,.2538052
26mar2020,.178469,.0608359,.2961021,.7707707,.0888984,1.452643,.1674089
27mar2020,.178469,.0608359,.2961021,.7707707,.0888984,1.452643,.1395521
28mar2020,.178469,.0608359,.2961021,.7707707,.0888984,1.452643,.1734943
29mar2020,.178469,.0608359,.2961021,.7707707,.0888984,1.452643,.1056042
30mar2020,.178469,.0608359,.2961021,.7707707,.0888984,1.452643,.1259871
31mar2020,.178469,.0608359,.2961021,.7707707,.0888984,1.452643,.1025038
01apr2020,.097853,0,.2493382,.7707707,.0888984,1.452643,.0982523
02apr2020,.097853,0,.2493382,.7707707,.0888984,1.452643,.0957937
03apr2020,.097853,0,.2493382,.7707707,.0888984,1.452643,.1369057
04apr2020,.097853,0,.2493382,.7707707,.0888984,1.452643,.0942116
05apr2020,.097853,0,.2493382,.7707707,.0888984,1.452643,.0702276
06apr2020,.097853,0,.2493382,.7707707,.0888984,1.452643,.0684204
