t,y_actual_hosp,lb_y_actual_hosp,ub_y_actual_hosp,y_counter_hosp,lb_counter_hosp,ub_counter_hosp,m_y_actual_hosp,m_y_counter_hosp,day_avg_hosp
21977,.3508129,.29033,.4112957,.3919342,.3213966,.4624719,.3600615,.3705351,.4215997
21978,.3120211,.2515382,.3725039,.3531424,.2826048,.4236801,.299044,.2963828,.315626
21979,.3272274,.2667446,.3877102,.3683488,.2978112,.4388864,.3142503,.3115891,.3139443
21980,.3989128,.3605661,.4372594,.4198599,.3493223,.4903975,.3500871,.3580872,.4244436
21981,.3541747,.3158281,.3925214,.3751219,.3045843,.4456595,.3013087,.3071269,.2544141
21982,.2882451,.2561204,.3203697,.3503136,.2797759,.4208512,.235379,.2823186,.2144536
21983,.3357932,.3036686,.3679178,.3978617,.3273241,.4683993,.2814732,.3331326,.2515254
21984,.3298657,.2977411,.3619903,.3919342,.3213966,.4624719,.2710698,.3266931,.2394381
21985,.2705132,.2360926,.3049339,.3531424,.2826048,.4236801,.2132692,.2879013,.1614803
21986,.2857196,.2512989,.3201402,.3683488,.2978112,.4388864,.2300274,.3031076,.2307222
21987,.2755486,.2195911,.3315062,.4198599,.3493223,.4903975,.2388356,.3546188,.2520241
21988,.2308106,.1748531,.2867682,.3751219,.3045843,.4456595,.1940976,.3098807,.2314738
21989,.2480016,.2181017,.2779015,.4254194,.3403604,.5104785,.2112885,.3601783,.2112885
21990,.2204439,.1843414,.2565463,.3978617,.3273241,.4683993,.1868345,.3326206,.2258414
21991,.1880311,.1614021,.21466,.3919342,.3213966,.4624719,.1544218,.3266931,.2307146
21992,.1492393,.1226103,.1758683,.3531424,.2826048,.4236801,.11563,.2879013,.1738189
21993,.1644456,.1378167,.1910746,.3683488,.2978112,.4388864,.130327,.3031076,.1843048
21994,.2159568,.1893278,.2425857,.4198599,.3493223,.4903975,.1818381,.3546188,.1796602
21995,.1712188,.1445898,.1978477,.3751219,.3045843,.4456595,.1365908,.3098807,.1611107
21996,.1464105,.1197815,.1730394,.3503136,.2797759,.4208512,.1117824,.2850724,.1312826
21997,.1873373,.1612396,.2134349,.3978617,.3273241,.4683993,.1537279,.3326206,.1962689
21998,.1814098,.1553121,.2075074,.3919342,.3213966,.4624719,.1478004,.3266931,.152085
21999,.142618,.1165203,.1687156,.3531424,.2826048,.4236801,.1090087,.2879013,.1353232
22000,.1578243,.1317267,.183922,.3683488,.2978112,.4388864,.124215,.3031076,.1329817
22001,.2093354,.1832378,.2354331,.4198599,.3493223,.4903975,.1757261,.3546188,.1423202
22002,.1645974,.1384998,.1906951,.3751219,.3045843,.4456595,.1309881,.3098807,.1082882
22003,.1397891,.1136915,.1658868,.3503136,.2797759,.4208512,.1061798,.2850724,.081507
22004,.1873373,.1612396,.2134349,.3978617,.3273241,.4683993,.1537279,.3326206,.0998243
22005,.1814098,.1553121,.2075074,.3919342,.3213966,.4624719,.1478004,.3266931,.07992
22006,.142618,.1165203,.1687156,.3531424,.2826048,.4236801,.1090087,.2879013,.0673652
22007,.1578243,.1317267,.183922,.3683488,.2978112,.4388864,.124215,.3031076,.0609404
22008,.11593,.0801073,.1517527,.4198599,.3493223,.4903975,.0823207,.3546188,.0589582
