adm0,policy,beta,se
"CHN","home_isolation_L0_to_L7",-.094,.017
"CHN","travel_ban_local_L0_to_L7",-.041,.029
"CHN","home_isolation_L8_to_L14",-.135,.016
"CHN","travel_ban_local_L8_to_L14",-.164,.036
"CHN","home_isolation_L15_to_L21",-.153,.016
"CHN","travel_ban_local_L15_to_L21",-.189,.034
"CHN","home_isolation_L22_to_L28",-.159,.016
"CHN","travel_ban_local_L22_to_L28",-.177,.032
"CHN","home_isolation_L29_to_L70",-.161,.019
"CHN","travel_ban_local_L29_to_L70",-.178,.032
"CHN","comb. policy",-1.451,.17
"CHN","first week (home+travel)",-.136,.031
"CHN","second week (home+travel)",-.299,.04
"CHN","third week (home+travel)",-.341,.036
"CHN","fourth week (home+travel)",-.336,.034
"CHN","fifth week (home+travel)",-.339,.035
"CHN","no_policy rate",.214,.083
"CHN_Wuhan","no_policy rate",.356,.029
