t,m_y_actual,y_actual,lb_y_actual,ub_y_actual,m_y_counter,y_counter,lb_counter,ub_counter
21974,.2794045,,,,.3003872,,,
21975,.2794045,,,,.3003872,,,
21976,.2794045,,,,.3003872,,,
21977,.2794045,.3004672,.2339237,.3670107,.3003872,.3458707,.2660817,.4256598
21978,.3198417,.3384574,.2719139,.4050009,.3361728,.3838609,.3040718,.46365
21979,.3593303,.377946,.3114024,.4444894,.3756614,.4233495,.3435604,.5031386
21980,.3547936,.3818533,.3465388,.4171677,.3838597,.4319589,.3521698,.511748
21981,.3443111,.3635952,.3282807,.3989097,.3640804,.4137008,.3339117,.4934899
21982,.2978144,.318407,.2965547,.3402594,.3647844,.4139162,.3341271,.4937053
21983,.2453116,.2744465,.2525942,.2962988,.3203352,.3699557,.2901666,.4497448
21984,.2173453,.2503616,.2285092,.2722139,.2974374,.3458707,.2660817,.4256598
21985,.2322721,.26565,.2401442,.2911557,.3354276,.3838609,.3040718,.46365
21986,.2713989,.3051385,.2796328,.3306443,.3749162,.4233495,.3435604,.5031386
21987,.2328585,.2456426,.1873258,.3039594,.3835256,.4319589,.3521698,.511748
21988,.2146004,.2273846,.1690677,.2857014,.3652675,.4137008,.3339117,.4934899
21989,.1594566,.1722407,.1422155,.2022659,.3339057,.382339,.2887646,.4759135
21990,.1463498,.1598573,.1212707,.1984441,.3215224,.3699557,.2901666,.4497448
21991,.1032392,.1167467,.0886113,.1448822,.2974374,.3458707,.2660817,.4256598
21992,.1412294,.1547369,.1266014,.1828724,.3354276,.3838609,.3040718,.46365
21993,.1803521,.1942255,.16609,.222361,.3749162,.4233495,.3435604,.5031386
21994,.1889615,.2028349,.1746994,.2309704,.3835256,.4319589,.3521698,.511748
21995,.1703376,.1845768,.1564414,.2127123,.3652675,.4137008,.3339117,.4934899
21996,.170553,.1847922,.1566567,.2129277,.3654829,.4139162,.3341271,.4937053
21997,.1225678,.1360753,.1090039,.1631466,.3215224,.3699557,.2901666,.4497448
21998,.0984828,.1119903,.084919,.1390617,.2974374,.3458707,.2660817,.4256598
21999,.136473,.1499805,.1229092,.1770519,.3354276,.3838609,.3040718,.46365
22000,.2794045,,,,.3003872,,,
22001,.2794045,,,,.3003872,,,
22002,.2794045,,,,.3003872,,,
22003,.2794045,,,,.3003872,,,
22004,.2794045,,,,.3003872,,,
22005,.2794045,,,,.3003872,,,
22006,.2794045,,,,.3003872,,,
22007,.2794045,,,,.3003872,,,
22008,.2794045,,,,.3003872,,,
22009,.2794045,,,,.3003872,,,
22010,.2794045,,,,.3003872,,,
22011,.2794045,,,,.3003872,,,
21981,,.3434909,.2842947,.4026872,,.348193,.2684039,.4279821
21982,,.2983028,.2629883,.3336173,,.3484084,.2686194,.4281975
21983,,.2543423,.2190278,.2896567,,.3044479,.2246588,.384237
21984,,.2302573,.1949428,.2655718,,.2803629,.2005739,.360152
21985,,.2455457,.2195384,.271553,,.3183531,.238564,.3981422
21986,,.2850343,.259027,.3110416,,.3578417,.2780526,.4376308
21987,,.2482402,.2227344,.2737459,,.3664511,.286662,.4462402
21988,,.2299821,.2044763,.2554878,,.348193,.2684039,.4279821
