t,y_actual,lb_y_actual,ub_y_actual,y_counter,lb_counter,ub_counter,m_y_actual,m_y_counter,day_avg
11mar2020,.1510839,.0670245,.2351433,.23446,.1530736,.3158464,,,
12mar2020,.1659957,.0819364,.2500551,.2493718,.1679854,.3307582,,,
13mar2020,.1598088,.0757494,.2438682,.2431849,.1617985,.3245713,,,
14mar2020,.1468348,.0627754,.2308942,.2302109,.1488245,.3115973,,,
15mar2020,.1803265,.0962671,.2643858,.2637026,.1823162,.345089,,,
16mar2020,.1382256,.0541662,.222285,.2216017,.1402153,.3029881,,,
17mar2020,.1436787,.0596193,.2277381,.2270548,.1456684,.3084412,,,
18mar2020,.1510839,.0670245,.2351433,.23446,.1530736,.3158464,,,
19mar2020,.1659957,.0819364,.2500551,.2493718,.1679854,.3307582,,,
20mar2020,.1598088,.0757494,.2438682,.2431849,.1617985,.3245713,,,
21mar2020,.1468348,.0627754,.2308942,.2302109,.1488245,.3115973,,,
22mar2020,.0611587,0,.1426576,.2637026,.1823162,.345089,,,
23mar2020,.0190578,0,.1005567,.2216017,.1402153,.3029881,,,
24mar2020,.0245109,0,.1060098,.2270548,.1456684,.3084412,,,
25mar2020,.0319161,0,.113415,.23446,.1530736,.3158464,,,
26mar2020,.0468279,0,.1283268,.2493718,.1679854,.3307582,,,
27mar2020,.040641,0,.1221399,.2431849,.1617985,.3245713,,,
28mar2020,.027667,0,.1091659,.2302109,.1488245,.3115973,,,
29mar2020,.0611587,0,.1426576,.2637026,.1823162,.345089,,,
30mar2020,.0190578,0,.1005567,.2216017,.1402153,.3029881,,,
31mar2020,.0245109,0,.1060098,.2270548,.1456684,.3084412,,,
01apr2020,.0319161,0,.113415,.23446,.1530736,.3158464,,,
02apr2020,.0468279,0,.1283268,.2493718,.1679854,.3307582,,,
03apr2020,.040641,0,.1221399,.2431849,.1617985,.3245713,,,
04apr2020,.027667,0,.1091659,.2302109,.1488245,.3115973,,,
05apr2020,.0611587,0,.1426576,.2637026,.1823162,.345089,,,
06apr2020,.0190578,0,.1005567,.2216017,.1402153,.3029881,,,
05mar2020,.2863722,.2049858,.3677586,.2863722,.2049858,.3677586,,,
06mar2020,.2801853,.1987989,.3615717,.2801853,.1987989,.3615717,,,
07mar2020,.2672113,.1858249,.3485976,.2672113,.1858249,.3485976,,,
08mar2020,.2438803,.1546774,.3330832,.3007029,.2193165,.3820893,,,
09mar2020,.2017794,.1125765,.2909824,.2586021,.1772157,.3399884,,,
10mar2020,.2072325,.1180296,.2964354,.2640552,.1826688,.3454416,,,
11mar2020,.1880843,.1040249,.2721437,.2714604,.190074,.3528467,,,
12mar2020,.2029961,.1189367,.2870555,.2863722,.2049858,.3677586,,,
13mar2020,.1968092,.1127498,.2808686,.2801853,.1987989,.3615717,,,
14mar2020,.1838352,.0997758,.2678946,.2672113,.1858249,.3485976,,,
15mar2020,.2173268,.1332674,.3013862,.3007029,.2193165,.3820893,,,
16mar2020,.175226,.0911666,.2592854,.2586021,.1772157,.3399884,,,
17mar2020,.1806791,.0966197,.2647385,.2640552,.1826688,.3454416,,,
18mar2020,.1880843,.1040249,.2721437,.2714604,.190074,.3528467,,,
19mar2020,.2029961,.1189367,.2870555,.2863722,.2049858,.3677586,,,
20mar2020,.1968092,.1127498,.2808686,.2801853,.1987989,.3615717,,,
21mar2020,.1838352,.0997758,.2678946,.2672113,.1858249,.3485976,,,
22mar2020,.098159,.0166601,.1796579,.3007029,.2193165,.3820893,,,
23mar2020,.0560582,0,.1375571,.2586021,.1772157,.3399884,,,
24mar2020,.0615113,0,.1430102,.2640552,.1826688,.3454416,,,
25mar2020,.0689165,0,.1504154,.2714604,.190074,.3528467,,,
26mar2020,.0838283,.0023294,.1653272,.2863722,.2049858,.3677586,,,
27mar2020,.0776414,0,.1591403,.2801853,.1987989,.3615717,,,
28mar2020,.0646674,0,.1461663,.2672113,.1858249,.3485976,,,
29mar2020,.098159,.0166601,.1796579,.3007029,.2193165,.3820893,,,
30mar2020,.0560582,0,.1375571,.2586021,.1772157,.3399884,,,
31mar2020,.0615113,0,.1430102,.2640552,.1826688,.3454416,,,
01apr2020,.0689165,0,.1504154,.2714604,.190074,.3528467,,,
02apr2020,.0838283,.0023294,.1653272,.2863722,.2049858,.3677586,,,
03apr2020,.0776414,0,.1591403,.2801853,.1987989,.3615717,,,
04apr2020,.0646674,0,.1461663,.2672113,.1858249,.3485976,,,
05apr2020,.098159,.0166601,.1796579,.3007029,.2193165,.3820893,,,
06apr2020,.0560582,0,.1375571,.2586021,.1772157,.3399884,,,
06mar2020,.2695691,.1791554,.3599827,.3755295,.2941431,.4569159,,,
07mar2020,.256595,.1661814,.3470087,.3625555,.2811691,.4439419,,,
08mar2020,.3069991,.2176924,.3963059,.3960471,.3146607,.4774335,,,
09mar2020,.2648983,.1755915,.354205,.3539463,.2725599,.4353327,,,
10mar2020,.1966163,.1151772,.2780555,.3593994,.278013,.4407858,,,
11mar2020,.1774681,.10403,.2509062,.3668046,.2854182,.448191,,,
12mar2020,.1923799,.1189418,.265818,.3817164,.30033,.4631028,,,
13mar2020,.186193,.1127549,.2596311,.3755295,.2941431,.4569159,,,
14mar2020,.173219,.0997809,.2466571,.3625555,.2811691,.4439419,,,
15mar2020,.2067106,.1332725,.2801487,.3960471,.3146607,.4774335,,,
16mar2020,.1646098,.0911717,.2380479,.3539463,.2725599,.4353327,,,
17mar2020,.1700629,.0966248,.243501,.3593994,.278013,.4407858,,,
18mar2020,.1774681,.10403,.2509062,.3668046,.2854182,.448191,,,
19mar2020,.1923799,.1189418,.265818,.3817164,.30033,.4631028,,,
20mar2020,.186193,.1127549,.2596311,.3755295,.2941431,.4569159,,,
21mar2020,.173219,.0997809,.2466571,.3625555,.2811691,.4439419,,,
22mar2020,.0875428,.0129535,.1621322,.3960471,.3146607,.4774335,,,
23mar2020,.045442,0,.1200313,.3539463,.2725599,.4353327,,,
24mar2020,.0508951,0,.1254844,.3593994,.278013,.4407858,,,
25mar2020,.0583003,0,.1328896,.3668046,.2854182,.448191,,,
26mar2020,.0732121,0,.1478014,.3817164,.30033,.4631028,,,
27mar2020,.0670252,0,.1416145,.3755295,.2941431,.4569159,,,
28mar2020,.0540512,0,.1286405,.3625555,.2811691,.4439419,,,
29mar2020,.0875428,.0129535,.1621322,.3960471,.3146607,.4774335,,,
30mar2020,.045442,0,.1200313,.3539463,.2725599,.4353327,,,
31mar2020,.0508951,0,.1254844,.3593994,.278013,.4407858,,,
01apr2020,.0583003,0,.1328896,.3668046,.2854182,.448191,,,
02apr2020,.0732121,0,.1478014,.3817164,.30033,.4631028,,,
03apr2020,.0670252,0,.1416145,.3755295,.2941431,.4569159,,,
04apr2020,.0540512,0,.1286405,.3625555,.2811691,.4439419,,,
05apr2020,.0875428,.0129535,.1621322,.3960471,.3146607,.4774335,,,
06apr2020,.045442,0,.1200313,.3539463,.2725599,.4353327,,,
10mar2020,.224486,.1352831,.3136889,.2813086,.1999222,.362695,,,
11mar2020,.2053377,.1212784,.2893971,.2887138,.2073274,.3701002,,,
