t,m_y_actual,y_actual,lb_y_actual,ub_y_actual,m_y_counter,y_counter,lb_counter,ub_counter
23feb2020,,.2835886,.1005093,.4666678,,.2835886,.1005093,.4666678
24feb2020,,.2591268,.0760475,.4422061,,.2591268,.0760475,.4422061
25feb2020,,.2714401,.0883608,.4545193,,.2714401,.0883608,.4545193
26feb2020,,.1743746,.0846922,.264057,,.2756495,.0925702,.4587287
27feb2020,,.1750106,.0853282,.264693,,.2762854,.0932062,.4593647
28feb2020,,.1111275,.0667623,.1554927,,.3136772,.1305979,.4967565
29feb2020,,.0947942,.0683592,.1212291,,.3181319,.1205216,.5157422
01mar2020,,.0602509,.0319657,.0885361,,.2835886,.1005093,.4666678
02mar2020,,.0357891,.0075039,.0640743,,.2591268,.0760475,.4422061
03mar2020,,.0481024,.0198172,.0763875,,.2714401,.0883608,.4545193
04mar2020,,.0523118,.0240266,.0805969,,.2756495,.0925702,.4587287
05mar2020,,.0529478,.0246626,.0812329,,.2762854,.0932062,.4593647
06mar2020,,.0903395,.0620543,.1186247,,.3136772,.1305979,.4967565
07mar2020,,.0548515,.0265664,.0831367,,.2781892,.09511,.4612685
08mar2020,,.0602509,.0319657,.0885361,,.2835886,.1005093,.4666678
09mar2020,,.0357891,.0075039,.0640743,,.2591268,.0760475,.4422061
10mar2020,,.0481024,.0198172,.0763875,,.2714401,.0883608,.4545193
11mar2020,,.0315238,.0138392,.0492084,,.2756495,.0925702,.4587287
12mar2020,,.0321598,.0144752,.0498444,,.2762854,.0932062,.4593647
13mar2020,,.0695515,.0518669,.0872361,,.3136772,.1305979,.4967565
14mar2020,,.0340635,.016379,.0517481,,.2781892,.09511,.4612685
15mar2020,,.0394629,.0217783,.0571475,,.2835886,.1005093,.4666678
16mar2020,,0,0,.0167154,,.2591268,.0760475,.4422061
17mar2020,,.0065264,0,.0290287,,.2714401,.0883608,.4545193
18mar2020,,.0107358,0,.0332381,,.2756495,.0925702,.4587287
19mar2020,,.0113718,0,.0338741,,.2762854,.0932062,.4593647
20mar2020,,.0487635,.0262612,.0712658,,.3136772,.1305979,.4967565
21mar2020,,.0132756,0,.0357778,,.2781892,.09511,.4612685
22mar2020,,.0134098,0,.0562696,,.2732785,.0948926,.4516644
23mar2020,,0,0,.0187556,,.2591268,.0760475,.4422061
24mar2020,,.0115714,0,.0310689,,.2714401,.0883608,.4545193
25mar2020,,.0157808,0,.0352783,,.2756495,.0925702,.4587287
26mar2020,,.0164168,0,.0359143,,.2762854,.0932062,.4593647
27mar2020,,.0201133,0,.0817574,,.2749369,.1044192,.4454546
28mar2020,,.0233656,.0026761,.0440551,,.2781892,.09511,.4612685
29mar2020,,.0287649,.0080754,.0494545,,.2835886,.1005093,.4666678
30mar2020,,.0043031,0,.0249927,,.2591268,.0760475,.4422061
31mar2020,,.0166164,0,.0373059,,.2714401,.0883608,.4545193
01apr2020,,.0258708,.0003744,.0513672,,.2756495,.0925702,.4587287
02apr2020,,.0265068,.0010104,.0520032,,.2762854,.0932062,.4593647
03apr2020,,.0638986,.0384022,.089395,,.3136772,.1305979,.4967565
04apr2020,,.0284106,.0029142,.053907,,.2781892,.09511,.4612685
05apr2020,,.038855,.0065102,.0711997,,.2835886,.1005093,.4666678
06apr2020,,.0143932,0,.0467379,,.2591268,.0760475,.4422061
