t,m_y_actual,y_actual,lb_y_actual,ub_y_actual,m_y_counter,y_counter,lb_counter,ub_counter
15mar2020,,.2944737,.2611208,.3278265,,.3278466,.2607962,.394897
16mar2020,,.273244,.2284447,.3180434,,.3540303,.2869799,.4210807
17mar2020,,.2845029,.2397036,.3293023,,.3652892,.2982388,.4323396
18mar2020,,.3110388,.2746189,.3474587,,.3794242,.3123738,.4464746
19mar2020,,.3327742,.3004869,.3650615,,.3991623,.3321119,.4662127
20mar2020,,.3200689,.2877815,.3523562,,.386457,.3194066,.4535074
21mar2020,,.2992221,.2669348,.3315095,,.3656102,.2985598,.4326606
22mar2020,,.2427964,.1829263,.3026665,,.3091845,.234348,.3840211
23mar2020,,.2876422,.2553549,.3199295,,.3540303,.2869799,.4210807
24mar2020,,.2989011,.2666138,.3311884,,.3652892,.2982388,.4323396
25mar2020,,.3130361,.2807488,.3453234,,.3794242,.3123738,.4464746
26mar2020,,.3211219,.2914078,.3508361,,.3991623,.3321119,.4662127
27mar2020,,.3091652,.2821259,.3362046,,.386457,.3194066,.4535074
28mar2020,,.1590936,.0988961,.219291,,.3656102,.2985598,.4326606
29mar2020,,.12133,.0611325,.1815274,,.3278466,.2607962,.394897
30mar2020,,.1475137,.0873162,.2077111,,.3540303,.2869799,.4210807
31mar2020,,.1587725,.0985751,.21897,,.3652892,.2982388,.4323396
01apr2020,,.1729075,.1127101,.233105,,.3794242,.3123738,.4464746
02apr2020,,.1926456,.1324482,.2528431,,.3991623,.3321119,.4662127
03apr2020,,.1799403,.1197429,.2401378,,.386457,.3194066,.4535074
04apr2020,,.0778862,.0270721,.1287002,,.3656102,.2985598,.4326606
05apr2020,,.0401226,0,.0909366,,.3278466,.2607962,.394897
06apr2020,,.0663062,.0154922,.1171203,,.3540303,.2869799,.4210807
20mar2020,,.2832638,.2531567,.313371,,.301138,.2340876,.3681884
21mar2020,,.2624171,.23231,.2925242,,.2802912,.2132408,.3473416
22mar2020,,.2246535,.1945464,.2547606,,.2425276,.1754772,.309578
23mar2020,,.2508372,.2207301,.2809443,,.2687113,.2016609,.3357617
24mar2020,,.1980225,.1670811,.2289638,,.2799702,.2129198,.3470206
25mar2020,,.2121575,.1812161,.2430988,,.2941052,.2270548,.3611556
26mar2020,,.2318956,.2009542,.2628369,,.3138433,.2467929,.3808937
27mar2020,,.2191902,.1882489,.2501315,,.301138,.2340876,.3681884
28mar2020,,.1098046,.0787743,.140835,,.2802912,.2132408,.3473416
29mar2020,,.072041,.0410107,.1030714,,.2425276,.1754772,.309578
30mar2020,,.0982247,.0671944,.1292551,,.2687113,.2016609,.3357617
31mar2020,,.1094836,.0784532,.140514,,.2799702,.2129198,.3470206
01apr2020,,.1236186,.0925882,.154649,,.2941052,.2270548,.3611556
02apr2020,,.1433567,.1123263,.1743871,,.3138433,.2467929,.3808937
03apr2020,,.1306514,.099621,.1616817,,.301138,.2340876,.3681884
04apr2020,,.1098046,.0787743,.140835,,.2802912,.2132408,.3473416
