adm0_name,t,y_actual,lb_y_actual,ub_y_actual,y_counter,lb_counter,ub_counter,m_y_actual,m_y_counter,day_avg
"FRA","03mar2020",.3004672,.2339237,.3670107,.3458707,.2660817,.4256598,.2794045,.3003872,.1785852
"FRA","04mar2020",.3384574,.2719139,.4050009,.3838609,.3040718,.46365,.3198417,.3361728,.3471288
"FRA","05mar2020",.377946,.3114024,.4444894,.4233495,.3435604,.5031386,.3593303,.3756614,.410651
"FRA","06mar2020",.3818533,.3465388,.4171677,.4319589,.3521698,.511748,.3547936,.3838597,.350974
"FRA","07mar2020",.3635952,.3282807,.3989097,.4137008,.3339117,.4934899,.3443111,.3640804,.3647754
"FRA","08mar2020",.318407,.2965547,.3402594,.4139162,.3341271,.4937053,.2978144,.3647844,.3150322
"FRA","09mar2020",.2744465,.2525942,.2962988,.3699557,.2901666,.4497448,.2453116,.3203352,.1914497
"FRA","10mar2020",.2503616,.2285092,.2722139,.3458707,.2660817,.4256598,.2173453,.2974374,.1988416
"FRA","11mar2020",.26565,.2401442,.2911557,.3838609,.3040718,.46365,.2322721,.3354276,.2272544
"FRA","12mar2020",.3051385,.2796328,.3306443,.4233495,.3435604,.5031386,.2713989,.3749162,.265296
"FRA","13mar2020",.2456426,.1873258,.3039594,.4319589,.3521698,.511748,.2328585,.3835256,.2563666
"FRA","14mar2020",.2273846,.1690677,.2857014,.4137008,.3339117,.4934899,.2146004,.3652675,.2330573
"FRA","15mar2020",.1722407,.1422155,.2022659,.382339,.2887646,.4759135,.1594566,.3339057,.1594566
"FRA","16mar2020",.1598573,.1212707,.1984441,.3699557,.2901666,.4497448,.1463498,.3215224,.1638668
"FRA","17mar2020",.1167467,.0886113,.1448822,.3458707,.2660817,.4256598,.1032392,.2974374,.1300666
"FRA","18mar2020",.1547369,.1266014,.1828724,.3838609,.3040718,.46365,.1412294,.3354276,.1402146
"FRA","19mar2020",.1942255,.16609,.222361,.4233495,.3435604,.5031386,.1803521,.3749162,.1588209
"FRA","20mar2020",.2028349,.1746994,.2309704,.4319589,.3521698,.511748,.1889615,.3835256,.167804
"FRA","21mar2020",.1845768,.1564414,.2127123,.4137008,.3339117,.4934899,.1703376,.3652675,.1329907
"FRA","22mar2020",.1847922,.1566567,.2129277,.4139162,.3341271,.4937053,.170553,.3654829,.1559841
"FRA","23mar2020",.1360753,.1090039,.1631466,.3699557,.2901666,.4497448,.1225678,.3215224,.1547693
"FRA","24mar2020",.1119903,.084919,.1390617,.3458707,.2660817,.4256598,.0984828,.2974374,.1289358
"FRA","25mar2020",.1499805,.1229092,.1770519,.3838609,.3040718,.46365,.136473,.3354276,.1278124
"FRA","07mar2020",.3434909,.2842947,.4026872,.348193,.2684039,.4279821,,,
"FRA","08mar2020",.2983028,.2629883,.3336173,.3484084,.2686194,.4281975,,,
"FRA","09mar2020",.2543423,.2190278,.2896567,.3044479,.2246588,.384237,,,
"FRA","10mar2020",.2302573,.1949428,.2655718,.2803629,.2005739,.360152,,,
"FRA","11mar2020",.2455457,.2195384,.271553,.3183531,.238564,.3981422,,,
"FRA","12mar2020",.2850343,.259027,.3110416,.3578417,.2780526,.4376308,,,
"FRA","13mar2020",.2482402,.2227344,.2737459,.3664511,.286662,.4462402,,,
"FRA","14mar2020",.2299821,.2044763,.2554878,.348193,.2684039,.4279821,,,
"FRA","15mar2020",.1748382,.1416623,.2080141,.3168313,.2232568,.4104057,,,
"FRA","16mar2020",.1624549,.1497843,.1751255,.3044479,.2246588,.384237,,,
"FRA","17mar2020",.1193443,.0948341,.1438545,.2803629,.2005739,.360152,,,
"FRA","18mar2020",.1573344,.1328242,.1818447,.3183531,.238564,.3981422,,,
"FRA","19mar2020",.196823,.1723128,.2213332,.3578417,.2780526,.4376308,,,
"FRA","20mar2020",.2054324,.1809222,.2299426,.3664511,.286662,.4462402,,,
"FRA","21mar2020",.1871744,.1626641,.2116846,.348193,.2684039,.4279821,,,
"FRA","22mar2020",.1873898,.1628795,.2119,.3484084,.2686194,.4281975,,,
"FRA","23mar2020",.1386728,.1099259,.1674197,.3044479,.2246588,.384237,,,
"FRA","24mar2020",.1145879,.0858409,.1433348,.2803629,.2005739,.360152,,,
"FRA","25mar2020",.152578,.1238311,.181325,.3183531,.238564,.3981422,,,
"FRA","04mar2020",.3288661,.249077,.4086552,.3288661,.249077,.4086552,,,
"FRA","05mar2020",.3683547,.2885656,.4481438,.3683547,.2885656,.4481438,,,
"FRA","06mar2020",.3769641,.297175,.4567532,.3769641,.297175,.4567532,,,
"FRA","07mar2020",.358706,.2789169,.4384951,.358706,.2789169,.4384951,,,
"FRA","09mar2020",.2695573,.2030138,.3361008,.3149609,.2351718,.39475,,,
"FRA","10mar2020",.2454724,.1789289,.3120159,.2908759,.2110868,.370665,,,
"FRA","11mar2020",.2607608,.1973832,.3241384,.3288661,.249077,.4086552,,,
"FRA","12mar2020",.3002494,.2368718,.363627,.3683547,.2885656,.4481438,,,
"FRA","13mar2020",.2634552,.1978069,.3291036,.3769641,.297175,.4567532,,,
"FRA","14mar2020",.2451972,.1795488,.3108456,.358706,.2789169,.4384951,,,
"FRA","15mar2020",.1900533,.1156423,.2644643,.3273442,.2337698,.4209187,,,
"FRA","16mar2020",.1729679,.1602973,.1856384,.3149609,.2351718,.39475,,,
"FRA","17mar2020",.1298572,.105347,.1543675,.2908759,.2110868,.370665,,,
"FRA","18mar2020",.1678474,.1433372,.1923576,.3288661,.249077,.4086552,,,
"FRA","19mar2020",.207336,.1828258,.2318462,.3683547,.2885656,.4481438,,,
"FRA","20mar2020",.2159454,.1914352,.2404556,.3769641,.297175,.4567532,,,
"FRA","21mar2020",.1976873,.1731771,.2221975,.358706,.2789169,.4384951,,,
"FRA","22mar2020",.1979027,.1733925,.2224129,.3589214,.2791323,.4387105,,,
"FRA","23mar2020",.1491858,.1204389,.1779327,.3149609,.2351718,.39475,,,
"FRA","24mar2020",.1251008,.0963539,.1538478,.2908759,.2110868,.370665,,,
"FRA","25mar2020",.163091,.1343441,.191838,.3288661,.249077,.4086552,,,
