country,date,cases,predicted_cum_confirmed_cases_true,predicted_cum_confirmed_cases_no_policy,quantile_0.025_policy,quantile_0.025_no_policy,quantile_0.15_policy,quantile_0.15_no_policy,quantile_0.85_policy,quantile_0.85_no_policy,quantile_0.975_policy,quantile_0.975_no_policy
China,1/15/2020,,,,,,,,,,,
China,1/16/2020,45,45,45,45,45,45,45,45,45,45,45
China,1/17/2020,62,66.88,66.88,63.422,63.422,64.919,64.919,68.924,68.924,70.819,70.819
China,1/18/2020,121,155.18,155.18,147.008,147.008,150.55,150.55,160.023,160.023,164.507,164.507
China,1/19/2020,198,225.265,225.265,202.868,202.868,212.43,212.43,239.088,239.088,252.26,252.26
China,1/20/2020,270,335.191,335.191,288.753,288.753,308.278,308.278,365.064,365.064,394.353,394.353
China,1/21/2020,387,488.655,488.655,402.633,402.633,438.218,438.218,546.428,546.428,604.83,604.83
China,1/22/2020,461,702.304,702.304,553.489,553.489,613.435,613.435,806.756,806.756,914.517,914.517
China,1/23/2020,582,994.18,1027.581,775.033,781.513,862.004,878.482,1151.037,1207.482,1306.874,1397.528
China,1/24/2020,630,1393.059,1488.487,1064.186,1090.209,1193.356,1245.196,1632.343,1790.263,1861.755,2118.751
China,1/25/2020,958,2036.133,2237.736,1563.06,1605.006,1739.696,1849.126,2391.045,2734.096,2764.698,3292.354
China,1/26/2020,1471,3013.618,3394.593,2315.105,2395.726,2582.37,2777.674,3543.626,4201.445,4100.732,5136.178
China,1/27/2020,2102,4161.463,4838.414,3148.857,3285.929,3517.35,3881.886,4973.507,6134.541,5737.488,7679.763
China,1/28/2020,3803,6468.703,7777.156,4828.998,5141.772,5438.747,6152.637,7760.96,10068.562,9166.408,12869.613
China,1/29/2020,5228,8806.05,10958.868,6411.006,6945.842,7300.796,8454.569,10732.372,14593.059,12906.972,19109.306
China,1/30/2020,6967,11927.398,15371.556,8358.78,9286.441,9751.98,11576.533,14898.546,21147.396,18164.88,28214.713
China,1/31/2020,9034,14915.803,21423.821,10430.821,12307.42,12229.672,15758.3,18721.161,30389.572,22877.952,41737.128
China,2/1/2020,11146,18283.81,29779.347,12681.425,16301.587,15021.11,21445.08,23041.423,43785.326,28339.276,61417.682
China,2/2/2020,13728,22208.865,41223.501,15334.045,21772.451,18245.984,28983.689,28241.575,62748.536,34551.257,89948.496
China,2/3/2020,16620,26828.241,56866.261,18616.587,28897.207,22083.981,39162.608,34334.141,89889.853,42360.021,131619.997
China,2/4/2020,19849,32214.934,78287.953,22193.499,38381.106,26555.955,52874.039,41507.531,128270.4,51628.118,192108.005
China,2/5/2020,23820,38344.524,107275.813,26346.162,50756.741,31587.725,71495.482,49847.489,182317.378,62203.521,278536.589
China,2/6/2020,27501,44685.383,143562.451,30527.458,65323.054,36795.492,94607.796,58591.588,252746.469,73567.243,391467.779
China,2/7/2020,30611,52058.141,194156.699,35287.997,86098.264,42768.746,127129.919,69129.304,353671.149,86909.012,554516.926
