policy	lag	hosp	at	b	ll1	ul1
"National lockdown"	0	1	2.96	-.0852212	-.1600925	-.0103498
"National lockdown"	0	0	3	-.0475641	-.0984384	.0033101
"National lockdown"	1	1	2.86	-.0782614	-.1680645	.0115417
"National lockdown"	1	0	2.9	-.0322296	-.0972608	.0328015
"National lockdown"	2	1	2.76	-.0832147	-.1669921	.0005628
"National lockdown"	2	0	2.8	-.0162302	-.0754008	.0429404
"National lockdown"	3	1	2.66	-.0857482	-.1650391	-.0064574
"National lockdown"	3	0	2.7	-.0172269	-.0670792	.0326253
"National lockdown"	4	1	2.56	-.0950314	-.1557254	-.0343373
"National lockdown"	4	0	2.6	-.0029986	-.0517751	.0457778
"National lockdown"	5	1	2.46	-.0915618	-.1456099	-.0375137
"National lockdown"	5	0	2.5	.0335756	-.0172181	.0843693
"School closure"	0	1	1.96	.0147261	-.0561753	.0856274
"School closure"	0	0	2	-.0047021	-.0856313	.0762271
"School closure"	1	1	1.86	-.0650647	-.2107459	.0806165
"School closure"	1	0	1.9	-.0199672	-.0860463	.046112
"School closure"	2	1	1.76	-.0560183	-.1958908	.0838541
"School closure"	2	0	1.8	-.034488	-.1030741	.0340982
"School closure"	3	1	1.66	-.0804517	-.2172521	.0563488
"School closure"	3	0	1.7	-.0542135	-.1181338	.0097068
"School closure"	4	1	1.56	-.0800353	-.1961106	.03604
"School closure"	4	0	1.6	-.0495461	-.099307	.0002147
"School closure"	5	1	1.46	-.0655822	-.1693217	.0381573
"School closure"	5	0	1.5	-.0084429	-.0444726	.0275867
"Social distance"	0	1	.96	-.3042395	-.5949689	-.01351
"Social distance"	0	0	1	-.2270177	-.3713015	-.0827339
"Social distance"	1	1	.86	-.2166809	-.4378864	.0045245
"Social distance"	1	0	.9	-.2243576	-.3508597	-.0978556
"Social distance"	2	1	.76	-.1806508	-.3676365	.0063348
"Social distance"	2	0	.8	-.2209912	-.345958	-.0960244
"Social distance"	3	1	.66	-.1414841	-.2915506	.0085824
"Social distance"	3	0	.7	-.1698431	-.2709019	-.0687844
"Social distance"	4	1	.56	-.1034025	-.2227528	.0159477
"Social distance"	4	0	.6	-.1705635	-.2602887	-.0808383
"Social distance"	5	1	.46	-.118787	-.2378639	.0002899
"Social distance"	5	0	.5	-.2431372	-.3392996	-.1469748
