policy	lag	position	beta	lower_CI	upper_CI
"Social distance"	5	.5	.1236922	.0164695	.2309149
"Social distance"	4	.6	.1075465	.008431	.2066619
"Social distance"	3	.7	.1265115	.0291567	.2238663
"Social distance"	2	.8	.1121544	-.0185327	.2428415
"Social distance"	1	.9	.1099094	-.026918	.2467368
"Social distance"	0	1	.1381553	-.0103834	.286694
"School closure"	5	1.5	-.1021581	-.1726918	-.0316244
"School closure"	4	1.6	-.0801315	-.1513823	-.0088808
"School closure"	3	1.7	-.1001031	-.1867618	-.0134444
"School closure"	2	1.8	-.0996663	-.2094951	.0101624
"School closure"	1	1.9	-.0833109	-.2096545	.0430326
"School closure"	0	2	-.1059604	-.2635855	.0516647
"Travel ban"	5	2.5	-.0732039	-.2440569	.0976491
"Travel ban"	4	2.6	-.0701784	-.2522909	.111934
"Travel ban"	3	2.7	-.1038222	-.2626505	.0550062
"Travel ban"	2	2.8	-.1759908	-.3227246	-.0292571
"Travel ban"	1	2.9	-.0490956	-.2612311	.1630398
"Travel ban"	0	3	-.2949401	-.6275098	.0376295
"Quarantine positive cases"	5	3.5	-.0522429	-.1156679	.0111821
"Quarantine positive cases"	4	3.6	-.0664457	-.1328203	-.0000711
"Quarantine positive cases"	3	3.7	-.0785312	-.1470386	-.0100239
"Quarantine positive cases"	2	3.8	-.0874243	-.1673963	-.0074523
"Quarantine positive cases"	1	3.9	-.1018168	-.1968134	-.0068201
"Quarantine positive cases"	0	4	-.0724445	-.1888868	.0439978
"Business closure"	5	4.5	-.2211537	-.3541838	-.0881236
"Business closure"	4	4.6	-.2372519	-.3777715	-.0967323
"Business closure"	3	4.7	-.2295608	-.3308441	-.1282775
"Business closure"	2	4.8	-.1872813	-.2966602	-.0779025
"Business closure"	1	4.9	-.2946775	-.4418919	-.147463
"Business closure"	0	5	-.1376751	-.3712025	.0958523
"Home isolation"	5	5.5	.0284226	-.0734148	.1302601
"Home isolation"	4	5.6	.0634163	-.0507921	.1776247
"Home isolation"	3	5.7	.0810217	-.0255338	.1875771
"Home isolation"	2	5.8	.0896853	-.0305597	.2099304
"Home isolation"	1	5.9	.1188185	-.0066731	.2443101
"Home isolation"	0	6	.0595767	-.0783036	.197457
