policy	lag	position	beta	lower_CI	upper_CI	L10_at	L10_b	L10_ll1	L10_ul1	L15_at	L15_b	L15_ll1	L15_ul1
"No gathering, event cancel"	5	.5	-.0563403	-.1075681	-.0051126	0	-.0613929	-.1181096	-.0046763	-.5	-.1145082	-.1556883	-.0733282
"No gathering, event cancel"	4	.6	-.0304783	-.116752	.0557954	0	-.0613929	-.1181096	-.0046763	-.5	-.1145082	-.1556883	-.0733282
"No gathering, event cancel"	3	.7	-.0414595	-.1008947	.0179756	0	-.0613929	-.1181096	-.0046763	-.5	-.1145082	-.1556883	-.0733282
"No gathering, event cancel"	2	.8	-.0332005	-.1165222	.0501212	0	-.0613929	-.1181096	-.0046763	-.5	-.1145082	-.1556883	-.0733282
"No gathering, event cancel"	1	.9	.0175986	-.0744747	.1096719	0	-.0613929	-.1181096	-.0046763	-.5	-.1145082	-.1556883	-.0733282
"No gathering, event cancel"	0	1	-.1051531	-.2383741	.028068	0	-.0613929	-.1181096	-.0046763	-.5	-.1145082	-.1556883	-.0733282
"Social distance"	5	1.5	-.0437659	-.112974	.0254421	1	-.0052353	-.08564	.0751693	.5	-.0310372	-.1295755	.0675011
"Social distance"	4	1.6	-.0801212	-.1629881	.0027457	1	-.0052353	-.08564	.0751693	.5	-.0310372	-.1295755	.0675011
"Social distance"	3	1.7	-.1059736	-.1859666	-.0259806	1	-.0052353	-.08564	.0751693	.5	-.0310372	-.1295755	.0675011
"Social distance"	2	1.8	-.0461706	-.1312518	.0389106	1	-.0052353	-.08564	.0751693	.5	-.0310372	-.1295755	.0675011
"Social distance"	1	1.9	-.1091339	-.1819138	-.036354	1	-.0052353	-.08564	.0751693	.5	-.0310372	-.1295755	.0675011
"Social distance"	0	2	-.1165039	-.1973697	-.0356381	1	-.0052353	-.08564	.0751693	.5	-.0310372	-.1295755	.0675011
"Quarantine positive cases"	5	2.5	-.0576726	-.1212776	.0059324	2	-.063818	-.1163104	-.0113257	1.5	-.0387737	-.0912621	.0137147
"Quarantine positive cases"	4	2.6	-.0868228	-.1518162	-.0218295	2	-.063818	-.1163104	-.0113257	1.5	-.0387737	-.0912621	.0137147
"Quarantine positive cases"	3	2.7	-.1122363	-.1611382	-.0633345	2	-.063818	-.1163104	-.0113257	1.5	-.0387737	-.0912621	.0137147
"Quarantine positive cases"	2	2.8	-.1324918	-.1896185	-.0753652	2	-.063818	-.1163104	-.0113257	1.5	-.0387737	-.0912621	.0137147
"Quarantine positive cases"	1	2.9	-.1288463	-.1901994	-.0674932	2	-.063818	-.1163104	-.0113257	1.5	-.0387737	-.0912621	.0137147
"Quarantine positive cases"	0	3	-.1097683	-.1690392	-.0504974	2	-.063818	-.1163104	-.0113257	1.5	-.0387737	-.0912621	.0137147
"Paid sick leave"	5	3.5	.0694319	.0197988	.119065	3	-.0123755	-.053219	.0284681	2.5	-.0044607	-.0394939	.0305725
"Paid sick leave"	4	3.6	.0432511	-.0140969	.100599	3	-.0123755	-.053219	.0284681	2.5	-.0044607	-.0394939	.0305725
"Paid sick leave"	3	3.7	.0440975	-.006152	.094347	3	-.0123755	-.053219	.0284681	2.5	-.0044607	-.0394939	.0305725
"Paid sick leave"	2	3.8	.044806	-.0353555	.1249675	3	-.0123755	-.053219	.0284681	2.5	-.0044607	-.0394939	.0305725
"Paid sick leave"	1	3.9	.0026103	-.0869319	.0921526	3	-.0123755	-.053219	.0284681	2.5	-.0044607	-.0394939	.0305725
"Paid sick leave"	0	4	.0746301	-.0032536	.1525138	3	-.0123755	-.053219	.0284681	2.5	-.0044607	-.0394939	.0305725
"Work from home"	5	4.5	-.0107423	-.0475337	.026049	4	-.0063804	-.03513	.0223693	3.5	-.0047468	-.0407454	.0312518
"Work from home"	4	4.6	.0021856	-.0364087	.0407798	4	-.0063804	-.03513	.0223693	3.5	-.0047468	-.0407454	.0312518
"Work from home"	3	4.7	.0084307	-.0279339	.0447954	4	-.0063804	-.03513	.0223693	3.5	-.0047468	-.0407454	.0312518
"Work from home"	2	4.8	.0119405	-.027037	.0509179	4	-.0063804	-.03513	.0223693	3.5	-.0047468	-.0407454	.0312518
"Work from home"	1	4.9	.0149087	-.0236162	.0534335	4	-.0063804	-.03513	.0223693	3.5	-.0047468	-.0407454	.0312518
"Work from home"	0	5	.0149429	-.0200803	.0499661	4	-.0063804	-.03513	.0223693	3.5	-.0047468	-.0407454	.0312518
"School closure"	5	5.5	-.0475482	-.0880111	-.0070853	5	-.0307226	-.0648999	.0034546	4.5	-.0167322	-.0400419	.0065775
"School closure"	4	5.6	-.0313645	-.0863979	.0236688	5	-.0307226	-.0648999	.0034546	4.5	-.0167322	-.0400419	.0065775
"School closure"	3	5.7	-.0036595	-.046877	.0395581	5	-.0307226	-.0648999	.0034546	4.5	-.0167322	-.0400419	.0065775
"School closure"	2	5.8	-.0138342	-.0656881	.0380196	5	-.0307226	-.0648999	.0034546	4.5	-.0167322	-.0400419	.0065775
"School closure"	1	5.9	.0142957	-.0353136	.063905	5	-.0307226	-.0648999	.0034546	4.5	-.0167322	-.0400419	.0065775
"School closure"	0	6	.0375713	-.0049601	.0801027	5	-.0307226	-.0648999	.0034546	4.5	-.0167322	-.0400419	.0065775
"Travel ban"	5	6.5	-.0092236	-.050886	.0324389	6	-.0118491	-.0557862	.032088	5.5	-.0436672	-.0941785	.0068441
"Travel ban"	4	6.6	-.0067491	-.0505236	.0370254	6	-.0118491	-.0557862	.032088	5.5	-.0436672	-.0941785	.0068441
"Travel ban"	3	6.7	-.0079073	-.0630404	.0472258	6	-.0118491	-.0557862	.032088	5.5	-.0436672	-.0941785	.0068441
"Travel ban"	2	6.8	-.0241311	-.0777293	.0294672	6	-.0118491	-.0557862	.032088	5.5	-.0436672	-.0941785	.0068441
"Travel ban"	1	6.9	-.0246321	-.0769737	.0277095	6	-.0118491	-.0557862	.032088	5.5	-.0436672	-.0941785	.0068441
"Travel ban"	0	7	-.01627	-.0648727	.0323326	6	-.0118491	-.0557862	.032088	5.5	-.0436672	-.0941785	.0068441
"Business closure"	5	7.5	-.0844879	-.1139465	-.0550293	7	-.0526205	-.0773908	-.0278502	6.5	-.017753	-.0519358	.0164298
"Business closure"	4	7.6	-.0767803	-.1143571	-.0392034	7	-.0526205	-.0773908	-.0278502	6.5	-.017753	-.0519358	.0164298
"Business closure"	3	7.7	-.0735367	-.1056357	-.0414377	7	-.0526205	-.0773908	-.0278502	6.5	-.017753	-.0519358	.0164298
"Business closure"	2	7.8	-.0760229	-.1069158	-.04513	7	-.0526205	-.0773908	-.0278502	6.5	-.017753	-.0519358	.0164298
"Business closure"	1	7.9	-.0731724	-.1173833	-.0289615	7	-.0526205	-.0773908	-.0278502	6.5	-.017753	-.0519358	.0164298
"Business closure"	0	8	-.0565223	-.108979	-.0040656	7	-.0526205	-.0773908	-.0278502	6.5	-.017753	-.0519358	.0164298
"Home isolation"	5	8.5	-.0293892	-.0549823	-.0037961	8	-.0125571	-.0388661	.0137518	7.5	-.0044228	-.0376215	.028776
"Home isolation"	4	8.6	-.0469645	-.0727395	-.0211895	8	-.0125571	-.0388661	.0137518	7.5	-.0044228	-.0376215	.028776
"Home isolation"	3	8.7	-.0542943	-.0754358	-.0331527	8	-.0125571	-.0388661	.0137518	7.5	-.0044228	-.0376215	.028776
"Home isolation"	2	8.8	-.0628225	-.0846249	-.0410201	8	-.0125571	-.0388661	.0137518	7.5	-.0044228	-.0376215	.028776
"Home isolation"	1	8.9	-.0674708	-.0910134	-.0439282	8	-.0125571	-.0388661	.0137518	7.5	-.0044228	-.0376215	.028776
"Home isolation"	0	9	-.0695604	-.0974598	-.0416611	8	-.0125571	-.0388661	.0137518	7.5	-.0044228	-.0376215	.028776
