"","date","cases","deaths","country"
"1",2020-03-03,72,7,"USA"
"2",2020-03-04,103,11,"USA"
"3",2020-03-05,171,12,"USA"
"4",2020-03-06,211,16,"USA"
"5",2020-03-07,339,19,"USA"
"6",2020-03-08,456,22,"USA"
"7",2020-03-09,706,28,"USA"
"8",2020-03-10,976,31,"USA"
"9",2020-03-11,1298,37,"USA"
"10",2020-03-12,1692,41,"USA"
"11",2020-03-13,2201,48,"USA"
"12",2020-03-14,2820,57,"USA"
"13",2020-03-15,3592,68,"USA"
"14",2020-03-16,4558,96,"USA"
"15",2020-03-17,6092,112,"USA"
"16",2020-03-18,8976,147,"USA"
"17",2020-03-19,13955,206,"USA"
"18",2020-03-20,18813,248,"USA"
"19",2020-03-21,26163,326,"USA"
"20",2020-03-22,33448,416,"USA"
"21",2020-03-23,43522,547,"USA"
"22",2020-03-24,53530,737,"USA"
"23",2020-03-25,68166,1001,"USA"
"24",2020-03-26,84567,1261,"USA"
"25",2020-03-27,102235,1612,"USA"
"26",2020-03-28,122583,2109,"USA"
"27",2020-03-29,141383,2458,"USA"
"28",2020-03-30,163459,3003,"USA"
"29",2020-03-31,186488,3847,"USA"
"30",2020-04-01,212886,4786,"USA"
"31",2020-04-02,241612,5875,"USA"
"32",2020-04-03,276852,7052,"USA"
"33",2020-04-04,310556,8232,"USA"
"34",2020-04-05,335289,9537,"USA"
"35",2020-04-06,365116,10837,"USA"
"36",2020-02-27,235,NA,"IRN"
"37",2020-02-28,378,NA,"IRN"
"38",2020-02-29,583,NA,"IRN"
"39",2020-03-01,969,NA,"IRN"
"40",2020-03-02,1494,NA,"IRN"
"41",2020-03-03,2326,NA,"IRN"
"42",2020-03-04,2912,NA,"IRN"
"43",2020-03-05,3561,NA,"IRN"
"44",2020-03-06,4792,NA,"IRN"
"45",2020-03-07,5856,NA,"IRN"
"46",2020-03-08,6584,NA,"IRN"
"47",2020-03-09,7206,NA,"IRN"
"48",2020-03-10,8087,NA,"IRN"
"49",2020-03-11,9045,NA,"IRN"
"50",2020-03-12,10120,NA,"IRN"
"51",2020-03-13,11409,NA,"IRN"
"52",2020-03-14,12774,NA,"IRN"
"53",2020-03-15,13983,NA,"IRN"
"54",2020-03-16,15036,NA,"IRN"
"55",2020-03-17,16214,NA,"IRN"
"56",2020-03-18,17406,NA,"IRN"
"57",2020-03-19,18452,NA,"IRN"
"58",2020-03-20,19689,NA,"IRN"
"59",2020-03-21,20655,NA,"IRN"
"60",2020-03-22,21683,NA,"IRN"
"61",2020-02-27,38,2,"FRA"
"62",2020-02-28,46,2,"FRA"
"63",2020-02-29,67,2,"FRA"
"64",2020-03-01,94,2,"FRA"
"65",2020-03-02,175,3,"FRA"
"66",2020-03-03,209,4,"FRA"
"67",2020-03-04,282,4,"FRA"
"68",2020-03-05,415,6,"FRA"
"69",2020-03-06,603,9,"FRA"
"70",2020-03-07,939,11,"FRA"
"71",2020-03-08,1168,19,"FRA"
"72",2020-03-09,1430,19,"FRA"
"73",2020-03-10,1773,33,"FRA"
"74",2020-03-11,2269,48,"FRA"
"75",2020-03-12,2860,48,"FRA"
"76",2020-03-13,3662,79,"FRA"
"77",2020-03-14,4469,91,"FRA"
"78",2020-03-15,5380,91,"FRA"
"79",2020-03-16,6573,148,"FRA"
"80",2020-03-17,7652,148,"FRA"
"81",2020-03-18,9043,148,"FRA"
"82",2020-03-19,10871,243,"FRA"
"83",2020-03-20,12459,450,"FRA"
"84",2020-03-21,14282,562,"FRA"
"85",2020-03-22,16481,674,"FRA"
"86",2020-03-23,19615,860,"FRA"
"87",2020-03-24,22025,1100,"FRA"
"88",2020-03-25,24920,1331,"FRA"
"89",2020-02-17,29,0,"KOR"
"90",2020-02-18,33,0,"KOR"
"91",2020-02-19,51,1,"KOR"
"92",2020-02-20,99,1,"KOR"
"93",2020-02-21,277,3,"KOR"
"94",2020-02-22,419,3,"KOR"
"95",2020-02-23,644,8,"KOR"
"96",2020-02-24,844,9,"KOR"
"97",2020-02-25,991,11,"KOR"
"98",2020-02-26,1292,12,"KOR"
"99",2020-02-27,1728,14,"KOR"
"100",2020-02-28,2160,16,"KOR"
"101",2020-02-29,3002,17,"KOR"
"102",2020-03-01,3649,24,"KOR"
"103",2020-03-02,4226,28,"KOR"
"104",2020-03-03,4858,32,"KOR"
"105",2020-03-04,5376,39,"KOR"
"106",2020-03-05,5835,43,"KOR"
"107",2020-03-06,6289,44,"KOR"
"108",2020-03-07,6734,50,"KOR"
"109",2020-03-08,7073,51,"KOR"
"110",2020-03-09,7308,57,"KOR"
"111",2020-03-10,7465,61,"KOR"
"112",2020-03-11,7673,67,"KOR"
"113",2020-03-12,7787,67,"KOR"
"114",2020-03-13,7889,73,"KOR"
"115",2020-03-14,7979,75,"KOR"
"116",2020-03-15,8090,75,"KOR"
"117",2020-03-16,8159,76,"KOR"
"118",2020-03-17,8272,82,"KOR"
"119",2020-03-18,8344,86,"KOR"
"120",2020-03-19,8502,93,"KOR"
"121",2020-03-20,8581,94,"KOR"
"122",2020-03-21,8719,103,"KOR"
"123",2020-03-22,8805,105,"KOR"
"124",2020-03-23,8858,113,"KOR"
"125",2020-03-24,8913,119,"KOR"
"126",2020-03-25,8976,128,"KOR"
"127",2020-03-26,9055,131,"KOR"
"128",2020-03-27,9135,140,"KOR"
"129",2020-03-28,9267,146,"KOR"
"130",2020-03-29,9352,154,"KOR"
"131",2020-03-30,9408,158,"KOR"
"132",2020-03-31,9536,163,"KOR"
"133",2020-04-01,9625,165,"KOR"
"134",2020-04-02,9695,170,"KOR"
"135",2020-04-03,9762,174,"KOR"
"136",2020-04-04,9837,179,"KOR"
"137",2020-04-05,9894,184,"KOR"
"138",2020-04-06,9924,190,"KOR"
"139",2020-02-25,321,10,"ITA"
"140",2020-02-26,399,12,"ITA"
"141",2020-02-27,650,17,"ITA"
"142",2020-02-28,888,21,"ITA"
"143",2020-02-29,1106,29,"ITA"
"144",2020-03-01,1686,34,"ITA"
"145",2020-03-02,2036,52,"ITA"
"146",2020-03-03,2502,79,"ITA"
"147",2020-03-04,3089,107,"ITA"
"148",2020-03-05,3858,148,"ITA"
"149",2020-03-06,4636,197,"ITA"
"150",2020-03-07,5883,233,"ITA"
"151",2020-03-08,7284,366,"ITA"
"152",2020-03-09,9172,463,"ITA"
"153",2020-03-10,10668,616,"ITA"
"154",2020-03-11,12481,828,"ITA"
"155",2020-03-12,15113,1016,"ITA"
"156",2020-03-13,17660,1266,"ITA"
"157",2020-03-14,21157,1441,"ITA"
"158",2020-03-15,24747,1809,"ITA"
"159",2020-03-16,28034,2160,"ITA"
"160",2020-03-17,31506,2503,"ITA"
"161",2020-03-18,35801,2981,"ITA"
"162",2020-03-19,41035,3405,"ITA"
"163",2020-03-20,47021,4032,"ITA"
"164",2020-03-21,53578,4825,"ITA"
"165",2020-03-22,59138,5474,"ITA"
"166",2020-03-23,63927,6077,"ITA"
"167",2020-03-24,69176,6820,"ITA"
"168",2020-03-25,74386,7503,"ITA"
"169",2020-03-26,80539,8165,"ITA"
"170",2020-03-27,86498,9134,"ITA"
"171",2020-03-28,92472,10023,"ITA"
"172",2020-03-29,97689,10779,"ITA"
"173",2020-03-30,101739,11591,"ITA"
"174",2020-03-31,105792,12428,"ITA"
"175",2020-04-01,110574,13155,"ITA"
"176",2020-04-02,115242,13915,"ITA"
"177",2020-04-03,119827,14681,"ITA"
"178",2020-04-04,124632,15362,"ITA"
"179",2020-04-05,128948,15887,"ITA"
"180",2020-04-06,132547,16523,"ITA"
"181",2020-01-16,45,2,"CHN"
"182",2020-01-17,62,2,"CHN"
"183",2020-01-18,121,3,"CHN"
"184",2020-01-19,198,3,"CHN"
"185",2020-01-20,290,5,"CHN"
"186",2020-01-21,424,8,"CHN"
"187",2020-01-22,510,16,"CHN"
"188",2020-01-23,682,23,"CHN"
"189",2020-01-24,871,26,"CHN"
"190",2020-01-25,1354,42,"CHN"
"191",2020-01-26,1986,55,"CHN"
"192",2020-01-27,2774,79,"CHN"
"193",2020-01-28,4534,103,"CHN"
"194",2020-01-29,5966,130,"CHN"
"195",2020-01-30,7692,169,"CHN"
"196",2020-01-31,9787,212,"CHN"
"197",2020-02-01,11836,258,"CHN"
"198",2020-02-02,14427,304,"CHN"
"199",2020-02-03,17302,361,"CHN"
"200",2020-02-04,20487,425,"CHN"
"201",2020-02-05,24386,492,"CHN"
"202",2020-02-06,28076,563,"CHN"
"203",2020-02-07,31193,634,"CHN"
"204",2020-02-08,34601,722,"CHN"
"205",2020-02-09,37171,809,"CHN"
"206",2020-02-10,40194,907,"CHN"
"207",2020-02-11,42685,1014,"CHN"
"208",2020-02-12,44701,1112,"CHN"
"209",2020-02-13,59623,1240,"CHN"
"210",2020-02-14,63700,1378,"CHN"
"211",2020-02-15,66172,1519,"CHN"
"212",2020-02-16,68180,1659,"CHN"
"213",2020-02-17,70204,1762,"CHN"
"214",2020-02-18,72028,1860,"CHN"
"215",2020-02-19,73842,1998,"CHN"
"216",2020-02-20,74579,2110,"CHN"
"217",2020-02-21,75221,2229,"CHN"
"218",2020-02-22,76041,2338,"CHN"
"219",2020-02-23,76654,2436,"CHN"
"220",2020-02-24,77121,2589,"CHN"
"221",2020-02-25,77630,2659,"CHN"
"222",2020-02-26,78034,2711,"CHN"
"223",2020-02-27,78466,2740,"CHN"
"224",2020-02-28,78793,2784,"CHN"
"225",2020-02-29,79221,2830,"CHN"
"226",2020-03-01,79796,2864,"CHN"
"227",2020-03-02,79995,2912,"CHN"
"228",2020-03-03,80112,2945,"CHN"
"229",2020-03-04,80228,2981,"CHN"
"230",2020-03-05,80365,3013,"CHN"
"231",2020-03-06,80492,3042,"CHN"
"232",2020-03-07,80566,3070,"CHN"
"233",2020-03-08,80608,3097,"CHN"
"234",2020-03-09,80644,3120,"CHN"
"235",2020-03-10,80663,3136,"CHN"
"236",2020-03-11,80681,3158,"CHN"
"237",2020-03-12,80689,3169,"CHN"
"238",2020-03-13,80694,3176,"CHN"
"239",2020-03-14,80710,3189,"CHN"
"240",2020-03-15,80718,3199,"CHN"
"241",2020-03-16,80723,3213,"CHN"
"242",2020-03-17,80727,3226,"CHN"
"243",2020-03-18,80735,3237,"CHN"
"244",2020-03-19,80743,3245,"CHN"
"245",2020-03-20,80764,3249,"CHN"
"246",2020-03-21,80770,3255,"CHN"
"247",2020-03-22,80779,3261,"CHN"
"248",2020-03-23,80791,3270,"CHN"
"249",2020-03-24,80812,3277,"CHN"
"250",2020-03-25,80820,3281,"CHN"
"251",2020-03-26,80850,3287,"CHN"
"252",2020-03-27,80876,3292,"CHN"
"253",2020-03-28,80893,3295,"CHN"
"254",2020-03-29,80917,3300,"CHN"
"255",2020-03-30,80936,3304,"CHN"
"256",2020-03-31,80949,3305,"CHN"
"257",2020-04-01,80961,3312,"CHN"
"258",2020-04-02,80973,3318,"CHN"
"259",2020-04-03,80985,3322,"CHN"
"260",2020-04-04,80990,3326,"CHN"
"261",2020-04-05,81145,3329,"CHN"
"262",2020-04-06,81241,3331,"CHN"
