"","date","p1","p2","p3","p4","p5","country"
"42",2020-03-03,NA,NA,NA,NA,NA,"USA"
"43",2020-03-04,NA,NA,NA,NA,NA,"USA"
"44",2020-03-05,NA,1,NA,NA,NA,"USA"
"45",2020-03-06,NA,NA,NA,NA,NA,"USA"
"46",2020-03-07,NA,NA,NA,NA,NA,"USA"
"47",2020-03-08,NA,NA,NA,NA,NA,"USA"
"48",2020-03-09,0.33,1,NA,NA,NA,"USA"
"49",2020-03-10,NA,NA,0.58,NA,NA,"USA"
"50",2020-03-11,2.16,2.83,0.95,NA,NA,"USA"
"51",2020-03-12,4.51,3,0.89,0.5,NA,"USA"
"52",2020-03-13,3.49,1,2.43,0.5,NA,"USA"
"53",2020-03-14,NA,NA,1.55,NA,0.33,"USA"
"54",2020-03-15,3.42,NA,0.54,2,1.19,"USA"
"55",2020-03-16,4.475,1,0.78,20.5,5.22,"USA"
"56",2020-03-17,2.01,0.83,3.46,6,5.057,"USA"
"57",2020-03-18,2.965,0.5,1.72,7.97,3.16,"USA"
"58",2020-03-19,1.5,1,2.73,3.34,3.54,"USA"
"59",2020-03-20,1.5,2,1.04,2,1.45,"USA"
"60",2020-03-21,0.830000000000002,NA,2,NA,1.76,"USA"
"61",2020-03-22,0.829999999999998,NA,1.21,NA,1.87,"USA"
"62",2020-03-23,3.91,2.68,3.98,3,5.673,"USA"
"63",2020-03-24,4.83,2.5,3.7,0.5,5.86,"USA"
"64",2020-03-25,2.45500000000001,3,3.12,0.140000000000001,2.64,"USA"
"65",2020-03-26,0.329999999999998,1.5,1.79,NA,1.33,"USA"
"66",2020-03-27,0.25,2.67,1.6,0.329999999999998,0.510000000000005,"USA"
"67",2020-03-28,1.125,3,0.799999999999997,0.149999999999999,1.57,"USA"
"68",2020-03-29,0.125,1.5,0.240000000000002,0.140000000000001,0.139999999999993,"USA"
"69",2020-03-30,0.875,2.16,2.09,0.140000000000001,1.14,"USA"
"70",2020-03-31,0.125,NA,0.5,0.149999999999999,1.16,"USA"
"71",2020-04-01,0.125,2,0.849999999999994,0.140000000000001,0.969999999999999,"USA"
"72",2020-04-02,NA,NA,0.43,NA,NA,"USA"
"73",2020-04-03,0.5,0.5,2.1,NA,1.36,"USA"
"74",2020-04-04,NA,NA,1.09,NA,NA,"USA"
"75",2020-04-05,NA,NA,1,NA,NA,"USA"
"76",2020-04-06,1.33,NA,1.53,NA,0.990000000000002,"USA"
"9",2020-02-27,NA,NA,NA,NA,NA,"IRN"
"10",2020-02-28,NA,NA,NA,NA,NA,"IRN"
"11",2020-02-29,NA,NA,NA,NA,NA,"IRN"
"12",2020-03-01,NA,30,NA,NA,NA,"IRN"
"13",2020-03-02,NA,NA,NA,NA,NA,"IRN"
"14",2020-03-03,NA,NA,NA,31,NA,"IRN"
"15",2020-03-04,NA,NA,NA,NA,NA,"IRN"
"16",2020-03-05,30,NA,NA,NA,NA,"IRN"
"17",2020-03-06,NA,NA,NA,NA,NA,"IRN"
"18",2020-03-07,NA,NA,NA,NA,NA,"IRN"
"19",2020-03-08,NA,NA,NA,NA,NA,"IRN"
"20",2020-03-09,NA,NA,NA,NA,NA,"IRN"
"21",2020-03-10,NA,NA,NA,NA,NA,"IRN"
"22",2020-03-11,NA,NA,NA,NA,NA,"IRN"
"23",2020-03-12,NA,NA,NA,NA,NA,"IRN"
"24",2020-03-13,NA,NA,31,NA,NA,"IRN"
"25",2020-03-14,NA,NA,NA,NA,NA,"IRN"
"26",2020-03-15,NA,NA,NA,NA,NA,"IRN"
"27",2020-03-16,NA,NA,NA,NA,NA,"IRN"
"28",2020-03-17,NA,NA,NA,NA,1,"IRN"
"29",2020-03-18,NA,NA,NA,NA,NA,"IRN"
"30",2020-03-19,NA,NA,NA,NA,NA,"IRN"
"31",2020-03-20,NA,NA,NA,NA,NA,"IRN"
"32",2020-03-21,NA,NA,NA,NA,NA,"IRN"
"33",2020-03-22,NA,NA,NA,NA,NA,"IRN"
"131",2020-02-27,NA,NA,NA,NA,NA,"FRA"
"141",2020-02-28,NA,NA,NA,NA,NA,"FRA"
"151",2020-02-29,13,NA,NA,1,1,"FRA"
"161",2020-03-01,NA,NA,NA,1,NA,"FRA"
"171",2020-03-02,NA,NA,NA,1,NA,"FRA"
"181",2020-03-03,NA,NA,NA,NA,1,"FRA"
"191",2020-03-04,NA,NA,NA,2,NA,"FRA"
"201",2020-03-05,NA,NA,NA,1,NA,"FRA"
"211",2020-03-06,NA,NA,0.5,1,1,"FRA"
"221",2020-03-07,NA,NA,NA,NA,NA,"FRA"
"231",2020-03-08,NA,NA,NA,1,1,"FRA"
"241",2020-03-09,NA,NA,0.5,1,NA,"FRA"
"251",2020-03-10,NA,NA,NA,NA,NA,"FRA"
"261",2020-03-11,NA,NA,6.5,1,NA,"FRA"
"271",2020-03-12,NA,NA,NA,1,NA,"FRA"
"281",2020-03-13,NA,NA,0.5,NA,NA,"FRA"
"291",2020-03-14,NA,NA,NA,NA,NA,"FRA"
"301",2020-03-15,NA,NA,NA,NA,NA,"FRA"
"311",2020-03-16,NA,NA,NA,2,NA,"FRA"
"321",2020-03-17,NA,10.40000013,NA,NA,NA,"FRA"
"331",2020-03-18,NA,NA,NA,NA,NA,"FRA"
"34",2020-03-19,NA,0.19999999,NA,NA,NA,"FRA"
"35",2020-03-20,NA,NA,NA,NA,NA,"FRA"
"36",2020-03-21,NA,0.199999989999998,NA,NA,NA,"FRA"
"37",2020-03-22,NA,NA,NA,NA,NA,"FRA"
"38",2020-03-23,NA,2.19999989,NA,NA,NA,"FRA"
"39",2020-03-24,NA,NA,NA,NA,NA,"FRA"
"40",2020-03-25,NA,NA,NA,NA,NA,"FRA"
"292",2020-02-17,NA,NA,NA,NA,NA,"KOR"
"302",2020-02-18,NA,NA,NA,1,NA,"KOR"
"312",2020-02-19,NA,NA,NA,1,NA,"KOR"
"322",2020-02-20,NA,NA,NA,NA,NA,"KOR"
"332",2020-02-21,NA,1,NA,1,NA,"KOR"
"341",2020-02-22,NA,NA,1,NA,NA,"KOR"
"351",2020-02-23,NA,NA,NA,1,NA,"KOR"
"361",2020-02-24,NA,1,NA,2,NA,"KOR"
"371",2020-02-25,NA,NA,NA,3,NA,"KOR"
"381",2020-02-26,NA,NA,NA,3,NA,"KOR"
"391",2020-02-27,NA,NA,NA,2,NA,"KOR"
"401",2020-02-28,NA,NA,NA,1,NA,"KOR"
"41",2020-02-29,NA,NA,16,NA,NA,"KOR"
"421",2020-03-01,NA,NA,NA,NA,NA,"KOR"
"431",2020-03-02,NA,NA,NA,NA,NA,"KOR"
"441",2020-03-03,NA,NA,NA,NA,NA,"KOR"
"451",2020-03-04,NA,NA,NA,NA,NA,"KOR"
"461",2020-03-05,NA,NA,NA,NA,NA,"KOR"
"471",2020-03-06,NA,NA,NA,NA,NA,"KOR"
"481",2020-03-07,NA,NA,NA,NA,NA,"KOR"
"491",2020-03-08,NA,NA,NA,NA,NA,"KOR"
"501",2020-03-09,NA,NA,NA,NA,NA,"KOR"
"511",2020-03-10,NA,NA,NA,NA,NA,"KOR"
"521",2020-03-11,NA,NA,NA,NA,1,"KOR"
"531",2020-03-12,NA,NA,NA,NA,NA,"KOR"
"541",2020-03-13,NA,NA,NA,NA,NA,"KOR"
"551",2020-03-14,NA,NA,NA,NA,NA,"KOR"
"561",2020-03-15,2,NA,NA,NA,NA,"KOR"
"571",2020-03-16,NA,NA,NA,NA,NA,"KOR"
"581",2020-03-17,NA,NA,NA,NA,NA,"KOR"
"591",2020-03-18,NA,NA,NA,NA,1,"KOR"
"601",2020-03-19,NA,NA,NA,NA,NA,"KOR"
"611",2020-03-20,NA,NA,NA,NA,NA,"KOR"
"621",2020-03-21,NA,NA,NA,NA,NA,"KOR"
"631",2020-03-22,NA,NA,NA,NA,NA,"KOR"
"641",2020-03-23,NA,NA,NA,NA,NA,"KOR"
"651",2020-03-24,NA,NA,NA,NA,NA,"KOR"
"661",2020-03-25,NA,NA,NA,NA,NA,"KOR"
"671",2020-03-26,NA,NA,NA,NA,NA,"KOR"
"681",2020-03-27,NA,NA,NA,NA,NA,"KOR"
"691",2020-03-28,NA,NA,NA,NA,NA,"KOR"
"701",2020-03-29,NA,NA,NA,NA,NA,"KOR"
"711",2020-03-30,NA,NA,NA,NA,NA,"KOR"
"721",2020-03-31,NA,NA,NA,NA,NA,"KOR"
"731",2020-04-01,NA,NA,NA,NA,NA,"KOR"
"741",2020-04-02,NA,NA,NA,NA,NA,"KOR"
"751",2020-04-03,NA,NA,NA,NA,NA,"KOR"
"761",2020-04-04,NA,NA,NA,NA,NA,"KOR"
"77",2020-04-05,NA,NA,NA,NA,NA,"KOR"
"78",2020-04-06,NA,NA,NA,NA,NA,"KOR"
"2",2020-02-25,4,NA,NA,NA,NA,"ITA"
"3",2020-02-26,17,NA,NA,NA,NA,"ITA"
"4",2020-02-27,1,NA,NA,NA,NA,"ITA"
"5",2020-02-28,NA,NA,NA,NA,NA,"ITA"
"6",2020-02-29,1,NA,NA,NA,NA,"ITA"
"7",2020-03-01,26,NA,NA,NA,NA,"ITA"
"8",2020-03-02,NA,NA,NA,NA,NA,"ITA"
