adm0_name,e
"France",-.2159099
"France",.0579581
"France",-.05454592
"France",-.22395006
"France",-.20784062
"France",.53026345
"France",-.06372549
"France",-.14300309
"France",.12168772
"France",-.14577479
"France",-.02284571
"France",.04738475
"France",.06989959
"France",.21679871
"France",.09475152
"France",.05797107
"France",.03417712
"France",-.0821665
"France",.02219406
"France",-.06679601
"France",.02575276
"France",-.02168405
"France",-.0305967
"France",.03120245
"France",-.29830279
"France",-.19371766
"France",-.17309883
"France",-.1401852
"France",.12043084
"France",-.15292994
"France",.26249438
"France",.09885772
"France",.07467481
"France",.0155749
"France",.05996692
"France",.0073925
"France",.1273937
"France",-.03891186
"France",-.05140105
"France",.0768819
"France",.10578196
"France",.06789525
"France",-.12122665
"France",.52261817
"France",.31618333
"France",.14439724
"France",-.20893274
"France",-.04098887
"France",-.20094252
"France",.04539749
"France",-.04672512
"France",-.02499901
"France",.00496975
"France",.03451973
"France",-.05026979
"France",-.09075145
"France",-.04718071
"France",-.11490457
"France",-.03835507
"France",.06794781
"France",-.01512398
"France",-.01087116
"France",-.12476189
"France",-.41937482
"France",.31896051
"France",-.12958536
"France",.15870815
"France",.12944412
"France",-.05758716
"France",.10388653
"France",.03641786
"France",-.05925711
"France",-.07852001
"France",-.01322169
"France",.01807209
"France",-.05264073
"France",-.0338239
"France",-.00618835
"France",.1015541
"France",-.04094447
"France",.01928569
"France",.00481455
"France",.0300726
"France",-.18194264
"France",-.18860336
"France",-.05624492
"France",.26994839
"France",-.26344432
"France",-.12887513
"France",-.00615784
"France",.06453607
"France",.0781457
"France",.01003613
"France",-.03862084
"France",-.01025091
"France",.06090834
"France",.00603797
"France",.00598209
"France",-.06526765
"France",-.04424878
"France",-.06561636
"France",.06119004
"France",.24595817
"France",.15401863
"France",.06243862
"France",-.33741687
"France",.62188929
"France",.21598307
"France",.18351288
"France",.24172752
"France",-.32189046
"France",-.06281867
"France",.14946723
"France",-.04944401
"France",-.11854513
"France",-.00693572
"France",-.07877746
"France",.04062735
"France",-.07294679
"France",.02217579
"France",-.00826272
"France",-.01999175
"France",-.10032462
"France",-.1835251
"France",-.11652075
"France",.0637651
"France",.00721022
"France",-.06895841
"France",-.18627048
"France",.06963869
"France",-.17568429
"France",-.15307944
"France",.02441526
"France",-.05838538
"France",.08495849
"France",.20884123
"France",.04284757
"France",-.02115171
"France",.07894571
"France",-.09744646
"France",.07046004
"France",.01055726
"France",.06526238
"France",-.00014953
"France",-.01278293
"France",.0871096
"France",-.03808599
"France",.16465744
"France",-.0617671
"France",-.06050946
"France",-.20248021
"France",-.05951874
"France",.15118388
"France",-.00837111
"France",-.0376595
"France",-.03587141
"France",-.00532643
"France",.10666015
"France",-.02139259
"France",.01470257
"France",.01669326
"France",-.00016556
"France",.00357753
"France",-.05173393
"France",.00810281
"France",-.08946238
"France",-.02594706
"France",.13262506
"France",.01713644
"France",.04486634
"France",.06278766
"France",.20674023
"France",.0128842
"France",.06612583
"France",-.07391438
"France",-.03311835
"France",-.00228707
"France",-.12298316
"France",-.09689681
"France",.02517816
"France",-.0271478
"France",-.01192916
"France",-.05443086
"France",.20386646
"France",-.02418713
"France",-.05074491
"France",-.0635495
"France",.0156483
"France",-.03204171
"France",.11149477
"France",.33042356
"France",-.31753548
"France",.23725069
"France",-.23296091
"France",.09495805
"France",.12487599
"France",-.00562534
"France",-.02603113
"France",-.06228313
"France",-.10170241
"France",.03757337
"France",.00454421
"France",-.02697455
"France",-.02503346
"France",-.06784964
"France",-.10349165
"France",-.01948586
"France",.03078985
"France",.01706305
"France",-.14549959
"France",-.05851075
"France",-.03387712
"France",-.15094434
"France",.01619326
"France",.11253078
"France",.01825717
"France",-.03020626
"France",.03074492
"France",-.0127262
"France",.03858714
"France",-.09037063
"France",.01884561
"France",.05665153
"France",.07163208
"France",.08420381
"France",.02243073
"France",-.07091694
"France",.00466888
"France",-.0126788
"France",.10327458
"France",.00845255
"France",.0192576
"France",-.06539061
"France",-.04182081
"France",-.00812809
"France",.02189499
"France",.001251
"France",.05697653
"France",-.03239071
"France",-.03875559
"France",-.01823563
"France",.10380983
"France",.0376825
"France",-.02820397
"France",.02823579
"France",.03227532
"France",.0115805
"France",-.02252601
"France",-.0439714
"France",.03482063
"France",.07935068
"France",-.05693657
"France",-.07392732
"France",.02240896
"France",.23469494
"France",.00809733
"France",.00151028
"France",.09501513
"France",.05029302
"France",-.03385822
"France",-.01161817
"France",.08059475
"France",-.05070055
"France",-.07361998
"France",-.10957791
"France",-.09835939
"France",-.07170834
"France",-.02081368
"France",.05693834
"France",-.05688755
