adm0_name,e
"IRN",.63041014
"IRN",.36515646
"IRN",.32270656
"IRN",-.25308307
"IRN",-.24926422
"IRN",-.26664239
"IRN",-.13409956
"IRN",-.08329601
"IRN",-.09139843
"IRN",-.13861206
"IRN",.16403853
"IRN",.00830624
"IRN",-.03975401
"IRN",.06107485
"IRN",.01705933
"IRN",-.07014274
"IRN",-.12940926
"IRN",-.06130899
"IRN",-.05174138
"IRN",.02067544
"IRN",-.1919276
"IRN",.00174254
"IRN",.16345439
"IRN",.03961643
"IRN",-.16873196
"IRN",-.09714583
"IRN",.0290233
"IRN",.17870453
"IRN",-.0601133
"IRN",.11141807
"IRN",.04691223
"IRN",.01946394
"IRN",-.01910504
"IRN",-.03745511
"IRN",-.04516194
"IRN",.00862993
"IRN",-.13008111
"IRN",.28397589
"IRN",-.18491823
"IRN",-.09397418
"IRN",-.11181917
"IRN",.21490502
"IRN",.12915597
"IRN",.03653982
"IRN",.04228855
"IRN",.05675901
"IRN",.06292332
"IRN",-.16797787
"IRN",-.07277704
"IRN",-.06499996
"IRN",-.05473337
"IRN",.09144617
"IRN",.02340048
"IRN",.17953864
"IRN",-.12303205
"IRN",.04132704
"IRN",-.0766013
"IRN",-.03755917
"IRN",-.02978209
"IRN",.01995553
"IRN",.0151633
"IRN",.07246398
"IRN",-.01177073
"IRN",-.10309977
"IRN",-.00678744
"IRN",.00007078
"IRN",-.43108161
"IRN",.11615565
"IRN",-.08263175
"IRN",-.20103847
"IRN",.28836989
"IRN",.01284186
"IRN",-.06906281
"IRN",.02015903
"IRN",-.22485659
"IRN",.36704273
"IRN",.11780819
"IRN",.02173395
"IRN",-.00188935
"IRN",.10598669
"IRN",.11070917
"IRN",-.02004006
"IRN",-.12309977
"IRN",.00709137
"IRN",-.01419811
"IRN",.02401488
"IRN",-.08557869
"IRN",-.11178254
"IRN",.9921509
"IRN",.26860922
"IRN",-.00278236
"IRN",-.08387008
"IRN",-.19926404
"IRN",-.22350431
"IRN",.04064238
"IRN",-.28934229
"IRN",-.01590153
"IRN",.05219763
"IRN",.00890927
"IRN",-.02029732
"IRN",-.04523044
"IRN",.03633149
"IRN",-.07300775
"IRN",-.14485514
"IRN",-.06239778
"IRN",-.0650415
"IRN",.13499305
"IRN",.20095809
"IRN",-.11954176
"IRN",-.03407532
"IRN",-.11346932
"IRN",.05379293
"IRN",-.07105284
"IRN",-.05889361
"IRN",-.0812444
"IRN",.04832029
"IRN",-.02875839
"IRN",-.03177118
"IRN",.08704107
"IRN",.04191246
"IRN",.1370652
"IRN",-.04786798
"IRN",-.07164255
"IRN",-.02974783
"IRN",-.01601791
"IRN",.00483994
"IRN",-.1979114
"IRN",-.03514468
"IRN",.26163649
"IRN",.06301527
"IRN",.03115711
"IRN",-.16058306
"IRN",-.1044501
"IRN",-.1586553
"IRN",-.12289263
"IRN",-.01313711
"IRN",.07155767
"IRN",.15850907
"IRN",.04607407
"IRN",-.00028244
"IRN",.05092913
"IRN",.04196638
"IRN",.03892178
"IRN",-.02998686
"IRN",.03360253
"IRN",.02083413
"IRN",-.3710138
"IRN",-.09883099
"IRN",.73132444
"IRN",.25460654
"IRN",-.10363229
"IRN",-.19050757
"IRN",-.15101665
"IRN",-.10097843
"IRN",-.08839088
"IRN",.01709353
"IRN",-.03789328
"IRN",.07139051
"IRN",.11048035
"IRN",.07209661
"IRN",.05933919
"IRN",-.03721795
"IRN",-.11062126
"IRN",-.02201985
"IRN",-.00420821
"IRN",.14033011
"IRN",.23832759
"IRN",.40921826
"IRN",-.2405051
"IRN",.04571853
"IRN",-.10725047
"IRN",-.12182691
"IRN",-.02267204
"IRN",-.02087994
"IRN",.01687827
"IRN",.00627453
"IRN",-.02812524
"IRN",.04132789
"IRN",-.09273059
"IRN",-.16928388
"IRN",-.05673571
"IRN",-.03806529
"IRN",.40711017
"IRN",-.03898996
"IRN",.22907184
"IRN",.09197637
"IRN",-.05538121
"IRN",-.26811973
"IRN",-.07774686
"IRN",-.09277186
"IRN",.00311233
"IRN",.08159894
"IRN",-.01894959
"IRN",.05400638
"IRN",-.07556744
"IRN",-.07586875
"IRN",-.09277186
"IRN",-.07070874
"IRN",-.09747021
"IRN",-.25674707
"IRN",.53591357
"IRN",.37214621
"IRN",-.12059931
"IRN",-.17881826
"IRN",-.0400654
"IRN",-.03685758
"IRN",.09462918
"IRN",-.09572691
"IRN",-.03182574
"IRN",.01329915
"IRN",-.0728639
"IRN",-.08004358
"IRN",.00244096
"IRN",-.00741111
"IRN",-.24079321
"IRN",.03320463
"IRN",-.08994327
"IRN",.21017887
"IRN",-.12301014
"IRN",.06986613
"IRN",-.06544534
"IRN",.03156275
"IRN",.07980358
"IRN",.1318582
"IRN",.0652344
"IRN",.01607249
"IRN",-.09618971
"IRN",-.01382056
"IRN",-.00857883
"IRN",-.23478996
"IRN",-.10055405
"IRN",-.06172777
"IRN",-.13567915
"IRN",.09162619
"IRN",-.04101514
"IRN",-.02035224
"IRN",.06596411
"IRN",.07949905
"IRN",.02393956
"IRN",.07055264
"IRN",.07107351
"IRN",.05857249
"IRN",.02691277
"IRN",.0585719
"IRN",-.05328403
"IRN",.07023568
"IRN",.03045445
"IRN",.24978025
"IRN",-.21279485
"IRN",-.32320858
"IRN",-.18860503
"IRN",-.10279069
"IRN",-.13880794
"IRN",.30556708
"IRN",-.0048588
"IRN",.01199597
"IRN",.00242338
"IRN",.20781111
"IRN",.09387408
"IRN",.14095905
"IRN",.03872062
"IRN",.06476916
"IRN",-.02142822
"IRN",-.14547449
"IRN",.02047419
"IRN",.00159369
"IRN",-.23672724
"IRN",.56026721
"IRN",-.16362818
"IRN",-.12458604
"IRN",-.07906849
"IRN",.0434042
"IRN",-.10960405
"IRN",.25490494
"IRN",.13845368
"IRN",-.22160696
"IRN",.05499989
"IRN",-.11680896
"IRN",.14299188
"IRN",.49591699
"IRN",-.19131092
"IRN",.12889106
"IRN",-.19321943
"IRN",-.05579474
"IRN",-.12515893
"IRN",-.16069045
"IRN",-.03379414
"IRN",-.03926952
"IRN",.14566305
"IRN",.11907144
"IRN",-.06009514
"IRN",.07519203
"IRN",-.05519719
"IRN",-.12835492
"IRN",-.05508574
"IRN",-.00975535
"IRN",.21759411
"IRN",.65419962
"IRN",.04049642
"IRN",.05288929
"IRN",-.21054448
"IRN",-.08666388
"IRN",-.16775969
"IRN",-.1533449
"IRN",-.03159129
"IRN",-.09750196
"IRN",.10162414
"IRN",-.10795802
"IRN",.02400211
"IRN",.04684154
"IRN",-.03311737
"IRN",-.19723799
"IRN",-.0258176
"IRN",-.02611004
"IRN",.64691784
"IRN",.08144296
"IRN",.02009743
"IRN",-.02454472
"IRN",.08015809
"IRN",-.05372236
"IRN",-.1426456
"IRN",-.11453378
"IRN",-.05268848
"IRN",-.02915235
"IRN",.11454219
"IRN",-.08138318
"IRN",-.0688813
"IRN",-.00309758
"IRN",-.01757065
"IRN",-.04952924
"IRN",-.18044339
"IRN",-.08916026
"IRN",-.03580565
"IRN",-.05177525
"IRN",-.06605862
"IRN",-.13772483
"IRN",.39831272
"IRN",.65261027
"IRN",.48234345
"IRN",-.21942699
"IRN",-.2312829
"IRN",.109252
"IRN",-.17596588
"IRN",-.19118986
"IRN",.04013903
