adm0_name,e
"ITA",.22268505
"ITA",-.10697044
"ITA",-.16142335
"ITA",-.1484733
"ITA",-.02088401
"ITA",-.04644327
"ITA",-.14517229
"ITA",-.064997
"ITA",-.04981197
"ITA",-.02327314
"ITA",.00105855
"ITA",.06919319
"ITA",.07388019
"ITA",.02085577
"ITA",.03241037
"ITA",.05025831
"ITA",.01422942
"ITA",-.02593016
"ITA",.23540622
"ITA",.11271714
"ITA",.03202925
"ITA",-.0084119
"ITA",-.02443251
"ITA",-.01867759
"ITA",-.00612759
"ITA",-.013004
"ITA",-.00069095
"ITA",.03677264
"ITA",.09918392
"ITA",-.03941584
"ITA",.16000628
"ITA",-.15501936
"ITA",-.17597529
"ITA",.29017835
"ITA",.02386066
"ITA",-.16895657
"ITA",.10549242
"ITA",-.09207689
"ITA",.09761339
"ITA",-.01437791
"ITA",-.04279084
"ITA",-.20498112
"ITA",.26549597
"ITA",-.09131306
"ITA",.05196492
"ITA",.01572403
"ITA",.08658834
"ITA",-.06685129
"ITA",-.04712772
"ITA",.0446863
"ITA",.01575194
"ITA",-.05092843
"ITA",-.03687206
"ITA",-.03151898
"ITA",-.02157465
"ITA",-.04679632
"ITA",-.03309394
"ITA",.00159941
"ITA",.00440804
"ITA",.02034363
"ITA",-.07499814
"ITA",.2489885
"ITA",.06256835
"ITA",-.09302965
"ITA",.05354252
"ITA",.12609284
"ITA",.05982169
"ITA",-.08258575
"ITA",.13163966
"ITA",.00527787
"ITA",.02071993
"ITA",-.07582375
"ITA",-.0559326
"ITA",-.09190312
"ITA",-.05163616
"ITA",-.08162481
"ITA",.09234861
"ITA",-.00939969
"ITA",.01691277
"ITA",.03050347
"ITA",-.01494324
"ITA",-.02621855
"ITA",-.01166871
"ITA",-.01233908
"ITA",-.00769309
"ITA",.00092251
"ITA",-.0067294
"ITA",-.04195225
"ITA",-.02476706
"ITA",-.03270772
"ITA",-.03889271
"ITA",-.01449326
"ITA",-.09894674
"ITA",-.04375712
"ITA",.07824183
"ITA",-.17932345
"ITA",.20272408
"ITA",.0677108
"ITA",.41488775
"ITA",.0592546
"ITA",-.01298538
"ITA",.04282952
"ITA",-.01037981
"ITA",-.03248682
"ITA",.03582282
"ITA",.00317776
"ITA",-.05924202
"ITA",-.08123624
"ITA",-.08201381
"ITA",.00926711
"ITA",.04248942
"ITA",.01840396
"ITA",-.0734781
"ITA",-.00425793
"ITA",-.07896745
"ITA",-.04233714
"ITA",-.01957486
"ITA",-.0406562
"ITA",-.07067589
"ITA",-.04449069
"ITA",-.12307326
"ITA",-.11117401
"ITA",-.20086883
"ITA",-.06116581
"ITA",.34150111
"ITA",.20105832
"ITA",-.12739911
"ITA",.32303378
"ITA",-.10180355
"ITA",-.08937372
"ITA",.03016397
"ITA",.21386804
"ITA",-.00734949
"ITA",.01912488
"ITA",.005405
"ITA",-.07215402
"ITA",.02914538
"ITA",-.05096129
"ITA",.03511371
"ITA",.01265955
"ITA",-.03014337
"ITA",-.03832049
"ITA",-.06935641
"ITA",-.02623401
"ITA",-.07274273
"ITA",-.02895366
"ITA",.20280353
"ITA",-.1151087
"ITA",-.1295348
"ITA",-.15154211
"ITA",.24303179
