adm0_name,e
"KOR",.58140881
"KOR",-.11252319
"KOR",-.04829648
"KOR",-.08736326
"KOR",-.07970038
"KOR",-.03810224
"KOR",-.02674095
"KOR",-.03393509
"KOR",-.02296857
"KOR",-.00964082
"KOR",-.03996608
"KOR",-.04060207
"KOR",-.05375412
"KOR",-.04308682
"KOR",-.06025088
"KOR",-.03578908
"KOR",-.02246133
"KOR",-.01902378
"KOR",-.03215977
"KOR",-.02116441
"KOR",.00102418
"KOR",-.02128108
"KOR",.00578689
"KOR",.01672942
"KOR",.03472657
"KOR",-.01137179
"KOR",-.04876352
"KOR",-.01327556
"KOR",.06159017
"KOR",.00074187
"KOR",.01281884
"KOR",-.01578081
"KOR",.01061023
"KOR",.16738673
"KOR",.03913442
"KOR",.04020058
"KOR",.0327339
"KOR",.09258287
"KOR",-.02587083
"KOR",-.02650682
"KOR",-.06389856
"KOR",-.0284106
"KOR",-.03885496
"KOR",.02406838
"KOR",-.11928573
"KOR",-.00764225
"KOR",-.06840914
"KOR",-.04394734
"KOR",-.05626062
"KOR",.03043907
"KOR",.18005604
"KOR",.20688378
"KOR",.08359379
"KOR",-.02295459
"KOR",.00050437
"KOR",-.013701
"KOR",-.03968204
"KOR",-.04031803
"KOR",-.03515015
"KOR",.03782079
"KOR",-.04762116
"KOR",-.00237138
"KOR",.02377688
"KOR",.01814298
"KOR",-.01953005
"KOR",-.01988475
"KOR",.01702771
"KOR",.08763119
"KOR",-.00741639
"KOR",-.01972967
"KOR",.01606093
"KOR",.05542494
"KOR",-.02827154
"KOR",-.03152385
"KOR",.10283873
"KOR",-.0124614
"KOR",-.02477468
"KOR",-.03402909
"KOR",.01295396
"KOR",-.07205682
"KOR",-.03656886
"KOR",-.04701322
"KOR",-.02255142
"KOR",.75207456
"KOR",.19869854
"KOR",.11941939
"KOR",-.01782849
"KOR",-.0441028
"KOR",-.03672684
"KOR",-.01678973
"KOR",-.06689549
"KOR",-.03374058
"KOR",-.04084176
"KOR",-.03698755
"KOR",.02355619
"KOR",-.05252423
"KOR",-.04398591
"KOR",-.09055195
"KOR",-.05506399
"KOR",-.06046334
"KOR",-.01521356
"KOR",.00247316
"KOR",-.03173624
"KOR",-.02087798
"KOR",-.06976397
"KOR",-.03427601
"KOR",-.02191028
"KOR",-.02025857
"KOR",-.03257185
"KOR",.01009375
"KOR",-.01987339
"KOR",-.04111372
"KOR",-.00088777
"KOR",-.02754316
"KOR",-.02530358
"KOR",-.01197584
"KOR",.0044221
"KOR",.00249273
"KOR",-.05858321
"KOR",-.02083961
"KOR",-.05985541
"KOR",-.00414361
"KOR",.73659336
"KOR",.54939851
"KOR",.30735416
"KOR",.36597687
"KOR",.1022154
"KOR",-.17248753
"KOR",.0069135
"KOR",.10908217
"KOR",.02249122
"KOR",.21202293
"KOR",.01749368
"KOR",.00335408
"KOR",-.03529921
"KOR",-.08876685
"KOR",-.11878173
"KOR",-.15235972
"KOR",-.11950295
"KOR",-.14716392
"KOR",-.14267631
"KOR",-.17384279
"KOR",-.15037388
"KOR",-.16176304
"KOR",-.20124938
"KOR",-.16559777
"KOR",-.04725105
"KOR",-.00305599
"KOR",-.01565502
"KOR",-.01689094
"KOR",-.0072794
"KOR",-.05684566
"KOR",-.01353037
"KOR",-.01881219
"KOR",-.00871333
"KOR",-.0190074
"KOR",-.02724904
"KOR",-.02437404
"KOR",-.02501918
"KOR",-.01523293
"KOR",-.03599501
"KOR",-.01438576
"KOR",-.00883629
"KOR",-.03321495
"KOR",-.03311745
"KOR",-.07509814
"KOR",-.03075915
"KOR",-.05034101
"KOR",-.0223665
"KOR",.14910162
"KOR",-.09692925
