adm0_name,e
"USA",.39868846
"USA",.00299356
"USA",.01173596
"USA",-.04278324
"USA",.09210745
"USA",-.01334025
"USA",-.08744664
"USA",-1.009e-11
"USA",-.12752637
"USA",-.08809449
"USA",.15386117
"USA",-.00219876
"USA",-.12402025
"USA",-.04390876
"USA",.01899467
"USA",-.0159629
"USA",-.10098457
"USA",-.06915864
"USA",-.05438381
"USA",.00891591
"USA",-.01593219
"USA",.07986585
"USA",.01857781
"USA",.18673593
"USA",-.03925835
"USA",-.08487352
"USA",.22457909
"USA",-.07128978
"USA",.12770548
"USA",-.07533104
"USA",-.01064992
"USA",.07253106
"USA",.03920159
"USA",-.05530817
"USA",.00172234
"USA",-.05814561
"USA",-.10875613
"USA",-.06484317
"USA",-.02437274
"USA",.00666842
"USA",-.06631548
"USA",-.28265698
"USA",-.26995159
"USA",-.14139929
"USA",-.25966872
"USA",.14855605
"USA",-.16281879
"USA",.01780465
"USA",.22166555
"USA",.10496306
"USA",.25847823
"USA",.19380197
"USA",.22775524
"USA",.11662006
"USA",-.01036008
"USA",-.00064163
"USA",-1.315e-11
"USA",-.05008689
"USA",.00718271
"USA",.03567023
"USA",-.02310367
"USA",-.05530075
"USA",-.04651691
"USA",-.04032247
"USA",.00932135
"USA",.03262774
"USA",-.03161907
"USA",.12482765
"USA",.12939034
"USA",.04069695
"USA",.06412745
"USA",.26737832
"USA",.25355537
"USA",-.03810034
"USA",.16941254
"USA",-.04050755
"USA",-.03949395
"USA",.08888531
"USA",-.11588046
"USA",-.07191648
"USA",-.11295278
"USA",-.04805904
"USA",-.04890415
"USA",-.07931557
"USA",-.09540224
"USA",-.1307182
"USA",-.11754382
"USA",-.15078883
"USA",.01821707
"USA",-.06690758
"USA",.02754951
"USA",.01049953
"USA",-.20756066
"USA",-.01549512
"USA",-.13520559
"USA",.11105437
"USA",-.25095771
"USA",.08306939
"USA",-.27082937
"USA",-.10270935
"USA",-.05506513
"USA",.06085176
"USA",1.944e-11
"USA",.02702038
"USA",-.03560178
"USA",.03520107
"USA",.06111486
"USA",.05762185
"USA",.10846321
"USA",.1114943
"USA",.048163
"USA",.05957982
"USA",.09482813
"USA",.05427367
"USA",.04192676
"USA",.03916875
"USA",.05396104
"USA",.03343827
"USA",.0223026
"USA",-.0289731
"USA",-.01553338
"USA",-.01211606
"USA",.01617471
"USA",-.02770972
"USA",-.0427953
"USA",-.03933127
"USA",.41958658
"USA",.19679639
"USA",-.00733913
"USA",.01918925
"USA",-.06712034
"USA",-.14405485
"USA",-.26620204
"USA",.14780868
"USA",.0252609
"USA",.05017118
"USA",.01981945
"USA",-.04623825
"USA",-.01965237
"USA",-.09335098
"USA",.08554269
"USA",.02772889
"USA",.03020684
"USA",.00638217
"USA",-.00296495
"USA",-.02124324
"USA",-.03814817
"USA",-.06875059
"USA",-.03908385
"USA",-.04227167
"USA",-.01332001
"USA",-.07662602
"USA",-.07597782
"USA",.13705865
"USA",.13868263
"USA",-.03653318
"USA",.02239168
"USA",-.18362625
"USA",-.22240044
"USA",.058841
"USA",.03608054
"USA",.1847024
"USA",.11263285
"USA",-.08620548
"USA",.0245281
"USA",-.03217278
"USA",.11380058
"USA",.07976915
"USA",.00994381
"USA",-.06592572
"USA",-.135982
"USA",.05533896
"USA",-.1039129
"USA",-.06412177
"USA",.033088
"USA",.13538789
"USA",-.16613195
"USA",-.03416339
"USA",-.1179955
"USA",-.00464104
"USA",.19101749
"USA",.01593647
"USA",-.04193496
"USA",-.1964049
"USA",.14312277
"USA",.0971965
"USA",-.03616861
"USA",1.973e-11
"USA",.03483258
"USA",-.02563809
"USA",-.12254091
"USA",-.0401243
"USA",.12125009
"USA",.02418642
"USA",.02281344
"USA",-.18231703
"USA",-.16961163
"USA",.24662272
"USA",-.09870417
"USA",.07229138
"USA",.14613659
"USA",.01864574
"USA",.36845208
"USA",-.13683574
"USA",.04406705
"USA",.00929372
"USA",-.01914691
"USA",.09269698
"USA",.02200291
"USA",-.08583521
"USA",-.08818214
"USA",-.07931218
"USA",-.00017817
"USA",.02505875
"USA",-.0280463
"USA",-.14136122
"USA",-.05284162
"USA",-.00060738
"USA",.04772371
"USA",.01137729
"USA",-.02138921
"USA",.26184325
"USA",.40376733
"USA",-.06772068
"USA",-.12519785
"USA",.12805786
"USA",.10866587
"USA",-.07929382
"USA",-.02448842
"USA",.12184137
"USA",-.03847984
"USA",.11257009
"USA",-.12228049
"USA",.03637947
"USA",-.06427381
"USA",-.13469425
"USA",.04631162
"USA",-.09796736
"USA",.0064714
"USA",-.01037639
"USA",-.0026001
"USA",-.07690024
"USA",-.06331389
"USA",-.12994482
"USA",-.08883904
"USA",-.02546674
"USA",-.01838731
"USA",-.03026339
"USA",-.02541984
"USA",-.15537236
"USA",.27135008
"USA",.28095882
"USA",-.23517967
"USA",-.12464562
"USA",.17041598
"USA",-.03893896
"USA",-.08008923
"USA",.01253405
"USA",.04856962
"USA",.23360158
"USA",-.14115064
"USA",-.13319888
"USA",.05360694
"USA",.10040166
"USA",.01632548
"USA",-.05951925
"USA",.07716714
"USA",-.0916887
"USA",-.06835656
"USA",-.05250061
"USA",.12305445
"USA",-.05445161
"USA",-.08074868
"USA",-.04408242
"USA",-.04735131
"USA",-.00767955
"USA",.02696824
"USA",-.05532562
"USA",.21261875
"USA",.05097078
"USA",.01580927
"USA",-.03410935
"USA",1.965e-11
"USA",.01467191
"USA",.03846105
"USA",-.11726154
"USA",-.04562956
"USA",.11458565
"USA",.0417693
"USA",.03720936
"USA",-.02565845
"USA",-.00184386
"USA",-.06336537
"USA",-.03748782
"USA",-.03372861
"USA",-.03614186
"USA",-.07554403
"USA",.35563105
"USA",-.07076954
"USA",-.04471414
"USA",-.19815245
"USA",-.31252958
"USA",-.00723882
"USA",.31064587
"USA",.21507295
"USA",.00362673
"USA",-.06467321
"USA",.0183475
"USA",.10136088
"USA",.04632511
"USA",.03797465
"USA",.06315597
"USA",-.08134946
"USA",-.12677171
"USA",-.12925553
"USA",-.11668626
"USA",.03351379
"USA",-.12648162
"USA",-.01329528
"USA",.07463356
"USA",-.02754802
"USA",.07437929
"USA",-.17962143
"USA",.07345333
"USA",.22539692
"USA",-.00176732
"USA",-.00854776
"USA",.06110169
"USA",.17888908
"USA",.02274525
"USA",-.01302343
"USA",-.01202407
"USA",.08413494
"USA",-.03719144
"USA",-.04911731
"USA",.12103061
"USA",-.08458841
"USA",-.02162843
"USA",-.05425706
"USA",-.12884724
"USA",-.04836225
"USA",-.01704996
"USA",-.05109706
"USA",-.07483036
"USA",-.31790527
"USA",-.09709351
"USA",-.26670967
"USA",.13905335
"USA",-.28271244
"USA",.17688853
"USA",-.29114019
"USA",-.15111014
"USA",.10820362
"USA",.48187212
"USA",-.31021037
"USA",.20559204
"USA",-.02479421
"USA",.16792507
"USA",.10207234
"USA",.5024196
"USA",-.18637256
"USA",.08187296
"USA",.07837586
"USA",.0095929
"USA",.02612848
"USA",-.0074171
"USA",-.02944743
"USA",-.0632637
"USA",-.02660511
"USA",-.01730199
"USA",-.00791316
"USA",-.21138473
"USA",-.04501983
"USA",-.10522117
"USA",-.16245654
"USA",-.19312881
"USA",.02578459
"USA",.01984495
"USA",.04421315
"USA",-.09921133
"USA",-1.417e-11
"USA",.23055486
"USA",.15042399
"USA",-.00193661
"USA",-.01729666
"USA",.0289054
"USA",.04710726
"USA",.12135993
"USA",.10753387
"USA",.02781006
"USA",.11420611
"USA",.0271555
"USA",-.0441079
"USA",-.04982563
"USA",-.02118386
"USA",-.01394088
"USA",.00830026
"USA",.01151399
"USA",-.03615423
"USA",-.00476351
"USA",.18540299
"USA",-.02590042
"USA",-.05806945
"USA",-.0709469
"USA",-.03994178
"USA",-.03483542
"USA",.08874768
"USA",.06996938
"USA",-.03759834
"USA",.04519997
"USA",.02998937
"USA",.01965642
"USA",.01423699
"USA",-.02938893
"USA",-.03597355
"USA",-.03544133
"USA",-.01587688
"USA",-.02876433
"USA",.00045228
"USA",-.05791803
"USA",-.15631546
"USA",.10110795
"USA",-.23396776
"USA",-.09383509
"USA",-.00674564
"USA",.02903959
"USA",.02264347
"USA",.36136149
"USA",.00881894
"USA",-.02027299
"USA",.04608613
"USA",.03217357
"USA",.03934264
"USA",-.02373431
"USA",-.02127303
"USA",.07407515
"USA",.01820644
"USA",-.03039468
"USA",-.07176358
"USA",-.01619458
"USA",.01252153
"USA",-.01296176
"USA",.00890456
"USA",.29854886
"USA",.46483185
"USA",-.16445632
"USA",-.14238293
"USA",.03827613
"USA",.01537021
"USA",-.02712405
"USA",-.0347777
"USA",.02620912
"USA",-.15021884
"USA",.13419747
"USA",-.04403394
"USA",.03389832
"USA",.0033412
"USA",-.05795663
"USA",-.02385818
"USA",-.10910376
"USA",-.07198883
"USA",.0513311
"USA",-.02145389
"USA",.10170698
"USA",-.12143129
"USA",-.00647126
"USA",-.13397845
"USA",-.06737972
"USA",.38249347
"USA",.06927107
"USA",-.05999326
"USA",-.14791791
"USA",.00256552
"USA",.05732982
"USA",-.02482843
"USA",-.0650443
"USA",.0081215
"USA",-.10272976
"USA",-.10994567
"USA",.06470673
"USA",.05611034
"USA",-.06824847
"USA",-.09333287
"USA",.11641674
"USA",-.03824346
"USA",.02841916
"USA",-.03548434
"USA",-.02154494
"USA",-.01812093
"USA",-.25914151
"USA",.10187053
"USA",.30408025
"USA",-.23264145
"USA",-.10083421
"USA",.14309834
"USA",.09644426
"USA",-.08457882
"USA",.2802818
"USA",-.27304784
"USA",.01486264
"USA",-.0501956
"USA",-.03514679
"USA",-.04907864
"USA",.05453906
"USA",.03883974
"USA",.02849108
"USA",.03195645
"USA",-.01813661
"USA",.00411959
"USA",.00699006
"USA",-.03087078
"USA",-.01063518
"USA",-.03304956
"USA",.06396881
"USA",.0078144
"USA",.32678947
"USA",.52043252
"USA",-.26574782
"USA",-.10772251
"USA",-.07817404
"USA",-.16274888
"USA",-.03534082
"USA",-.03137226
"USA",-.16837033
"USA",-.12310045
"USA",-.05568423
"USA",-.0531431
"USA",-.03914286
"USA",-.0244243
"USA",-.03692436
"USA",.2011201
"USA",.24878036
"USA",.04206958
"USA",.0788903
"USA",.0784605
"USA",-.02614515
"USA",-.01261172
"USA",-.03504515
"USA",-.03366575
"USA",-.04292815
"USA",-.028962
"USA",-.03599028
"USA",-.05582
"USA",-.04347866
"USA",.37386147
"USA",-.13624523
"USA",-.24710082
"USA",-.23898561
"USA",.96275182
"USA",.04330017
"USA",-.05344485
"USA",-.10187956
"USA",-.13409338
"USA",.03702656
"USA",-.02755397
"USA",-.07659855
"USA",-.03536971
"USA",-.02130557
"USA",-.06253861
"USA",-.04844568
"USA",-.07355944
"USA",-.0430205
"USA",-.12105725
"USA",.02236789
"USA",-.01278424
"USA",.01455763
"USA",-.01988257
"USA",.19546077
"USA",-.10962289
"USA",.31110413
"USA",.20770541
"USA",-.13184025
"USA",-.01029601
"USA",-.13466322
"USA",-.01049332
"USA",-.07087443
"USA",.00176076
"USA",.12445192
"USA",-.11157072
"USA",-.04132708
"USA",.03211303
"USA",.00094177
"USA",-.01133457
"USA",.05034624
"USA",.02810974
"USA",-.03065442
"USA",-.0445958
"USA",-.07552152
"USA",-.07968233
"USA",-.02804867
