adm0_name,t,y_actual,lb_y_actual,ub_y_actual,y_counter,lb_counter,ub_counter,m_y_actual,m_y_counter,day_avg
"ITA",11mar2020,.1503802,.1312472,.1695132,.3360065,.1986373,.4733756,,,
"ITA",12mar2020,.1659899,.1468569,.1851229,.3516161,.214247,.4889853,,,
"ITA",13mar2020,.1598634,.1407304,.1789964,.3454896,.2081204,.4828588,,,
"ITA",14mar2020,.1469283,.1277953,.1660613,.3325545,.1951853,.4699237,,,
"ITA",15mar2020,.1800572,.1609242,.1991902,.3656834,.2283143,.5030526,,,
"ITA",16mar2020,.13804,.118907,.157173,.3236662,.1862971,.4610354,,,
"ITA",17mar2020,.1431653,.1240324,.1622983,.3287916,.1914224,.4661607,,,
"ITA",18mar2020,.1503802,.1312472,.1695132,.3360065,.1986373,.4733756,,,
"ITA",19mar2020,.1659899,.1468569,.1851229,.3516161,.214247,.4889853,,,
"ITA",20mar2020,.1598634,.1407304,.1789964,.3454896,.2081204,.4828588,,,
"ITA",21mar2020,.1469283,.1277953,.1660613,.3325545,.1951853,.4699237,,,
"ITA",22mar2020,.0612397,.0448979,.0775816,.3656834,.2283143,.5030526,,,
"ITA",23mar2020,.0192226,.0028807,.0355644,.3236662,.1862971,.4610354,,,
"ITA",24mar2020,.0243479,.008006,.0406897,.3287916,.1914224,.4661607,,,
"ITA",25mar2020,.0315628,.0152209,.0479046,.3360065,.1986373,.4733756,,,
"ITA",26mar2020,.0471725,.0308306,.0635143,.3516161,.214247,.4889853,,,
"ITA",27mar2020,.0410459,.0247041,.0573878,.3454896,.2081204,.4828588,,,
"ITA",28mar2020,.0281108,.011769,.0444527,.3325545,.1951853,.4699237,,,
"ITA",29mar2020,.0612397,.0448979,.0775816,.3656834,.2283143,.5030526,,,
"ITA",30mar2020,.0192226,.0028807,.0355644,.3236662,.1862971,.4610354,,,
"ITA",31mar2020,.0243479,.008006,.0406897,.3287916,.1914224,.4661607,,,
"ITA",01apr2020,.0315628,.0152209,.0479046,.3360065,.1986373,.4733756,,,
"ITA",02apr2020,.0471725,.0308306,.0635143,.3516161,.214247,.4889853,,,
"ITA",03apr2020,.0410459,.0247041,.0573878,.3454896,.2081204,.4828588,,,
"ITA",04apr2020,.0281108,.011769,.0444527,.3325545,.1951853,.4699237,,,
