adm0_name,t,y_actual,lb_y_actual,ub_y_actual,y_counter,lb_counter,ub_counter,m_y_actual,m_y_counter,day_avg
"USA",15mar2020,.2905964,.2527882,.3284046,.3250804,.2496445,.4005163,,,
"USA",16mar2020,.2701748,.2238211,.3165285,.3512643,.2758284,.4267002,,,
"USA",17mar2020,.2814867,.235133,.3278404,.3625762,.2871403,.4380121,,,
"USA",18mar2020,.308233,.2709308,.3455352,.3766592,.3012233,.4520951,,,
"USA",19mar2020,.3304313,.2956589,.3652038,.3965074,.3210715,.4719433,,,
"USA",20mar2020,.3176112,.2828388,.3523836,.3836873,.3082514,.4591232,,,
"USA",21mar2020,.2968366,.2620642,.331609,.3629127,.2874768,.4383486,,,
"USA",22mar2020,.2427964,.1831633,.3024296,.3088725,.2166588,.4010861,,,
"USA",23mar2020,.2851882,.2504157,.3199607,.3512643,.2758284,.4267002,,,
"USA",24mar2020,.2965001,.2617277,.3312726,.3625762,.2871403,.4380121,,,
"USA",25mar2020,.3105831,.2758107,.3453556,.3766592,.3012233,.4520951,,,
"USA",26mar2020,.3186276,.2877634,.3494919,.3965074,.3210715,.4719433,,,
"USA",27mar2020,.306667,.280719,.332615,.3836873,.3082514,.4591232,,,
"USA",28mar2020,.1626537,.1079047,.2174027,.3629127,.2874768,.4383486,,,
"USA",29mar2020,.1248214,.0700724,.1795704,.3250804,.2496445,.4005163,,,
"USA",30mar2020,.1510053,.0962563,.2057543,.3512643,.2758284,.4267002,,,
"USA",31mar2020,.1623172,.1075682,.2170662,.3625762,.2871403,.4380121,,,
"USA",01apr2020,.1764002,.1216512,.2311492,.3766592,.3012233,.4520951,,,
"USA",02apr2020,.1962484,.1414994,.2509974,.3965074,.3210715,.4719433,,,
"USA",03apr2020,.1834283,.1286793,.2381773,.3836873,.3082514,.4591232,,,
"USA",04apr2020,.0804598,.0348499,.1260698,.3629127,.2874768,.4383486,,,
"USA",05apr2020,.0426276,0,.0882375,.3250804,.2496445,.4005163,,,
"USA",06apr2020,.0688114,.0232015,.1144214,.3512643,.2758284,.4267002,,,
"USA",20mar2020,.2814661,.258423,.3045093,.2998151,.2243792,.375251,,,
"USA",21mar2020,.2606916,.2376484,.2837347,.2790405,.2036046,.3544765,,,
"USA",22mar2020,.2228593,.1998161,.2459024,.2412083,.1657723,.3166442,,,
"USA",23mar2020,.2490431,.226,.2720863,.2673921,.1919562,.342828,,,
"USA",24mar2020,.1966989,.1611698,.2322279,.278704,.2032681,.35414,,,
"USA",25mar2020,.2107819,.1752528,.2463109,.292787,.2173511,.368223,,,
"USA",26mar2020,.2306301,.1951011,.2661591,.3126353,.2371994,.3880712,,,
"USA",27mar2020,.2178099,.1822809,.253339,.2998151,.2243792,.375251,,,
"USA",28mar2020,.111089,.0786404,.1435376,.2790405,.2036046,.3544765,,,
"USA",29mar2020,.0732567,.0408081,.1057053,.2412083,.1657723,.3166442,,,
"USA",30mar2020,.0994405,.066992,.1318891,.2673921,.1919562,.342828,,,
"USA",31mar2020,.1107525,.0783039,.1432011,.278704,.2032681,.35414,,,
