adm0_name,adm1_name,t,y_actual_dg,lb_y_actual_dg,ub_y_actual_dg,y_counter_dg,lb_counter_dg,ub_counter_dg,day_avg_dg
"KOR","Daegu",20feb2020,1.128465,.929628,1.327302,1.462632,1.240741,1.684523,1.128465
"KOR","Daegu",21feb2020,.6145936,.5057369,.7234502,.9487607,.7846901,1.112831,.9044561
"KOR","Daegu",22feb2020,.4627919,.386501,.5390828,.9487607,.7846901,1.112831,.6061358
"KOR","Daegu",23feb2020,.4627919,.386501,.5390828,.9487607,.7846901,1.112831,.6701579
"KOR","Daegu",24feb2020,.4627919,.386501,.5390828,.9487607,.7846901,1.112831,.3819346
"KOR","Daegu",25feb2020,.4627919,.386501,.5390828,.9487607,.7846901,1.112831,.119545
"KOR","Daegu",26feb2020,.4627919,.386501,.5390828,.9487607,.7846901,1.112831,.3031554
"KOR","Daegu",27feb2020,.4627919,.386501,.5390828,.9487607,.7846901,1.112831,.4059601
"KOR","Daegu",28feb2020,.1286247,.0717387,.1855107,.9487607,.7846901,1.112831,.255486
"KOR","Daegu",29feb2020,.4494724,.2506353,.6483096,1.269608,.9995201,1.539697,.4494724
"KOR","Daegu",01mar2020,.1286247,.0717387,.1855107,.9487607,.7846901,1.112831,.2203999
"KOR","Daegu",02mar2020,.1286247,.0717387,.1855107,.9487607,.7846901,1.112831,.1817985
"KOR","Daegu",03mar2020,.1286247,.0717387,.1855107,.9487607,.7846901,1.112831,.1554585
"KOR","Daegu",04mar2020,.1286247,.0717387,.1855107,.9487607,.7846901,1.112831,.1062002
"KOR","Daegu",05mar2020,.1286247,.0717387,.1855107,.9487607,.7846901,1.112831,.0768213
"KOR","Daegu",06mar2020,.1286247,.0717387,.1855107,.9487607,.7846901,1.112831,.0806351
"KOR","Daegu",07mar2020,.1286247,.0717387,.1855107,.9487607,.7846901,1.112831,.0780039
"KOR","Daegu",08mar2020,.1286247,.0717387,.1855107,.9487607,.7846901,1.112831,.0557423
"KOR","Daegu",09mar2020,.1286247,.0717387,.1855107,.9487607,.7846901,1.112831,.0357681
"KOR","Daegu",10mar2020,.1286247,.0717387,.1855107,.9487607,.7846901,1.112831,.0169149
"KOR","Daegu",11mar2020,0,0,.06153,.9487607,.7846901,1.112831,.0238052
"KOR","Daegu",12mar2020,0,0,.06153,.9487607,.7846901,1.112831,.013052
"KOR","Daegu",13mar2020,0,0,.06153,.9487607,.7846901,1.112831,.0109574
"KOR","Daegu",14mar2020,0,0,.06153,.9487607,.7846901,1.112831,.0111211
"KOR","Daegu",15mar2020,.1456305,.0409554,.2503056,.9487607,.7846901,1.112831,.0074114
"KOR","Daegu",16mar2020,0,0,.0595448,.9487607,.7846901,1.112831,.0063567
"KOR","Daegu",17mar2020,0,0,.0595448,.9487607,.7846901,1.112831,.006071
"KOR","Daegu",18mar2020,0,0,.0595448,.9487607,.7846901,1.112831,.0090444
"KOR","Daegu",19mar2020,0,0,.0595448,.9487607,.7846901,1.112831,.019292
"KOR","Daegu",20mar2020,0,0,.0595448,.9487607,.7846901,1.112831,.0071174
"KOR","Daegu",21mar2020,0,0,.0595448,.9487607,.7846901,1.112831,.0149448
"KOR","Daegu",22mar2020,.0097972,0,.2086344,.9592246,.6962282,1.222221,.0097972
"KOR","Daegu",23mar2020,0,0,.0462176,.9487607,.7846901,1.112831,.0057444
"KOR","Daegu",24mar2020,0,0,.0462176,.9487607,.7846901,1.112831,.0077636
"KOR","Daegu",25mar2020,0,0,.0462176,.9487607,.7846901,1.112831,.0037313
"KOR","Daegu",26mar2020,0,0,.0462176,.9487607,.7846901,1.112831,.0072423
"KOR","Daegu",27mar2020,.0102937,0,.2091308,.9542165,.6919307,1.216502,.0102937
"KOR","Daegu",28mar2020,.0048379,0,.0508631,.9487607,.7846901,1.112831,.0233322
"KOR","Daegu",29mar2020,.0048379,0,.0508631,.9487607,.7846901,1.112831,.0079695
"KOR","Daegu",30mar2020,.0048379,0,.0508631,.9487607,.7846901,1.112831,.005117
"KOR","Daegu",31mar2020,.0048379,0,.0508631,.9487607,.7846901,1.112831,.0229797
"KOR","Daegu",01apr2020,.0103425,0,.0742109,.9487607,.7846901,1.112831,.0078555
"KOR","Daegu",02apr2020,.0103425,0,.0742109,.9487607,.7846901,1.112831,.008589
"KOR","Daegu",03apr2020,.0103425,0,.0742109,.9487607,.7846901,1.112831,.004
"KOR","Daegu",04apr2020,.0103425,0,.0742109,.9487607,.7846901,1.112831,.012851
"KOR","Daegu",05apr2020,.0158471,0,.1057396,.9487607,.7846901,1.112831,.0037135
"KOR","Daegu",06apr2020,.0158471,0,.1057396,.9487607,.7846901,1.112831,.0072262
