adm0_name,adm1_name,adm2_name,t,y_actual_mi,lb_y_actual_mi,ub_y_actual_mi,y_counter_mi,lb_counter_mi,ub_counter_mi,day_avg_mi
"ITA","Lombardia","Milano",28feb2020,.3465736,.2182921,.4748551,.3465736,.2182921,.4748551,.6592455
"ITA","Lombardia","Milano",29feb2020,.3465736,.2182921,.4748551,.3465736,.2182921,.4748551,.0339017
"ITA","Lombardia","Milano",01mar2020,.3553829,.2868136,.4239523,.3465736,.2182921,.4748551,.427444
"ITA","Lombardia","Milano",02mar2020,.3553829,.2868136,.4239523,.3465736,.2182921,.4748551,.2318015
"ITA","Lombardia","Milano",03mar2020,.3553829,.2868136,.4239523,.3465736,.2182921,.4748551,.4721565
"ITA","Lombardia","Milano",04mar2020,.3553829,.2868136,.4239523,.3465736,.2182921,.4748551,.4441342
"ITA","Lombardia","Milano",05mar2020,.3553829,.2868136,.4239523,.3465736,.2182921,.4748551,.3064699
"ITA","Lombardia","Milano",06mar2020,.3553829,.2868136,.4239523,.3465736,.2182921,.4748551,.3040452
"ITA","Lombardia","Milano",07mar2020,.3553829,.2868136,.4239523,.3465736,.2182921,.4748551,.3016291
"ITA","Lombardia","Milano",08mar2020,.1688294,.040548,.2971109,.3465736,.2182921,.4748551,.1174755
"ITA","Lombardia","Milano",09mar2020,.1688294,.040548,.2971109,.3465736,.2182921,.4748551,.2201834
"ITA","Lombardia","Milano",12mar2020,.1619549,.1045857,.2193241,.3465736,.2182921,.4748551,.2142391
"ITA","Lombardia","Milano",13mar2020,.1619549,.1045857,.2193241,.3465736,.2182921,.4748551,.1314569
"ITA","Lombardia","Milano",14mar2020,.1619549,.1045857,.2193241,.3465736,.2182921,.4748551,.1711655
"ITA","Lombardia","Milano",15mar2020,.1619549,.1045857,.2193241,.3465736,.2182921,.4748551,.1207156
"ITA","Lombardia","Milano",16mar2020,.1619549,.1045857,.2193241,.3465736,.2182921,.4748551,.1249952
"ITA","Lombardia","Milano",17mar2020,.1619549,.1045857,.2193241,.3465736,.2182921,.4748551,.1595392
"ITA","Lombardia","Milano",18mar2020,.1619549,.1045857,.2193241,.3465736,.2182921,.4748551,.1281428
"ITA","Lombardia","Milano",19mar2020,.1619549,.1045857,.2193241,.3465736,.2182921,.4748551,.2149405
"ITA","Lombardia","Milano",20mar2020,.1619549,.1045857,.2193241,.3465736,.2182921,.4748551,.1488199
"ITA","Lombardia","Milano",21mar2020,.1619549,.1045857,.2193241,.3465736,.2182921,.4748551,.205534
"ITA","Lombardia","Milano",22mar2020,.0565037,.0111493,.101858,.3465736,.2182921,.4748551,.0868683
"ITA","Lombardia","Milano",23mar2020,.0565037,.0111493,.101858,.3465736,.2182921,.4748551,.0441446
"ITA","Lombardia","Milano",24mar2020,.0565037,.0111493,.101858,.3465736,.2182921,.4748551,.0680408
"ITA","Lombardia","Milano",25mar2020,.0565037,.0111493,.101858,.3465736,.2182921,.4748551,.0633764
"ITA","Lombardia","Milano",26mar2020,.0565037,.0111493,.101858,.3465736,.2182921,.4748551,.1306868
"ITA","Lombardia","Milano",27mar2020,.0565037,.0111493,.101858,.3465736,.2182921,.4748551,.0760565
"ITA","Lombardia","Milano",28mar2020,.0565037,.0111493,.101858,.3465736,.2182921,.4748551,.0411806
"ITA","Lombardia","Milano",29mar2020,.0565037,.0111493,.101858,.3465736,.2182921,.4748551,.0678015
"ITA","Lombardia","Milano",30mar2020,.0565037,.0111493,.101858,.3465736,.2182921,.4748551,.0408173
"ITA","Lombardia","Milano",31mar2020,.0565037,.0111493,.101858,.3465736,.2182921,.4748551,.0267258
"ITA","Lombardia","Milano",01apr2020,.0565037,.0111493,.101858,.3465736,.2182921,.4748551,.0663185
"ITA","Lombardia","Milano",02apr2020,.0565037,.0111493,.101858,.3465736,.2182921,.4748551,.0493803
"ITA","Lombardia","Milano",03apr2020,.0565037,.0111493,.101858,.3465736,.2182921,.4748551,.0379553
"ITA","Lombardia","Milano",04apr2020,.0565037,.0111493,.101858,.3465736,.2182921,.4748551,.0403633
"ITA","Lombardia","Milano",05apr2020,.0565037,.0111493,.101858,.3465736,.2182921,.4748551,.0372858
"ITA","Lombardia","Milano",06apr2020,.0565037,.0111493,.101858,.3465736,.2182921,.4748551,.0270567
