adm0_name,adm1_name,t,y_actual_ny,lb_y_actual_ny,ub_y_actual_ny,y_counter_ny,lb_counter_ny,ub_counter_ny,day_avg_ny
"USA","New York",05mar2020,.4505128,.3029034,.5981221,.7707707,.0888984,1.452643,.7375989
"USA","New York",06mar2020,.4505128,.3029034,.5981221,.7707707,.0888984,1.452643,.0833817
"USA","New York",07mar2020,.4505128,.3029034,.5981221,.7707707,.0888984,1.452643,1.124929
"USA","New York",08mar2020,.4505128,.3029034,.5981221,.7707707,.0888984,1.452643,.3290234
"USA","New York",09mar2020,.4505128,.3029034,.5981221,.7707707,.0888984,1.452643,.303905
"USA","New York",10mar2020,.4505128,.3029034,.5981221,.7707707,.0888984,1.452643,.176558
"USA","New York",11mar2020,.2247723,0,.5214353,.7707707,.0888984,1.452643,.1794271
"USA","New York",12mar2020,.5119863,.2549467,.7690259,.7707707,.0888984,1.452643,.4511065
"USA","New York",13mar2020,.2588077,0,.6321823,.5524476,0,1.273722,.2588077
"USA","New York",14mar2020,.2580297,.0488618,.4671976,.7707707,.0888984,1.452643,.2245674
"USA","New York",15mar2020,.2580297,.0488618,.4671976,.7707707,.0888984,1.452643,.3244734
"USA","New York",16mar2020,.3473363,.1107074,.5839652,.7707707,.0888984,1.452643,.2647882
"USA","New York",17mar2020,.3727224,.1531237,.5923212,.7707707,.0888984,1.452643,.4856696
"USA","New York",18mar2020,.7199006,.3588831,1.080918,.7707707,.0888984,1.452643,.6814203
"USA","New York",19mar2020,.5337422,.2109522,.8565322,.7707707,.0888984,1.452643,.613555
"USA","New York",20mar2020,.4117736,.1586421,.664905,.7707707,.0888984,1.452643,.3309069
"USA","New York",21mar2020,.4117736,.1586421,.664905,.7707707,.0888984,1.452643,.4418325
"USA","New York",22mar2020,.178469,.0608359,.2961021,.7707707,.0888984,1.452643,.2599421
"USA","New York",23mar2020,.178469,.0608359,.2961021,.7707707,.0888984,1.452643,.2782421
"USA","New York",24mar2020,.178469,.0608359,.2961021,.7707707,.0888984,1.452643,.201457
"USA","New York",25mar2020,.178469,.0608359,.2961021,.7707707,.0888984,1.452643,.2538052
"USA","New York",26mar2020,.178469,.0608359,.2961021,.7707707,.0888984,1.452643,.1674089
"USA","New York",27mar2020,.178469,.0608359,.2961021,.7707707,.0888984,1.452643,.1395521
"USA","New York",28mar2020,.178469,.0608359,.2961021,.7707707,.0888984,1.452643,.1734943
"USA","New York",29mar2020,.178469,.0608359,.2961021,.7707707,.0888984,1.452643,.1056042
"USA","New York",30mar2020,.178469,.0608359,.2961021,.7707707,.0888984,1.452643,.1259871
"USA","New York",31mar2020,.178469,.0608359,.2961021,.7707707,.0888984,1.452643,.1025038
"USA","New York",01apr2020,.097853,0,.2493382,.7707707,.0888984,1.452643,.0982523
"USA","New York",02apr2020,.097853,0,.2493382,.7707707,.0888984,1.452643,.0957937
"USA","New York",03apr2020,.097853,0,.2493382,.7707707,.0888984,1.452643,.1369057
"USA","New York",04apr2020,.097853,0,.2493382,.7707707,.0888984,1.452643,.0942116
"USA","New York",05apr2020,.097853,0,.2493382,.7707707,.0888984,1.452643,.0702276
"USA","New York",06apr2020,.097853,0,.2493382,.7707707,.0888984,1.452643,.0684204
