adm0_name,adm1_name,t,y_actual_wa,lb_y_actual_wa,ub_y_actual_wa,y_counter_wa,lb_counter_wa,ub_counter_wa,day_avg_wa
"USA","Washington",04mar2020,.3262704,.2618029,.390738,.377976,.1964251,.559527,.3677247
"USA","Washington",05mar2020,.3262704,.2618029,.390738,.377976,.1964251,.559527,.5849335
"USA","Washington",06mar2020,.3262704,.2618029,.390738,.377976,.1964251,.559527,.1082139
"USA","Washington",07mar2020,.3262704,.2618029,.390738,.377976,.1964251,.559527,.2682638
"USA","Washington",08mar2020,.3262704,.2618029,.390738,.377976,.1964251,.559527,.1790481
"USA","Washington",09mar2020,.3262704,.2618029,.390738,.377976,.1964251,.559527,.2835755
"USA","Washington",10mar2020,.3262704,.2618029,.390738,.377976,.1964251,.559527,.4921336
"USA","Washington",11mar2020,.3108665,.1441117,.4776213,.377976,.1964251,.559527,.3201675
"USA","Washington",12mar2020,.2249867,.1056796,.3442939,.377976,.1964251,.559527,.2247858
"USA","Washington",13mar2020,.2265384,.1072402,.3458365,.377976,.1964251,.559527,.2174382
"USA","Washington",14mar2020,.1560084,.0447529,.2672639,.377976,.1964251,.559527,.1224666
"USA","Washington",15mar2020,.1373852,.0290974,.245673,.377976,.1964251,.559527,.1805029
"USA","Washington",16mar2020,.1757075,.0472998,.3041152,.377976,.1964251,.559527,.1639481
"USA","Washington",17mar2020,.1354533,.0679527,.2029539,.377976,.1964251,.559527,.1046982
"USA","Washington",18mar2020,.1354533,.0679527,.2029539,.377976,.1964251,.559527,.1654472
"USA","Washington",19mar2020,.1354533,.0679527,.2029539,.377976,.1964251,.559527,.1477513
"USA","Washington",20mar2020,.1354533,.0679527,.2029539,.377976,.1964251,.559527,.1021581
"USA","Washington",21mar2020,.1354533,.0679527,.2029539,.377976,.1964251,.559527,.1608768
"USA","Washington",22mar2020,.1177372,.0321205,.203354,.377976,.1964251,.559527,.1089296
"USA","Washington",23mar2020,.1293102,.066979,.1916415,.377976,.1964251,.559527,.1068125
"USA","Washington",24mar2020,.1293102,.066979,.1916415,.377976,.1964251,.559527,.1001692
"USA","Washington",25mar2020,.1293102,.066979,.1916415,.377976,.1964251,.559527,.0500503
"USA","Washington",26mar2020,.1293102,.066979,.1916415,.377976,.1964251,.559527,.2168474
"USA","Washington",27mar2020,.1293102,.066979,.1916415,.377976,.1964251,.559527,.1591282
"USA","Washington",28mar2020,.113854,.0656265,.1620815,.377976,.1964251,.559527,.1319008
"USA","Washington",29mar2020,.113854,.0656265,.1620815,.377976,.1964251,.559527,.1323652
"USA","Washington",30mar2020,.0983977,.0390524,.157743,.377976,.1964251,.559527,.1005697
"USA","Washington",31mar2020,.0829414,0,.1693885,.377976,.1964251,.559527,.0447893
"USA","Washington",01apr2020,.0829414,0,.1693885,.377976,.1964251,.559527,.1010418
"USA","Washington",02apr2020,.0829414,0,.1693885,.377976,.1964251,.559527,.0847464
"USA","Washington",03apr2020,.0515634,0,.1331879,.377976,.1964251,.559527,.0432014
"USA","Washington",04apr2020,.0515634,0,.1331879,.377976,.1964251,.559527,.0725918
"USA","Washington",05apr2020,.0515634,0,.1331879,.377976,.1964251,.559527,.0462055
"USA","Washington",06apr2020,.0515634,0,.1331879,.377976,.1964251,.559527,.0446415
