adm0_name,t,y_actual,lb_y_actual,ub_y_actual,y_counter,lb_counter,ub_counter,m_y_actual,m_y_counter,day_avg
"IRN",01mar2020,.4471486,.3698692,.5244281,.5422447,.4200538,.6644355,,,
"IRN",05mar2020,.289376,.2269996,.3517524,.5746641,.4524732,.6968549,,,
"IRN",06mar2020,.3782836,.3159072,.4406601,.6635717,.5413809,.7857626,,,
"IRN",07mar2020,.2647336,.2023572,.3271101,.5500217,.4278308,.6722126,,,
"IRN",08mar2020,.2569565,.1945802,.319333,.5422447,.4200538,.6644355,,,
"IRN",09mar2020,.2666424,.204266,.3290188,.5519305,.4297396,.6741214,,,
"IRN",10mar2020,.2497516,.1873752,.3121281,.5350397,.4128489,.6572306,,,
"IRN",11mar2020,.2261693,.1637929,.2885457,.5114574,.3892665,.6336483,,,
"IRN",12mar2020,.289376,.2269996,.3517524,.5746641,.4524732,.6968549,,,
"IRN",13mar2020,.1530702,0,.3122585,.5890639,.3356599,.8424678,,,
"IRN",14mar2020,.1140281,.07295,.1551062,.5500217,.4278308,.6722126,,,
"IRN",15mar2020,.106251,.0651729,.1473292,.5422447,.4200538,.6644355,,,
"IRN",16mar2020,.1159369,.0748587,.157015,.5519305,.4297396,.6741214,,,
"IRN",17mar2020,.0990461,.057968,.1401242,.5350397,.4128489,.6572306,,,
"IRN",18mar2020,.0754638,.0343856,.1165419,.5114574,.3892665,.6336483,,,
"IRN",19mar2020,.1386704,.0975923,.1797486,.5746641,.4524732,.6968549,,,
"IRN",20mar2020,.2275781,.1865,.2686562,.6635717,.5413809,.7857626,,,
"IRN",21mar2020,.1140281,.07295,.1551062,.5500217,.4278308,.6722126,,,
"IRN",22mar2020,.106251,.0651729,.1473292,.5422447,.4200538,.6644355,,,
"IRN",06mar2020,.3321459,.2697695,.3945223,.617434,.4952431,.7396249,,,
"IRN",07mar2020,.2185959,.1562195,.2809723,.503884,.3816931,.6260749,,,
"IRN",08mar2020,.2108188,.1484424,.2731952,.4961069,.373916,.6182978,,,
"IRN",09mar2020,.2205047,.1581282,.2828811,.5057927,.3836019,.6279836,,,
"IRN",10mar2020,.2036139,.1412375,.2659903,.488902,.3667111,.6110929,,,
"IRN",11mar2020,.1800316,.1176552,.242408,.4653197,.3431288,.5875105,,,
"IRN",12mar2020,.2432382,.1808618,.3056147,.5285264,.4063354,.6507172,,,
"IRN",13mar2020,.1069325,0,.2661208,.5429261,.2895221,.7963302,,,
"IRN",14mar2020,.0678904,.0268123,.1089685,.503884,.3816931,.6260749,,,
"IRN",15mar2020,.0601133,.0190352,.1011914,.4961069,.373916,.6182978,,,
"IRN",16mar2020,.0697991,.028721,.1108773,.5057927,.3836019,.6279836,,,
"IRN",17mar2020,.0529084,.0118303,.0939865,.488902,.3667111,.6110929,,,
