adm0_name,t,y_actual,lb_y_actual,ub_y_actual,y_counter,lb_counter,ub_counter,m_y_actual,m_y_counter,day_avg
"ITA",11mar2020,.1520083,.1334588,.1705579,.3349031,.2009912,.4688149,,,
"ITA",12mar2020,.167595,.1490455,.1861446,.3504898,.2165779,.4844016,,,
"ITA",13mar2020,.1614234,.1428738,.1799729,.3443181,.2104063,.47823,,,
"ITA",14mar2020,.1484733,.1299238,.1670228,.3313681,.1974562,.4652799,,,
"ITA",15mar2020,.183403,.1648535,.2019525,.3662978,.2323859,.5002096,,,
"ITA",16mar2020,.1417535,.1232039,.160303,.3246482,.1907364,.4585601,,,
"ITA",17mar2020,.1451723,.1266228,.1637218,.328067,.1941552,.4619789,,,
"ITA",18mar2020,.1520083,.1334588,.1705579,.3349031,.2009912,.4688149,,,
"ITA",19mar2020,.167595,.1490455,.1861446,.3504898,.2165779,.4844016,,,
"ITA",20mar2020,.1614234,.1428738,.1799729,.3443181,.2104063,.47823,,,
"ITA",21mar2020,.1484733,.1299238,.1670228,.3313681,.1974562,.4652799,,,
"ITA",22mar2020,.0608599,.0449653,.0767544,.3662978,.2323859,.5002096,,,
"ITA",23mar2020,.0192103,.0033158,.0351049,.3246482,.1907364,.4585601,,,
"ITA",24mar2020,.0226292,.0067346,.0385237,.328067,.1941552,.4619789,,,
"ITA",25mar2020,.0294652,.0135707,.0453598,.3349031,.2009912,.4688149,,,
"ITA",26mar2020,.0450519,.0291573,.0609465,.3504898,.2165779,.4844016,,,
"ITA",27mar2020,.0388802,.0229857,.0547748,.3443181,.2104063,.47823,,,
"ITA",28mar2020,.0259302,.0100356,.0418247,.3313681,.1974562,.4652799,,,
"ITA",29mar2020,.0608599,.0449653,.0767544,.3662978,.2323859,.5002096,,,
"ITA",30mar2020,.0192103,.0033158,.0351049,.3246482,.1907364,.4585601,,,
"ITA",31mar2020,.0226292,.0067346,.0385237,.328067,.1941552,.4619789,,,
"ITA",01apr2020,.0294652,.0135707,.0453598,.3349031,.2009912,.4688149,,,
"ITA",02apr2020,.0450519,.0291573,.0609465,.3504898,.2165779,.4844016,,,
"ITA",03apr2020,.0388802,.0229857,.0547748,.3443181,.2104063,.47823,,,
"ITA",04apr2020,.0259302,.0100356,.0418247,.3313681,.1974562,.4652799,,,
"ITA",05apr2020,.0608599,.0449653,.0767544,.3662978,.2323859,.5002096,,,
"ITA",06apr2020,.0192103,.0033158,.0351049,.3246482,.1907364,.4585601,,,
"ITA",05mar2020,.2816812,.240484,.3228784,.3878759,.253964,.5217877,,,
"ITA",06mar2020,.2755095,.2343123,.3167067,.3817042,.2477923,.5156161,,,
"ITA",07mar2020,.2625594,.2213622,.3037566,.3687541,.2348423,.502666,,,
"ITA",08mar2020,.2454588,.207395,.2835227,.4036838,.269772,.5375957,,,
"ITA",09mar2020,.2038093,.1657455,.2418732,.3620343,.2281225,.4959462,,,
"ITA",10mar2020,.2072282,.1691643,.245292,.3654531,.2315413,.499365,,,
"ITA",11mar2020,.1893944,.1708449,.207944,.3722892,.2383773,.506201,,,
"ITA",12mar2020,.2049811,.1864316,.2235307,.3878759,.253964,.5217877,,,
"ITA",13mar2020,.1988094,.1802599,.217359,.3817042,.2477923,.5156161,,,
"ITA",14mar2020,.1858594,.1673099,.2044089,.3687541,.2348423,.502666,,,
"ITA",15mar2020,.2207891,.2022395,.2393386,.4036838,.269772,.5375957,,,
"ITA",16mar2020,.1791396,.16059,.1976891,.3620343,.2281225,.4959462,,,
"ITA",17mar2020,.1825584,.1640088,.2011079,.3654531,.2315413,.499365,,,
"ITA",18mar2020,.1893944,.1708449,.207944,.3722892,.2383773,.506201,,,
